regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready,3,init,20000,budget,0.6881278157234192,0.543958306312561,0.5945,66.93186497688293,0.5253333449363708,0.5231666564941406,0.5251666903495789,0.5270000100135803,0.5253333449363708,0.4951666593551636,0.512666642665863,0.5191666483879089,,,,,
unready,3,kappa1,20000,budget,0.6818934082984924,0.5710833072662354,0.6418333333333334,66.70156836509705,0.5481666326522827,0.5705000162124634,0.5559999942779541,0.5719999670982361,0.5808333158493042,0.5065000057220459,0.5426666736602783,0.5621666312217712,0.9388332962989808,0.0686666667461395,0.4964999854564667,0.5208333134651184,0.6418333333333334
unready,3,kappa256,20000,budget,0.677907407283783,0.5882083177566528,0.6739999999999999,66.63370633125305,0.5653333067893982,0.5929999947547913,0.5795000195503235,0.596833348274231,0.5951666831970215,0.5216666460037231,0.5630000233650208,0.5856666564941406,0.9361666440963744,0.0696666687726974,0.4976666569709778,0.5239999890327454,0.6739999999999999
unready,4,init,20000,budget,0.6888046860694885,0.5444166660308838,0.4713333333333333,66.74435877799988,0.5061666369438171,0.4723333418369293,0.4884999990463257,0.4828333258628845,0.5320000052452087,0.5034999847412109,0.5138333439826965,0.5339999794960022,,,,,
unready,4,kappa1,20000,budget,0.688485324382782,0.5427916646003723,0.5058333333333334,66.73140478134155,0.5168333053588867,0.47099998593330383,0.49183332920074463,0.48399999737739563,0.5488333106040955,0.5021666884422302,0.5223333239555359,0.5486666560173035,0.9296666383743286,0.0646666660904884,0.4975000023841858,0.4936666488647461,0.5058333333333334
unready,4,kappa256,20000,budget,0.6864242553710938,0.5534999966621399,0.5596666666666666,56.66438150405884,0.5378333330154419,0.4828333258628845,0.5088333487510681,0.5038333535194397,0.5503333210945129,0.5218333005905151,0.5341666340827942,0.5661666393280029,0.9318333268165588,0.0651666671037674,0.4975000023841858,0.4861666560173034,0.5596666666666666
unready10,3,init,20000,budget,0.6893113255500793,0.5455416440963745,0.5945,47.53329515457153,0.5389999747276306,0.5171666741371155,0.5296666622161865,0.5301666855812073,0.5421666502952576,0.500333309173584,0.5199999809265137,0.5205000042915344,,,,,
unready10,3,kappa1,20000,budget,0.6597844958305359,0.653249979019165,0.6933333333333334,43.03353238105774,0.6416666507720947,0.6361666321754456,0.640333354473114,0.6455000042915344,0.6653333306312561,0.5774999856948853,0.6269999742507935,0.6448333263397217,0.9371666312217712,0.0678333342075347,0.4959999918937683,0.5251666903495789,0.6933333333333334
unready10,3,kappa256,20000,budget,0.5491204261779785,0.7769166827201843,0.7795,43.620410680770874,0.7551666498184204,0.7549999952316284,0.7568333148956299,0.7490000128746033,0.7891666293144226,0.75,0.7706666588783264,0.7734999656677246,0.9384999871253968,0.069333329796791,0.4975000023841858,0.5285000205039978,0.7795
unready10,4,init,20000,budget,0.6894049644470215,0.5442083477973938,0.4713333333333333,43.57583022117615,0.5084999799728394,0.47216665744781494,0.4911666512489319,0.484333336353302,0.5558333396911621,0.5093333125114441,0.5306666493415833,0.5375000238418579,,,,,
unready10,4,kappa1,20000,budget,0.6835047006607056,0.5744166374206543,0.5861666666666666,43.38062357902527,0.5543333292007446,0.4860000014305115,0.5251666903495789,0.515333354473114,0.5889999866485596,0.5506666898727417,0.5731666684150696,0.5864999890327454,0.931333303451538,0.0649999976158142,0.4979999959468841,0.5040000081062317,0.5861666666666666
unready10,4,kappa256,20000,budget,0.6277835965156555,0.6916666626930237,0.6685,43.52510452270508,0.6508333086967468,0.6209999918937683,0.6348333358764648,0.6334999799728394,0.6891666650772095,0.6743333339691162,0.6798333525657654,0.6741666793823242,0.9340000152587892,0.0648333355784416,0.4995000064373016,0.4908333420753479,0.6685
ready,3,init,20000,budget,0.17428401112556458,0.9387916326522827,0.9186666666666666,43.40257692337036,0.8921666741371155,0.8884999752044678,0.8901666402816772,0.8930000066757202,0.9413332939147949,0.9399999976158142,0.940833330154419,0.9424999952316284,,,,,
ready,3,kappa1,20000,budget,0.1487264335155487,0.9458749890327454,0.9308333333333333,46.35352420806885,0.918999969959259,0.9210000038146973,0.9208333492279053,0.9196666479110718,0.9446666836738586,0.9428333044052124,0.9430000185966492,0.9480000138282776,0.9135000109672546,0.0993333309888839,0.5046666860580444,0.5651666522026062,0.9308333333333332
ready,3,kappa256,20000,budget,0.14871537685394287,0.9460833072662354,0.9243333333333333,50.986408948898315,0.9258333444595337,0.9264999628067017,0.9278333187103271,0.9283333420753479,0.9476666450500488,0.9468333125114441,0.9468333125114441,0.9481666684150696,0.9168333411216736,0.0941666662693023,0.5058333277702332,0.5475000143051147,0.9243333333333332
ready,4,init,20000,budget,0.1376919001340866,0.9547916650772095,0.9346666666666666,51.03131437301636,0.9271666407585144,0.9246666431427002,0.9266666769981384,0.9263333082199097,0.9626666307449341,0.9606666564941406,0.9618332982063293,0.9611666798591614,,,,,
