step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.6804181933403015,0.5797083377838135,0.9469271898269653,0.5634124587775406,0.0
25,0.6512550711631775,0.7072083353996277,0.9080137610435486,0.5443458901144981,0.006646792870014906
50,0.6241605281829834,0.7895833253860474,0.8747186660766602,0.5328480310799774,0.013031947426497936
75,0.598651647567749,0.8392499685287476,0.845308780670166,0.5265892854104423,0.01919313333928585
100,0.5744504332542419,0.8687499761581421,0.8188708424568176,0.5235586205223504,0.025150375440716743
125,0.5513510704040527,0.8880833387374878,0.7938928604125977,0.5222019073104759,0.030921470373868942
150,0.5292693972587585,0.8997083306312561,0.7689843773841858,0.5214326690135519,0.03651079908013344
175,0.5081337094306946,0.9084166288375854,0.7453338503837585,0.520845358590422,0.041923653334379196
200,0.4879019260406494,0.9139583110809326,0.7223068475723267,0.5198573199236762,0.04716399312019348
225,0.4685288071632385,0.9182916283607483,0.6992003321647644,0.5178919316255344,0.05223822593688965
250,0.4500322639942169,0.921958327293396,0.6762337684631348,0.5147031062106099,0.05714387446641922
275,0.4323955774307251,0.9246666431427002,0.6535341739654541,0.510397410649355,0.061884745955467224
300,0.415624737739563,0.9268333315849304,0.6310538649559021,0.5049099550170184,0.06646058708429337
325,0.39971426129341125,0.9287916421890259,0.6090748310089111,0.49830756479159655,0.07087358087301254
350,0.38464102149009705,0.9306249618530273,0.5875940918922424,0.49079006124063485,0.07512900978326797
375,0.37039193511009216,0.9316666722297668,0.5661906599998474,0.48231707709492394,0.07922917604446411
400,0.35695743560791016,0.9332083463668823,0.5452855825424194,0.4729991860988482,0.08317580074071884
425,0.3443146049976349,0.934416651725769,0.5248669385910034,0.4630077992948735,0.08697284758090973
450,0.33243176341056824,0.9350833296775818,0.5053867101669312,0.4527139737428931,0.09062521159648895
475,0.3212706744670868,0.9356666803359985,0.4865676760673523,0.442005318807582,0.09413930028676987
500,0.31080034375190735,0.9364583492279053,0.4683649241924286,0.43109240460750703,0.09751919656991959
525,0.30098751187324524,0.9367916584014893,0.450774222612381,0.4199693061336569,0.10076980292797089
550,0.29179486632347107,0.937458336353302,0.43405190110206604,0.4088940870660509,0.10389640182256699
575,0.2831863760948181,0.937999963760376,0.41783297061920166,0.3978513790915488,0.1069040447473526
600,0.27512794733047485,0.9386666417121887,0.40242111682891846,0.3869141330291659,0.10979768633842468
625,0.26758134365081787,0.9391250014305115,0.3877881169319153,0.3761829222451276,0.11258319020271301
650,0.2605155408382416,0.9398333430290222,0.3737223446369171,0.36556208952966,0.11526500433683395
675,0.25389817357063293,0.9401249885559082,0.3602694272994995,0.3552020189731671,0.11784817278385162
700,0.2476995885372162,0.940583348274231,0.3473770022392273,0.34509262759861664,0.12033671885728836
725,0.2418910264968872,0.9411249756813049,0.3352302610874176,0.3352849707387912,0.12273512035608292
750,0.23644401133060455,0.9414166808128357,0.32361868023872375,0.3257882155625135,0.12504778802394867
775,0.23133186995983124,0.9416249990463257,0.3126868009567261,0.3165844767121436,0.12727919220924377
800,0.22653064131736755,0.9418333172798157,0.3022114336490631,0.30766675881927225,0.12943367660045624
825,0.22202016413211823,0.9421249628067017,0.29212504625320435,0.29901259731881685,0.13151419162750244
850,0.2177809476852417,0.9423333406448364,0.2825249433517456,0.2906772967155481,0.1335240751504898
875,0.21379274129867554,0.9422916769981384,0.2734996974468231,0.28266451773646695,0.13546700775623322
900,0.2100360244512558,0.9423750042915344,0.26485660672187805,0.27493807004077375,0.13734667003154755
925,0.20649796724319458,0.9422916769981384,0.25647974014282227,0.2673915329398372,0.13916504383087158
950,0.20316281914710999,0.9424999952316284,0.24854689836502075,0.26018953944181117,0.1409250646829605
975,0.20001567900180817,0.9425416588783264,0.24101772904396057,0.2532586053531274,0.14262977242469788
