pair,n_train,prep,K,oracle,random_probe_mean,random_probe_min,random_probe_max,cos_contrast_v1,contrast_frac_top10,var_frac_v1
CancerEpi-vs-CAS,51526,standardized,2,0.9692381832054937,0.7256602813809351,0.5670053411509578,0.8344644793381791,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,standardized,4,0.9692381832054937,0.8027522321727373,0.7649491988273562,0.8514919079555038,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,standardized,12,0.9692381832054937,0.9551022047307337,0.9382354122324404,0.9688767519376731,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,standardized,32,0.9692381832054937,0.9675247312691592,0.9635356009798802,0.9696397735030721,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,whitened,2,0.9444600618449057,0.5033666653280323,0.47845468053491824,0.5395365647965945,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,whitened,4,0.9444600618449057,0.48604473715915014,0.42990241355768843,0.5412232440464237,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,whitened,12,0.9444600618449057,0.5390278837529952,0.49303240833701456,0.6054375326292116,0.5004841594730822,0.9996995511278708,0.264969240695469
CancerEpi-vs-CAS,51526,whitened,32,0.9444600618449057,0.5913550995274621,0.5251997911730453,0.638448255090157,0.5004841594730822,0.9996995511278708,0.264969240695469
NormalStroma-vs-CAS,36478,standardized,2,0.8095238095238095,0.5801623541349569,0.513752989780387,0.63823657316808,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,standardized,4,0.8095238095238095,0.6386170906718851,0.5785496847140682,0.6728636660143509,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,standardized,12,0.8095238095238095,0.6741139378125679,0.6345401174168297,0.7134159599913024,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,standardized,32,0.8095238095238095,0.7410850184822788,0.7232006958034355,0.760002174385736,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,whitened,2,0.7679930419656447,0.5017395085888237,0.3982931071972168,0.603609480321809,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,whitened,4,0.7679930419656447,0.5088606218743205,0.4269949989128071,0.5544683626875407,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,whitened,12,0.7679930419656447,0.5292454881495977,0.48005001087192867,0.5762665796912372,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalStroma-vs-CAS,36478,whitened,32,0.7679930419656447,0.5998043052837573,0.5699065014133506,0.6288867145031528,0.44300561181173714,0.9667997037419098,0.24776647465518448
NormalEpi-vs-CancerEpi,38819,standardized,2,0.7579598145285935,0.5472780353769534,0.5220504894384338,0.5768675940236991,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,standardized,4,0.7579598145285935,0.5726773140992617,0.5124678001030397,0.6741370427614632,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,standardized,12,0.7579598145285935,0.661617722823287,0.6514167954662545,0.6754765584750129,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,standardized,32,0.7579598145285935,0.7239052035033487,0.7105100463678516,0.7487892838742917,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,whitened,2,0.7612570839773313,0.5747552807831015,0.5468830499742401,0.5907264296754251,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,whitened,4,0.7612570839773313,0.5448394298471579,0.502627511591963,0.5845440494590418,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,whitened,12,0.7612570839773313,0.6239052035033489,0.5712004121586811,0.7043276661514684,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalEpi-vs-CancerEpi,38819,whitened,32,0.7612570839773313,0.5798900910183754,0.4898505924781041,0.6256053580628542,0.2046451288555205,0.8968199809094725,0.2628433444107873
NormalStroma-vs-CancerEpi,44158,standardized,2,0.9890318212593094,0.7807417437749192,0.6101105845181675,0.902234258632363,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,standardized,4,0.9890318212593094,0.8739186037764236,0.8421123899796885,0.9109907470097044,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,standardized,12,0.9890318212593094,0.9776122771383435,0.974272173324306,0.9834348905438953,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,standardized,32,0.9890318212593094,0.9895734597156398,0.9885804558790341,0.990431053938163,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,whitened,2,0.9741367637102234,0.5788309636650869,0.5234484315053035,0.6121417287294064,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,whitened,4,0.9741367637102234,0.5410215903106899,0.42283908824193184,0.609478672985782,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,whitened,12,0.9741367637102234,0.5489957120288874,0.46255924170616114,0.634529451591063,0.8840767400938803,0.9996972772718329,0.2843509195656466
NormalStroma-vs-CancerEpi,44158,whitened,32,0.9741367637102234,0.6255924170616113,0.5620401715188446,0.6842247799593771,0.8840767400938803,0.9996972772718329,0.2843509195656466
