tag,seed,head_mult,mult,width,regime,arm,R_C,update_norm
unready_ctxfree_M8_s2,2,1.0,1.0,8,unready,ctxfree,0.8980581760406494,1.2413470706073726
unready_frozen_M32_s0,0,1.0,1.0,32,unready,frozen,,0.0
unready_frozen_M32_s1,1,1.0,1.0,32,unready,frozen,,0.0
unready_frozen_M32_s2,2,1.0,1.0,32,unready,frozen,,0.0
unready_headlr_M32_h0.00390625_s0,0,0.00390625,1.0,32,unready,headlr,0.9999703764915466,0.21487484620206965
unready_headlr_M32_h0.00390625_s1,1,0.00390625,1.0,32,unready,headlr,0.9999697804450989,0.341134000771979
unready_headlr_M32_h0.00390625_s2,2,0.00390625,1.0,32,unready,headlr,0.9999502301216125,0.22425681930771238
unready_headlr_M32_h0.0625_s0,0,0.0625,1.0,32,unready,headlr,0.999970555305481,0.20947814258424388
unready_headlr_M32_h0.0625_s1,1,0.0625,1.0,32,unready,headlr,0.9999699592590332,0.3304454407463868
unready_headlr_M32_h0.0625_s2,2,0.0625,1.0,32,unready,headlr,0.9999505877494812,0.2153017537462395
unready_headlr_M32_s0,0,1.0,1.0,32,unready,headlr,0.9999711513519287,0.15156217752009427
unready_headlr_M32_s1,1,1.0,1.0,32,unready,headlr,0.9999719262123108,0.23102342808496937
unready_headlr_M32_s2,2,1.0,1.0,32,unready,headlr,0.9999524354934692,0.13741274172786708
unready_sp_M128_s0,0,1.0,1.0,128,unready,sp,0.9999653697013855,0.1724892013130985
unready_sp_M128_s1,1,1.0,1.0,128,unready,sp,0.9999687671661377,0.17002943624690456
unready_sp_M128_s2,2,1.0,1.0,128,unready,sp,0.9999595284461975,0.11273097526832787
unready_sp_M32_s0,0,1.0,1.0,32,unready,sp,0.9999711513519287,0.15156217752009427
unready_sp_M32_s1,1,1.0,1.0,32,unready,sp,0.9999719262123108,0.23102342808496937
unready_sp_M32_s2,2,1.0,1.0,32,unready,sp,0.9999524354934692,0.13741274172786708
unready_sp_M512_s0,0,1.0,1.0,512,unready,sp,0.999951958656311,0.08731036967789535
unready_sp_M512_s1,1,1.0,1.0,512,unready,sp,0.9999709129333496,0.07683980447689524
unready_sp_M512_s2,2,1.0,1.0,512,unready,sp,0.9999688267707825,0.10208486599241978
unready_sp_M8_s0,0,1.0,1.0,8,unready,sp,0.9999778270721436,0.18603153175167342
unready_sp_M8_s1,1,1.0,1.0,8,unready,sp,0.9999604821205139,0.1398810270377127
unready_sp_M8_s2,2,1.0,1.0,8,unready,sp,0.9999592304229736,0.22457641691469862
