step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms
0,1,1.5364112854003906,17807,0.4440237415715728,4.989106394781846,0.08899865154928195,0.9068423509597778
1,1,1.5204545259475708,6770,0.5687001080976736,7.356447646743649,0.07730634885294574,0.9033669829368591
2,1,1.4268951416015625,13543,0.4676364838373388,6.639491738145916,0.0704325725944583,0.8778639435768127
3,1,1.3498084545135498,11441,0.48752874700512083,6.311732839150159,0.077241663966038,0.8561557531356812
4,1,1.4216278791427612,24198,0.196454825529141,3.1821026322629096,0.06173742591997199,0.8744197487831116
5,1,1.2830314636230469,11105,0.34594482597977894,4.482145024485761,0.07718287206010077,0.834246039390564
6,1,1.272979974746704,17552,0.32291437195229256,4.204099644799591,0.076809400165302,0.8295483589172363
7,1,1.176167368888855,10415,0.3157847272765504,4.371822777445028,0.07223182259483729,0.7989952564239502
8,1,1.0986882448196411,11596,0.38402445072924235,4.654063035212647,0.08251380521140998,0.7705830931663513
9,1,1.1054587364196777,15133,0.29648787564640666,3.728168591298004,0.0795264131397828,0.7744060754776001
10,1,0.9519402980804443,7291,0.3955257252769365,5.039932183108163,0.0784783824279426,0.711800754070282
11,1,1.8253329992294312,5972,0.5527516252338347,6.845300394893823,0.08074906773208565,0.989284098148346
12,1,1.7841711044311523,12330,0.597384553587722,6.46425385426146,0.09241353558443764,0.9774563908576965
13,1,1.09278404712677,41375,0.26487154706845656,3.4571194526096725,0.07661625544018637,0.7589663863182068
14,1,0.8084927201271057,5384,0.6154792921872065,6.436149161022497,0.09562850033284981,0.6417071223258972
15,1,1.0339710712432861,13073,0.29317823002636606,3.620115484347355,0.08098587774172628,0.7403707504272461
16,1,1.5975593328475952,7399,0.3131172316754561,5.822652854083198,0.05377569975785616,0.9334245920181274
17,1,1.0041393041610718,26328,0.21933422904270614,2.3445213141514527,0.09355181704628508,0.7242550253868103
18,1,0.8732749223709106,24571,0.2829916761741184,3.675001518049032,0.07700450592583012,0.6670313477516174
19,1,1.2671339511871338,10092,0.16916249074431053,2.277333004991137,0.07428096390536201,0.8290694355964661
20,1,0.8212113976478577,6149,0.2474957887630942,3.32940196182676,0.07433640984197207,0.6365851759910583
21,1,1.052183985710144,8297,0.20826510779702548,4.456444184986237,0.04673347160918653,0.7595036625862122
22,1,0.7083033323287964,14747,0.23496661634813334,3.7825724932919895,0.0621182057355836,0.5836766362190247
23,1,0.96616530418396,18582,0.1673462948658639,3.337082576948895,0.05014748391956755,0.710241436958313
24,1,1.8479771614074707,9676,0.6131374009525284,11.862189207137119,0.051688384854253595,1.0420485734939575
25,1,1.2148898839950562,24355,0.0813016805062506,1.7036706199997804,0.047721478290336045,0.7942883968353271
26,1,0.6984496116638184,33356,0.23016600018297337,3.7577482684941907,0.06125104284197954,0.5816665291786194
27,1,0.9635800123214722,5052,0.15221995214676579,3.340593235788998,0.04556674261204033,0.7145090699195862
28,2,1.2597814798355103,7021,0.22052064662467258,3.165453582542469,0.06966478606439787,0.8401804566383362
29,2,1.169540524482727,8733,0.11644681199819518,2.783136452156471,0.04184013755700921,0.7737104296684265
30,2,1.642210602760315,16591,0.4251880348639148,6.210197549066142,0.06846610458113107,0.9633430242538452
31,2,0.8797362446784973,36971,0.14593022952801063,1.54970366169048,0.09416653850370968,0.6737225651741028
32,2,1.1814409494400024,7022,0.07455988781187829,2.2150130095458964,0.03366115119438069,0.7717701196670532
33,2,1.5146340131759644,10280,0.30284624859036047,3.906462628131788,0.07752441976774138,0.9071172475814819
34,2,1.6426860094070435,7507,0.4682276639299408,4.591623307672606,0.10197431987668285,0.9443548917770386
35,2,0.6370661854743958,11158,0.278696279108544,3.691445590016516,0.07549786995701638,0.5473088026046753
36,2,0.4947268068790436,30779,0.46468423951087545,5.383903349201001,0.08630991482782667,0.4564042091369629
37,2,0.9006263017654419,5370,0.2110666018025451,3.384210935256473,0.06236803965249495,0.682712197303772
38,2,1.8322595357894897,11388,0.7246808120635145,11.72697009130048,0.06179608257047138,1.0428662300109863
39,2,0.6949008107185364,18782,0.19929294279863202,3.1024868645665626,0.06423651460855107,0.5695633888244629
40,2,1.711613655090332,7727,0.6403015986077638,9.998637077773205,0.06403888786313476,0.996751606464386
41,2,0.77536541223526,39004,0.18004466611967843,2.2256663501594365,0.08089472445261167,0.6246617436408997
42,2,0.7586567997932434,11287,0.2199862953723815,2.9105339398466863,0.07558279680596812,0.6142846941947937
43,2,0.5688546895980835,27523,0.24996641180690418,3.9492898233916436,0.06329401562941515,0.5072570443153381
44,2,2.0335538387298584,4093,0.6572232349050775,8.051200369762952,0.08163046561022877,1.0690733194351196
45,2,0.5078102946281433,30767,0.14450718503762594,2.95301759267708,0.048935429777298735,0.4781189262866974
46,2,0.5617230534553528,16984,0.13800386680304016,3.277160054758058,0.04211081073157607,0.5088645815849304
47,2,0.30867984890937805,976,0.16521327483531273,4.455563929044282,0.037080216436421745,0.3137752115726471
48,2,1.7258532047271729,13901,0.23697421638644417,6.228093724568123,0.038049237353575426,0.9467942118644714
49,2,0.8059008121490479,8832,0.2392429254118891,2.8045397989186887,0.08530559113621625,0.6564977169036865
50,2,1.3652337789535522,12309,0.27789435793758543,5.471285022184479,0.05079142410069177,0.8086779117584229
