epoch,train_loss,train_acc,test_loss,test_acc
0,0.5545338429510593,0.7749176025390625,0.8045719861984253,0.28265380859375
1,0.47785877250134945,0.7753753662109375,0.8275235891342163,0.255706787109375
2,0.4702413994818926,0.775726318359375,0.838242769241333,0.255035400390625
3,0.4681469015777111,0.7760391235351562,0.8419743776321411,0.250946044921875
4,0.46729402616620064,0.7761154174804688,0.8419851064682007,0.249786376953125
5,0.4666541200131178,0.7763595581054688,0.8402659893035889,0.2548828125
6,0.46637912653386593,0.7762908935546875,0.8342112302780151,0.25213623046875
7,0.4655263405293226,0.7766876220703125,0.8287051320075989,0.25531005859375
8,0.46497046388685703,0.7772369384765625,0.8212282657623291,0.258331298828125
9,0.46470885165035725,0.77728271484375,0.813936173915863,0.263580322265625
10,0.46416081860661507,0.7775039672851562,0.8082192540168762,0.26654052734375
11,0.4637149032205343,0.7775955200195312,0.7993109226226807,0.273040771484375
12,0.46326667070388794,0.7777328491210938,0.7937055826187134,0.278411865234375
13,0.46367498114705086,0.7774429321289062,0.7889846563339233,0.28570556640625
14,0.46259186416864395,0.778289794921875,0.7834006547927856,0.293212890625
15,0.46212334744632244,0.778076171875,0.7758682370185852,0.305450439453125
16,0.4623201657086611,0.7783584594726562,0.7692334055900574,0.314849853515625
17,0.46161376126110554,0.77850341796875,0.7627755403518677,0.327301025390625
18,0.4613275844603777,0.778167724609375,0.7567127346992493,0.3433837890625
19,0.46127502620220184,0.7786788940429688,0.753771185874939,0.348052978515625
20,0.460471810773015,0.7794189453125,0.7478390336036682,0.36553955078125
21,0.460110230371356,0.7792739868164062,0.7422760128974915,0.380950927734375
22,0.45982082560658455,0.7795562744140625,0.7385720014572144,0.39129638671875
23,0.45955741964280605,0.7795639038085938,0.7347455620765686,0.40362548828125
24,0.45975117571651936,0.7790908813476562,0.7309311628341675,0.418212890625
25,0.4598054550588131,0.7797317504882812,0.7284992933273315,0.4254150390625
26,0.4585619196295738,0.7807846069335938,0.7281221151351929,0.426025390625
27,0.4581607598811388,0.7801666259765625,0.7253347635269165,0.437835693359375
28,0.45846952870488167,0.7808303833007812,0.7225511074066162,0.4449462890625
29,0.45768109895288944,0.78082275390625,0.7208665609359741,0.449859619140625
30,0.45760819129645824,0.7808761596679688,0.7196552753448486,0.454803466796875
31,0.45723757706582546,0.7813949584960938,0.7190550565719604,0.4595947265625
32,0.4565329886972904,0.7817611694335938,0.715701162815094,0.470550537109375
33,0.4561653584241867,0.7816085815429688,0.71438068151474,0.4749755859375
34,0.4558104630559683,0.7811508178710938,0.7117547392845154,0.482421875
35,0.4552050679922104,0.7826690673828125,0.7096863389015198,0.489715576171875
36,0.4544509295374155,0.7829132080078125,0.7065070867538452,0.49908447265625
37,0.45470148511230946,0.7823486328125,0.7068463563919067,0.502471923828125
38,0.454173319041729,0.7830963134765625,0.7066777348518372,0.501312255859375
39,0.45329281874001026,0.7835159301757812,0.7065091729164124,0.5064697265625
40,0.4530402757227421,0.784149169921875,0.7062655687332153,0.50506591796875
41,0.4527158625423908,0.7838668823242188,0.7063789367675781,0.506317138671875
42,0.45204787887632847,0.7843780517578125,0.7059659361839294,0.509979248046875
43,0.45184965059161186,0.7850418090820312,0.704014241695404,0.516998291015625
44,0.45108996517956257,0.7855224609375,0.705784261226654,0.512969970703125
45,0.4505698624998331,0.7855300903320312,0.7083666920661926,0.50823974609375
46,0.4500054307281971,0.7858963012695312,0.7047770023345947,0.51654052734375
47,0.4494624398648739,0.78680419921875,0.7066493034362793,0.513763427734375
48,0.4491940811276436,0.7865066528320312,0.7090351581573486,0.51080322265625
49,0.4481477066874504,0.787384033203125,0.7116272449493408,0.5081787109375
50,0.44775288365781307,0.788055419921875,0.7077528238296509,0.5164794921875
51,0.4473005570471287,0.7878036499023438,0.705513596534729,0.52081298828125
52,0.44642798230051994,0.7883453369140625,0.7062076926231384,0.5208740234375
53,0.44607082195580006,0.7883529663085938,0.7127540111541748,0.51092529296875
54,0.44544454850256443,0.78936767578125,0.7077864408493042,0.5218505859375
55,0.44563571177423,0.7889556884765625,0.71263587474823,0.514404296875
56,0.4444685261696577,0.789642333984375,0.7086827754974365,0.520477294921875
57,0.4431999456137419,0.7901535034179688,0.7115188837051392,0.51751708984375
58,0.4430658034980297,0.7900009155273438,0.711568295955658,0.5159912109375
59,0.4425653498619795,0.791351318359375,0.7101059556007385,0.5224609375
60,0.44106427766382694,0.792266845703125,0.7139847278594971,0.517425537109375
61,0.4406981058418751,0.7924880981445312,0.7211258411407471,0.5087890625
62,0.43998847156763077,0.7932281494140625,0.713171660900116,0.51904296875
63,0.44005032628774643,0.7938461303710938,0.7136601209640503,0.52191162109375
64,0.4394014645367861,0.7932662963867188,0.7167345285415649,0.518890380859375
65,0.4384323824197054,0.7938919067382812,0.7172191739082336,0.5166015625
66,0.4377911426126957,0.7942352294921875,0.7221417427062988,0.514007568359375
