epoch,train_loss,train_acc,test_loss,test_acc
0,0.5572316627949476,0.7713470458984375,0.8195333480834961,0.3389892578125
1,0.48185023479163647,0.772247314453125,0.8250945806503296,0.298126220703125
2,0.4740909095853567,0.773468017578125,0.8213701248168945,0.30267333984375
3,0.47105107083916664,0.7739639282226562,0.809027910232544,0.3038330078125
4,0.4697168320417404,0.7748336791992188,0.793269157409668,0.318603515625
5,0.4686344787478447,0.7745742797851562,0.7772152423858643,0.3389892578125
6,0.46796351484954357,0.7755966186523438,0.7598897814750671,0.359405517578125
7,0.46685335971415043,0.7761459350585938,0.7450653314590454,0.38421630859375
8,0.4661072753369808,0.7766036987304688,0.7317013144493103,0.41802978515625
9,0.46555268950760365,0.7764358520507812,0.7218302488327026,0.445068359375
10,0.4647409748286009,0.77685546875,0.7134771347045898,0.469207763671875
11,0.4641108885407448,0.77728271484375,0.7035961747169495,0.4986572265625
12,0.463381702080369,0.7773818969726562,0.6998162269592285,0.509185791015625
13,0.46361882612109184,0.7776870727539062,0.695004940032959,0.52606201171875
14,0.46233670599758625,0.778411865234375,0.691046416759491,0.53778076171875
15,0.46148512698709965,0.778564453125,0.685063898563385,0.554901123046875
16,0.46139119751751423,0.7790756225585938,0.6825172305107117,0.5606689453125
17,0.46042036823928356,0.7795562744140625,0.6792651414871216,0.57049560546875
18,0.45961571484804153,0.779815673828125,0.6773150563240051,0.57568359375
19,0.45923911966383457,0.7802505493164062,0.6782552003860474,0.571807861328125
20,0.4580816272646189,0.7810592651367188,0.6739770174026489,0.583221435546875
21,0.4573101568967104,0.7814178466796875,0.6721997857093811,0.585968017578125
22,0.45662118680775166,0.7818145751953125,0.6746971011161804,0.579559326171875
23,0.45583144947886467,0.782379150390625,0.6721448302268982,0.585235595703125
24,0.4554257318377495,0.7825393676757812,0.6705474257469177,0.58746337890625
25,0.4550902135670185,0.7835693359375,0.6715123653411865,0.585845947265625
26,0.45336297526955605,0.7846450805664062,0.6742479801177979,0.578887939453125
27,0.45232328958809376,0.7844085693359375,0.6739636659622192,0.580169677734375
28,0.4521725308150053,0.7853622436523438,0.6744033694267273,0.580078125
29,0.45078086107969284,0.7860336303710938,0.6742410063743591,0.578521728515625
30,0.4500939343124628,0.7871627807617188,0.6746199727058411,0.57818603515625
31,0.44901842810213566,0.7879180908203125,0.6776341795921326,0.570892333984375
32,0.44762627594172955,0.7884445190429688,0.6717832088470459,0.585418701171875
33,0.44648645259439945,0.7889404296875,0.6754299402236938,0.5771484375
34,0.44549485109746456,0.7896270751953125,0.672958493232727,0.579254150390625
35,0.4443443212658167,0.790618896484375,0.6726454496383667,0.5841064453125
36,0.4427880775183439,0.792022705078125,0.6706981658935547,0.58624267578125
37,0.4421955831348896,0.7908782958984375,0.674744725227356,0.579254150390625
38,0.44113759882748127,0.7932052612304688,0.6761572957038879,0.57647705078125
39,0.4391820542514324,0.7940750122070312,0.6773484945297241,0.573516845703125
40,0.4381834343075752,0.7945098876953125,0.6775552034378052,0.5714111328125
41,0.43718231841921806,0.7956466674804688,0.6759636402130127,0.5787353515625
42,0.4358448423445225,0.7965164184570312,0.6773049831390381,0.57568359375
43,0.43498573638498783,0.79718017578125,0.6741713285446167,0.579437255859375
44,0.4332653731107712,0.7990036010742188,0.684076189994812,0.563385009765625
45,0.4317476060241461,0.7987213134765625,0.6860626935958862,0.55975341796875
46,0.4305917154997587,0.8000259399414062,0.6770108342170715,0.576507568359375
47,0.4288525152951479,0.801239013671875,0.6885790228843689,0.558380126953125
48,0.4280162565410137,0.802154541015625,0.685594916343689,0.563385009765625
49,0.4259694181382656,0.8043594360351562,0.6898690462112427,0.558258056640625
50,0.4247272480279207,0.8045806884765625,0.6831148266792297,0.570648193359375
51,0.42344874516129494,0.8055343627929688,0.6830011010169983,0.569915771484375
52,0.4213840812444687,0.8071670532226562,0.6891156435012817,0.560546875
53,0.4205793794244528,0.807586669921875,0.6994003057479858,0.54998779296875
54,0.41894374787807465,0.8092422485351562,0.6846776008605957,0.56988525390625
55,0.41839549504220486,0.8062744140625,0.7012012004852295,0.552032470703125
56,0.416268702596426,0.8102645874023438,0.687635064125061,0.56817626953125
57,0.41421192325651646,0.811676025390625,0.7000620365142822,0.55279541015625
58,0.4128355570137501,0.81170654296875,0.6931290030479431,0.562255859375
59,0.41128450259566307,0.8131561279296875,0.7041507959365845,0.5506591796875
60,0.40910818986594677,0.8154220581054688,0.7070231437683105,0.548492431640625
61,0.40817013941705227,0.816162109375,0.706123948097229,0.554168701171875
62,0.4063389617949724,0.8167266845703125,0.697303056716919,0.564666748046875
63,0.40553118847310543,0.8183059692382812,0.7175068855285645,0.53948974609375
64,0.4051566421985626,0.8156890869140625,0.7151179909706116,0.55255126953125
65,0.4030320532619953,0.8201370239257812,0.7169466614723206,0.545806884765625
66,0.40072098560631275,0.8209686279296875,0.711272656917572,0.5574951171875
67,0.39919354394078255,0.822998046875,0.7292026281356812,0.5361328125
68,0.39765883423388004,0.8236007690429688,0.71087247133255,0.55987548828125
69,0.3953335899859667,0.8238983154296875,0.7254320383071899,0.547515869140625
70,0.39399716071784496,0.8248977661132812,0.7299166917800903,0.545379638671875
71,0.3929963856935501,0.8254928588867188,0.7257378101348877,0.549774169921875
72,0.3913667071610689,0.8259124755859375,0.72527015209198,0.55303955078125
73,0.39060799591243267,0.8275604248046875,0.736564040184021,0.541534423828125
74,0.3884496185928583,0.8286361694335938,0.7401273846626282,0.541229248046875
75,0.38647195883095264,0.8293380737304688,0.7438516020774841,0.544403076171875
76,0.3861339073628187,0.83050537109375,0.7525442838668823,0.541229248046875
77,0.38407556526362896,0.8317108154296875,0.7396954894065857,0.55181884765625
78,0.3818530458956957,0.8310394287109375,0.7571694850921631,0.543121337890625
79,0.3803938776254654,0.8344345092773438,0.7610598802566528,0.53680419921875
80,0.37827570363879204,0.834075927734375,0.759440541267395,0.539398193359375
81,0.37682269886136055,0.8366165161132812,0.758563756942749,0.542694091796875
82,0.3761631194502115,0.8341751098632812,0.7602080702781677,0.54400634765625
83,0.3735817726701498,0.8381195068359375,0.7829166650772095,0.531005859375
84,0.372780067846179,0.8364028930664062,0.7698691487312317,0.545654296875
85,0.37084497697651386,0.8372421264648438,0.7950476408004761,0.531951904296875
86,0.36950235813856125,0.8379058837890625,0.7848092317581177,0.542266845703125
87,0.36842586286365986,0.841888427734375,0.7982444167137146,0.53375244140625
88,0.36608945950865746,0.840606689453125,0.7921813726425171,0.541290283203125
89,0.36439131759107113,0.8426437377929688,0.7901877164840698,0.54364013671875
90,0.36302475817501545,0.8425521850585938,0.7861232161521912,0.547943115234375
91,0.3615161329507828,0.8456573486328125,0.8103317022323608,0.533538818359375
92,0.36030416190624237,0.8458175659179688,0.8165128231048584,0.534332275390625
93,0.35853789933025837,0.84735107421875,0.816852331161499,0.53564453125
94,0.356816066429019,0.8462295532226562,0.8286111354827881,0.530120849609375
95,0.3556517418473959,0.8482742309570312,0.820283055305481,0.53759765625
96,0.35396955721080303,0.8485260009765625,0.8206794261932373,0.538909912109375
97,0.35279772616922855,0.8496322631835938,0.8421592712402344,0.532958984375
98,0.35212500393390656,0.85015869140625,0.8320183753967285,0.535125732421875
