epoch,train_loss,train_acc,test_loss,test_acc
0,0.6014756001532078,0.775787353515625,0.6590897440910339,0.754547119140625
1,0.5981245003640652,0.7773513793945312,0.6499120593070984,0.760711669921875
2,0.592430830001831,0.7775344848632812,0.6545188426971436,0.757904052734375
3,0.5899571776390076,0.7777786254882812,0.6579481363296509,0.755126953125
4,0.5897301062941551,0.779144287109375,0.6598307490348816,0.7548828125
5,0.5888046212494373,0.7783203125,0.6607824563980103,0.751251220703125
6,0.5868199318647385,0.7786712646484375,0.6594977378845215,0.74774169921875
7,0.5842009782791138,0.779144287109375,0.6586980819702148,0.7484130859375
8,0.583378478884697,0.7801437377929688,0.659282922744751,0.74676513671875
9,0.5828891955316067,0.7796783447265625,0.6595586538314819,0.74383544921875
10,0.5827757939696312,0.7801132202148438,0.6606217622756958,0.7386474609375
11,0.5823802016675472,0.7802810668945312,0.6615853905677795,0.7388916015625
12,0.5821080878376961,0.7799758911132812,0.6630990505218506,0.732177734375
13,0.5817670300602913,0.7808151245117188,0.6641885042190552,0.732177734375
14,0.5818086378276348,0.78131103515625,0.6644304990768433,0.72991943359375
15,0.5815229453146458,0.7819671630859375,0.665574848651886,0.7232666015625
16,0.5812910199165344,0.7820663452148438,0.6662972569465637,0.719757080078125
17,0.5805874764919281,0.782012939453125,0.6672860980033875,0.714691162109375
18,0.5809487588703632,0.7820205688476562,0.6676201820373535,0.709808349609375
19,0.5806359015405178,0.7828140258789062,0.6685140132904053,0.709320068359375
20,0.5805121809244156,0.7828598022460938,0.6693427562713623,0.70330810546875
21,0.5800502113997936,0.7837066650390625,0.670547604560852,0.692291259765625
22,0.5799279399216175,0.7839584350585938,0.6705843210220337,0.69024658203125
23,0.5797115936875343,0.784149169921875,0.6716015338897705,0.68743896484375
24,0.5792961418628693,0.7846450805664062,0.672855794429779,0.671234130859375
25,0.5791657343506813,0.78515625,0.6720535755157471,0.679107666015625
26,0.5789693295955658,0.7858734130859375,0.6732262372970581,0.670257568359375
27,0.5786953866481781,0.7861099243164062,0.673938512802124,0.65972900390625
28,0.5784722343087196,0.7869873046875,0.6747186183929443,0.652801513671875
29,0.5779026187956333,0.7875442504882812,0.6753799915313721,0.649017333984375
30,0.5777016431093216,0.787872314453125,0.6760735511779785,0.638641357421875
31,0.5774247013032436,0.787933349609375,0.6769454479217529,0.631072998046875
32,0.5773142017424107,0.788970947265625,0.6766952276229858,0.633880615234375
33,0.5768025778234005,0.7885284423828125,0.6779221892356873,0.619903564453125
34,0.5765810087323189,0.7893447875976562,0.6787047386169434,0.608978271484375
35,0.5762212388217449,0.7898788452148438,0.6769376993179321,0.615386962890625
36,0.5762079022824764,0.7908248901367188,0.678277850151062,0.61309814453125
37,0.575338140130043,0.7917556762695312,0.6772918701171875,0.61468505859375
38,0.574993185698986,0.7925567626953125,0.678826630115509,0.604095458984375
39,0.5748285837471485,0.7927780151367188,0.6785054206848145,0.603118896484375
40,0.5743192881345749,0.7936477661132812,0.6798189878463745,0.596527099609375
41,0.5740699097514153,0.7944717407226562,0.679027259349823,0.599334716796875
42,0.5737754330039024,0.7957077026367188,0.6804389953613281,0.590057373046875
43,0.5732403844594955,0.796173095703125,0.6808932423591614,0.58514404296875
44,0.5725911632180214,0.797149658203125,0.6775466799736023,0.602508544921875
45,0.5722918324172497,0.797943115234375,0.6816879510879517,0.57708740234375
46,0.5717519037425518,0.798553466796875,0.6792035102844238,0.588287353515625
47,0.5712035521864891,0.7993316650390625,0.6794517040252686,0.58673095703125
48,0.571076076477766,0.8001174926757812,0.6806622743606567,0.5787353515625
49,0.5707126297056675,0.8010101318359375,0.6803829073905945,0.579620361328125
50,0.5702764503657818,0.8015899658203125,0.6806079149246216,0.577850341796875
51,0.5692894458770752,0.8023910522460938,0.6845459938049316,0.55914306640625
52,0.5694293491542339,0.8037490844726562,0.6808087825775146,0.57470703125
53,0.5691200532019138,0.8048095703125,0.6815159320831299,0.570526123046875
54,0.5680849216878414,0.8046875,0.6840814352035522,0.557037353515625
55,0.5681224651634693,0.8050384521484375,0.6826164722442627,0.56463623046875
56,0.5674441903829575,0.8064346313476562,0.6867808699607849,0.54888916015625
57,0.5670742467045784,0.8066635131835938,0.6823306083679199,0.56365966796875
58,0.5663837939500809,0.8082122802734375,0.6835143566131592,0.55731201171875
59,0.566017173230648,0.809844970703125,0.684078574180603,0.557525634765625
60,0.5657976679503918,0.8112335205078125,0.685748815536499,0.549774169921875
