step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7430167198181152,0.4522705078125,0.3210412263870239,0.48062259842354654,0.004407218006131267,0.038078032095115545,0.23032517543984132,0.67701203892871,0.05474612045832117,0.4642450934845632,3.469438102796015,0.0
25,0.7349016666412354,0.4638214111328125,0.3122677803039551,0.4665198468265952,0.004401513839101548,0.037846903106826875,0.23014271738521253,0.6748564064096091,0.054719077346797484,0.46125251968574477,3.4689353083734606,0.0022826589560103667
50,0.7272216081619263,0.475128173828125,0.3043781518936157,0.4541168008960846,0.004396237504264075,0.03764877512341916,0.2299755543186482,0.6730022660459374,0.05469642008583441,0.4586413390173824,3.468495224396701,0.004505632138888017
75,0.7199289798736572,0.4880828857421875,0.29732412099838257,0.44297195369331643,0.0043913461052286756,0.03748183733372824,0.2298223017354028,0.6714346844580285,0.05467760501744749,0.45639029912653706,3.468113772256207,0.006672792408786715
100,0.71296226978302,0.49981689453125,0.29131051898002625,0.4330352325253145,0.004386838244398381,0.037344217747109214,0.22968269675476966,0.6701378554359696,0.054662589786193774,0.45447925846486675,3.4677874310388974,0.008792616927178745
125,0.7062805891036987,0.5124053955078125,0.2860647141933441,0.42422419820938834,0.0043827208795551124,0.037234259483830474,0.2295567187660836,0.669097585212691,0.054651514490948835,0.4528914754737313,3.467513032319527,0.010870007271523487
150,0.6998584270477295,0.52471923828125,0.2808501422405243,0.41628187451784215,0.004378995000707427,0.03715048942197333,0.2294442125715083,0.6683010642807168,0.05464426658880514,0.45160954410181225,3.4672877320171227,0.012906299664621725
175,0.6936697959899902,0.537078857421875,0.2754671573638916,0.4085335750063317,0.004375625397000798,0.037092003326851045,0.22934409633218356,0.667740384756471,0.054640515912546525,0.45062174385889414,3.467109021221742,0.014903911435518264
200,0.6876923441886902,0.549102783203125,0.27145346999168396,0.4023048638239004,0.004372625869020103,0.03705732674240916,0.22925658196728982,0.6674022963848469,0.05464038186518186,0.44991186331140354,3.466974546760093,0.01686375785996716
225,0.681887686252594,0.5611419677734375,0.26733770966529846,0.39623218333910637,0.0043700056962626835,0.03704546001491016,0.2291817794598275,0.6672776544890165,0.05464412222186898,0.4494683141225683,3.4668822035287623,0.018792991071207042
250,0.6762530207633972,0.573699951171875,0.26364052295684814,0.39096997663801836,0.004367736910841356,0.03705542525697061,0.22911883734433464,0.667357371893866,0.05465122217703472,0.4492808535816346,3.466830122300897,0.02069032986851201
275,0.6707555651664734,0.5847015380859375,0.26065728068351746,0.3867222617204557,0.004365821018473562,0.03708633274872542,0.22906768303088368,0.6676330148696865,0.05466180263717152,0.4493365673427416,3.4668165358312364,0.022560474830165392
300,0.6653673648834229,0.59521484375,0.25804927945137024,0.3831066617268035,0.0043642208315961845,0.03713736441627565,0.22902724705542682,0.6680967105674616,0.05467559947163245,0.449625408621735,3.466839960733214,0.024408129015843546
325,0.660069465637207,0.606048583984375,0.2562412917613983,0.3802852915297793,0.004362946218500083,0.03720759427283943,0.22899770538513212,0.6687395309697506,0.05469282260351267,0.45013501362730957,3.4668990891895013,0.026236250563738305
350,0.6548506617546082,0.615997314453125,0.2539001405239105,0.37724937772706035,0.004361997175138127,0.0372966026239412,0.22897897752876722,0.669557005635305,0.05471316711751818,0.4508610901680078,3.466992656471098,0.02804685609111357
375,0.6497049331665039,0.6258087158203125,0.2529492974281311,0.375287401319819,0.004361389687757997,0.037403691804602165,0.22897140819877823,0.6705420901557694,0.05473689247777995,0.45179821185711805,3.4671194866257324,0.029840754565092612
400,0.6446092128753662,0.6357574462890625,0.25173258781433105,0.3732663515744868,0.004361096284340905,0.037528380836015056,0.22897421770071572,0.6716896555213994,0.054763832752146566,0.45293985744618187,3.4672786574668693,0.03162409921382841
425,0.6395621299743652,0.64508056640625,0.2508021295070648,0.37152054447926824,0.004361105564480991,0.03767013823320685,0.2289870387625316,0.6729940245479931,0.0547937519040788,0.454280104479714,3.4674691131661497,0.0333965341343925
450,0.634560227394104,0.654632568359375,0.24980896711349487,0.37013047655981446,0.004361431345230435,0.037828252329465586,0.22901018266331494,0.674447907439148,0.0548268549142544,0.45581111162875965,3.4676900547515137,0.035156668878565764
475,0.6295967698097229,0.663421630859375,0.248545303940773,0.3686780350800268,0.004362085035857139,0.038002488127502086,0.22904388897856726,0.6760482006841778,0.054863266746452574,0.4575298066070556,3.4679405609582625,0.03690626407355952
500,0.6246715784072876,0.6715545654296875,0.2474503517150879,0.3674676722357051,0.004363052587691955,0.03819224742318731,0.22908773003467434,0.6777885263043206,0.054902835682659766,0.45942836355518,3.468219735218207,0.03864375131347521
525,0.6197777986526489,0.67950439453125,0.24694761633872986,0.3668503450362188,0.0043643048646105275,0.038397169100290535,0.22914088212603734,0.6796645894615718,0.05494519934754789,0.4615020996900434,3.468526688791931,0.040370892713514676
550,0.6148979067802429,0.68707275390625,0.24637724459171295,0.3660316117714688,0.004365865314434949,0.03861700925433759,0.22920391409359842,0.6816731387527095,0.0549906009224015,0.4637473276285369,3.4688607222845778,0.04209243981763317
575,0.6100374460220337,0.6944732666015625,0.24612748622894287,0.3656068301162346,0.004367761790238532,0.038851566768062284,0.22927750226525326,0.683811244804055,0.05503919965803916,0.46616325453757074,3.469221023435684,0.04380635321002797
600,0.6051892042160034,0.7014312744140625,0.24569831788539886,0.36496688926063586,0.004369945970091149,0.039100210359297206,0.22936033095773953,0.6860721968688204,0.05509058424599607,0.4687419373355294,3.469606900701631,0.04551484365682426
625,0.6003571152687073,0.7078704833984375,0.24531537294387817,0.364641375345757,0.004372402792788307,0.039362354748734944,0.22945195290563522,0.6884496958710479,0.05514453012891056,0.47147720855504666,3.470017594740552,0.04721641335691572
650,0.5955340266227722,0.713470458984375,0.24488918483257294,0.3643033981776696,0.004375139886243206,0.039637745956514654,0.2295525180604756,0.6909403639295529,0.0552010442730258,0.4743656121675538,3.4704523789907524,0.048911694201292225
