arm,param,train_cond,width,mult,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star
nlenc,sp,iid,32,1,1,1,init,0,0.6982060670852661,0.5189361572265625,0.19035197526958253,0.503089680794828,0.64227294921875,0.010389566421508789,,,,,,,8.757153008844561,0.0,0.51617431640625,0.48822021484375,0.5072021484375,0.4996337890625,0.51092529296875,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.6,594,0.5998484492301941,0.743743896484375,0.20738167769048316,0.3454920298330735,0.64459228515625,3.3179831504821777,,,,,,,8.761679521496395,0.011939462255185896,0.74786376953125,0.27423095703125,0.51104736328125,0.51861572265625,0.7401123046875,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.5,1152,0.4999569058418274,0.81951904296875,0.25188718932157056,0.3541093420339573,0.6490478515625,6.457627296447754,,,,,,,8.774744641865421,0.025920701010609132,0.81793212890625,0.19580078125,0.50799560546875,0.526611328125,0.81121826171875,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.4,1720,0.3999522924423218,0.853729248046875,0.243147598701998,0.30796169581754224,0.65289306640625,9.691381454467773,,,,,,,8.792530465772506,0.041280920892388606,0.85504150390625,0.16009521484375,0.505126953125,0.53125,0.84912109375,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.3,2606,0.29997727274894714,0.8846435546875,0.18483967012348226,0.20897341174930256,0.6622314453125,14.764064073562622,,,,,,,8.81751591332983,0.0612291533735502,0.88665771484375,0.1279296875,0.506591796875,0.5328369140625,0.8828125,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.2,5533,0.1999848634004593,0.9192962646484375,0.08978056658686397,0.08546241890529116,0.68853759765625,31.693269968032837,,,,,,,8.857520532093043,0.09670695338031438,0.92279052734375,0.0902099609375,0.505859375,0.53668212890625,0.92022705078125,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.15,11766,0.14999862015247345,0.94036865234375,0.04712946772573222,0.03738394009920861,0.7384033203125,66.62314796447754,,,,,,,8.880630678825423,0.13000478890582376,0.94195556640625,0.07379150390625,0.50701904296875,0.5587158203125,0.93804931640625,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,0.1,26088,0.09999644756317139,0.96258544921875,0.05484306018081756,0.042049311688904425,0.86444091796875,158.35029578208923,,,,,,,8.90431934901586,0.1750545400883561,0.95928955078125,0.104736328125,0.533203125,0.75531005859375,0.9361572265625,stopped,0.001,1.70233154296875,True
nlenc,sp,iid,32,1,1,1,final,26088,0.09999644756317139,0.96258544921875,0.05484306018081756,0.042049311688904425,0.86444091796875,158.36340475082397,,,,,,,8.90431934901586,0.1750545400883561,0.95928955078125,0.104736328125,0.533203125,0.75531005859375,0.9361572265625,stopped,0.001,1.70233154296875,True
