step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7676566243171692,0.4538726806640625,0.44051456451416016,0.4862830566863313,0.004395015859915604,0.034879665316594505,0.22954524469034346,0.6466573697873307,0.060406160718731734,0.4137186334799259,3.4624864055836073,0.0
25,0.757256805896759,0.464813232421875,0.4243912696838379,0.4701539829850852,0.004409657186904028,0.03451965345502384,0.22987743277252992,0.6431720124735287,0.060548066193183134,0.40888231183097334,3.4617358391437762,0.003124614298044286
50,0.7475494146347046,0.4758758544921875,0.4094266891479492,0.4558437539501459,0.004424877102273852,0.034203330369361504,0.2302293406574547,0.6400947436786559,0.060697535418857855,0.404560346451286,3.4610674520054436,0.006135938585160745
75,0.7384384274482727,0.4864959716796875,0.39639997482299805,0.44330596834231123,0.004440609078094477,0.033927463000874916,0.23059875649653172,0.6373990070546937,0.06085352603598443,0.4007157864794173,3.460474790925955,0.009044247859424075
100,0.7298564314842224,0.497344970703125,0.38355737924575806,0.4307367754303739,0.004456912741079256,0.033689081494900526,0.23098680148314796,0.6350598912329952,0.06101696797204674,0.397313884096807,3.4599522038226627,0.011860171030834171
125,0.7217470407485962,0.50823974609375,0.3733767867088318,0.4206554167513935,0.004473768627958125,0.03348550031912089,0.23139258225907566,0.6330544543533408,0.06118736484407923,0.39432509840224067,3.459494725688855,0.01459010461902762
150,0.7140398025512695,0.51910400390625,0.36281681060791016,0.41066839728939863,0.004491197302997134,0.03331401571632286,0.2318162831939106,0.6313589833173603,0.06136464662434642,0.39172162310864617,3.4590980386919368,0.017244450595428614
175,0.7067123651504517,0.5284576416015625,0.3532646894454956,0.40137909522314663,0.004509151076477584,0.0331733498514179,0.2322563488871065,0.6299627437138029,0.06154860720986191,0.3894867179382853,3.458758197029346,0.019824805250216113
200,0.6997342109680176,0.538787841796875,0.34369710087776184,0.39280225578955225,0.004527583773206415,0.03306164197960806,0.23271128939785196,0.6288490576460504,0.06173857772609766,0.38759941167328565,3.458471531474275,0.02233360282101794
225,0.6930549740791321,0.548583984375,0.33555665612220764,0.3854602345927895,0.004546515943797954,0.03297665690903184,0.23318135962748993,0.6279973107271197,0.06193461046117783,0.38603350306772644,3.458234754433891,0.024778395613852127
250,0.68665611743927,0.5589141845703125,0.3278082311153412,0.37865597493231007,0.004565929755227555,0.032916886944333985,0.23366584427754733,0.6273934780878044,0.06213669734996017,0.3847711989694024,3.4580448514947815,0.027161160832907528
275,0.6805092096328735,0.5682830810546875,0.3203009068965912,0.3720880351280099,0.004585857763538593,0.0328808761607405,0.23416533398131323,0.6270237668485987,0.06234525718910293,0.383794539333596,3.457899063467362,0.029487223609680497
300,0.6746035218238831,0.5775604248046875,0.31301164627075195,0.3659525624153748,0.004606245467129709,0.032867293921874825,0.23467821384578244,0.626875374025567,0.06255936352030489,0.3830904155839763,3.45779494603534,0.03175594357312464
325,0.6688956022262573,0.58685302734375,0.3069871664047241,0.3609769833549011,0.004627148205422885,0.03287521181944973,0.23520568883788798,0.6269391583541062,0.06277971558228049,0.38264581866255853,3.457730308051691,0.03397575311269809
350,0.6633751392364502,0.596435546875,0.30064457654953003,0.35582117234424254,0.00464848766150031,0.03290335145487672,0.23574557235247834,0.6272024869389115,0.06300564178697007,0.3824474780314788,3.457703133639662,0.03614844323192945
375,0.6580364108085632,0.6062164306640625,0.29493406414985657,0.3510090244376161,0.004670265718223509,0.03295018086742859,0.2362977324357703,0.6276501834490383,0.06323701389133932,0.38247779326457265,3.457711534435588,0.038273969952586105
400,0.6528570652008057,0.6147613525390625,0.28963854908943176,0.34661255347620756,0.00469249955533087,0.03301487425786395,0.23686242439920252,0.6282736908363172,0.0634739942885811,0.3827261074650395,3.4577536633069617,0.040358273265701246
425,0.6478179693222046,0.6222381591796875,0.28484007716178894,0.34273498910247246,0.004715201046092121,0.03309666949338959,0.23743978815941896,0.6290650184084625,0.06371662760843444,0.38318463838571926,3.4578280158487518,0.04240445168995118
450,0.6429160237312317,0.6297607421875,0.2803962230682373,0.33877261027735145,0.004738296818325005,0.033195141396429595,0.2380278205652795,0.6300192949264023,0.06396411988433374,0.383847666014688,3.4579331165836305,0.044413333149675556
475,0.6381397843360901,0.6374359130859375,0.27620378136634827,0.3355876679311733,0.004761818090840353,0.03330952075812405,0.23862715595892572,0.6311283036642594,0.0642166811777348,0.3847065685055293,3.4580674890266514,0.046387250330828515
500,0.6334692239761353,0.6445770263671875,0.27243754267692566,0.33265963974780904,0.004785761162256442,0.033439312011209026,0.23923756336871335,0.6323864077087343,0.06447439947885955,0.38575515015774464,3.458229888830723,0.048328462865711894
525,0.6288990378379822,0.65216064453125,0.2684641480445862,0.32954934962334753,0.00481011200502891,0.03358336048899924,0.23985856418347892,0.6337817227342929,0.06473680730440634,0.38697955379398497,3.4584192114823793,0.05023983533489707
550,0.6244235038757324,0.65911865234375,0.2652178108692169,0.32691690331498624,0.004834877112309357,0.03374110688318703,0.24049018785743745,0.6353079710176935,0.06500402823713511,0.38837360779698304,3.4586342791487956,0.05212210251121929
575,0.6200299859046936,0.6655120849609375,0.2620512843132019,0.3248215634817889,0.004860063299260846,0.033912407209391385,0.24113248502854998,0.6369627983751261,0.06527636930747324,0.38993174041926965,3.4588741369715303,0.0539780047261003
600,0.6157106161117554,0.6716461181640625,0.2591562867164612,0.32273816918198883,0.004885656905217072,0.03409640009084065,0.24178499551718652,0.6387370788736186,0.06555363960227448,0.3916455466426879,3.459137803533145,0.05580804604736474
625,0.6114641427993774,0.677093505859375,0.25604546070098877,0.3203688362307063,0.004911611863551968,0.03429285275603748,0.24244647301544803,0.6406276188769673,0.06583517036033959,0.3935123789689465,3.459424451828039,0.057613502400602
650,0.6072952151298523,0.6823577880859375,0.25314509868621826,0.31812326150968456,0.004937905993720213,0.0345012364837541,0.24311626890718743,0.642628442193229,0.06612077396685548,0.3955260023256307,3.459733232194409,0.05939282711461588
675,0.6031990647315979,0.6873321533203125,0.2500031590461731,0.3157763579704796,0.004964526397776445,0.034720974207244994,0.24379396906187717,0.6447331442196611,0.06641037086917352,0.3976796294935616,3.4600633135684324,0.0611473239591319
