seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_acc,wall_s,retrained_acc_iid,retrained_acc_reversed,retrained_acc_ctx_random,retrained_acc_spec_only,retrained_acc_ctx_only,original_acc_iid,original_acc_reversed,original_acc_ctx_random,original_acc_spec_only,original_probe_acc,original_h_u
0,init,20000,budget,0.6580499410629272,0.6075592041015625,0.64715576171875,23.686433792114258,0.591552734375,0.5987548828125,0.59619140625,0.62103271484375,0.49658203125,,,,,,
0,kappa1,20000,budget,0.6445000171661377,0.6266326904296875,0.6746826171875,23.39001202583313,0.6075439453125,0.61767578125,0.6116943359375,0.64080810546875,0.4962158203125,0.88787841796875,0.12835693359375,0.51483154296875,0.5355224609375,0.6746826171875,0.0788388529965156
0,kappa256,20000,budget,0.3282853662967682,0.8560028076171875,0.86981201171875,23.271279335021973,0.8453369140625,0.8397216796875,0.84417724609375,0.8607177734375,0.50054931640625,0.87969970703125,0.1519775390625,0.5186767578125,0.64129638671875,0.86981201171875,0.4750458287611119
1,init,20000,budget,0.6593348979949951,0.6043243408203125,0.657958984375,23.485557079315186,0.596435546875,0.59014892578125,0.59283447265625,0.6300048828125,0.50433349609375,,,,,,
1,kappa1,20000,budget,0.6583195328712463,0.608551025390625,0.68292236328125,23.478576183319092,0.59405517578125,0.59149169921875,0.591552734375,0.64697265625,0.5028076171875,0.8984375,0.12139892578125,0.51055908203125,0.55078125,0.68292236328125,0.0850203482186042
1,kappa256,20000,budget,0.44736868143081665,0.7905120849609375,0.861328125,23.356110095977783,0.77557373046875,0.771484375,0.7730712890625,0.81494140625,0.501220703125,0.87811279296875,0.14581298828125,0.51031494140625,0.6148681640625,0.861328125,0.4425318801368305
2,init,20000,budget,0.6816108226776123,0.5616607666015625,0.61492919921875,23.452709674835205,0.56195068359375,0.532958984375,0.5460205078125,0.582763671875,0.5169677734375,,,,,,
2,kappa1,20000,budget,0.6761078238487244,0.5732879638671875,0.62847900390625,23.308852195739746,0.57421875,0.538818359375,0.55438232421875,0.58770751953125,0.51885986328125,0.88812255859375,0.11248779296875,0.49951171875,0.5072021484375,0.62847900390625,0.0357055249443669
2,kappa256,20000,budget,0.46977442502975464,0.7745208740234375,0.82025146484375,23.403772830963135,0.7568359375,0.75042724609375,0.75506591796875,0.7901611328125,0.506591796875,0.87969970703125,0.1300048828125,0.4996337890625,0.5697021484375,0.82025146484375,0.3009340144407163
