arm,param,train_cond,width,mult,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star
sp,sp,iid,512,1,1,1,init,0,0.699057936668396,0.5296630859375,0.2939944267272949,2.284480237149992,0.657958984375,0.04613661766052246,0.004395015859915604,0.034879665316594505,0.22954524469034346,0.6466573697873307,0.060406160718731734,0.4137186334799259,3.4624864055836073,0.0,0.51727294921875,0.48199462890625,0.50006103515625,0.51641845703125,0.5098876953125,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.6,23,0.5982451438903809,0.7158966064453125,0.26151758432388306,1.8724214956917393,0.657958984375,0.5399210453033447,0.004411189642425837,0.03498596561853336,0.22997775451620173,0.647671664587946,0.060609123082685394,0.414952235341453,3.462644967912126,0.001781695879862373,0.71258544921875,0.30670166015625,0.51104736328125,0.5291748046875,0.6998291015625,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.5,59,0.4984239339828491,0.82574462890625,0.2802775800228119,1.4321850380822516,0.65850830078125,1.301727056503296,0.004447112309033553,0.03560987541323076,0.23098372679955342,0.6536233561257364,0.06107891119298174,0.42213991002904805,3.463716476218775,0.004403207308337811,0.8248291015625,0.19927978515625,0.5137939453125,0.5384521484375,0.81610107421875,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.4,125,0.3991401493549347,0.873992919921875,0.30143168568611145,0.9852527909814213,0.66015625,2.655235767364502,0.0045294070663872855,0.03730375599893833,0.23330552220938858,0.6695463126959872,0.06218030241761588,0.44183442812861634,3.4666048618104193,0.009551272035436256,0.8760986328125,0.14727783203125,0.51190185546875,0.54718017578125,0.8687744140625,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.3,278,0.29990506172180176,0.90191650390625,0.28303977847099304,0.5684493384979393,0.6639404296875,5.756057262420654,0.004750802697137888,0.041591565429458716,0.23942287689353373,0.7084101598907137,0.0651773196649657,0.4925498431632972,3.473618729330098,0.021797266791651265,0.90191650390625,0.11785888671875,0.51123046875,0.5465087890625,0.896240234375,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.2,831,0.19992074370384216,0.926025390625,0.18484190106391907,0.22251505603874244,0.676513671875,16.754040002822876,0.005653609429069434,0.05393508357474622,0.26254434136355287,0.810915196315838,0.07727624608660294,0.6427046250122515,3.4917228184229985,0.05653191975379464,0.92901611328125,0.09124755859375,0.50970458984375,0.55047607421875,0.921875,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.15,2136,0.14999976754188538,0.94097900390625,0.10080445557832718,0.09049204685320335,0.70733642578125,42.747809171676636,0.008164382513795606,0.07101982632150569,0.3173462463346268,0.935969068776102,0.1096971618229825,0.8551096755492397,3.512138984797102,0.10303524052039252,0.9447021484375,0.0780029296875,0.5128173828125,0.57330322265625,0.9378662109375,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,0.1,6812,0.09999663382768631,0.9623870849609375,0.07471846789121628,0.0633425794398654,0.82275390625,135.9669919013977,0.02725178441680835,0.09390290992461851,0.5840340788079915,1.0841272038572571,0.31906570103850174,1.1483156576839075,3.537860601813035,0.1879218034447411,0.96307373046875,0.10400390625,0.53436279296875,0.72943115234375,0.93792724609375,stopped,0.001,1.70233154296875,True
sp,sp,iid,512,1,1,1,final,6812,0.09999663382768631,0.9623870849609375,0.07471846789121628,0.0633425794398654,0.82275390625,136.00472855567932,0.02725178441680835,0.09390290992461851,0.5840340788079915,1.0841272038572571,0.31906570103850174,1.1483156576839075,3.537860601813035,0.1879218034447411,0.96307373046875,0.10400390625,0.53436279296875,0.72943115234375,0.93792724609375,stopped,0.001,1.70233154296875,True
