step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7137224078178406,0.46405029296875,0.20571000023412137,0.2668355946456421,,,,,,,8.724940336435933,0.0
25,0.710962176322937,0.470703125,0.20086330843238437,0.25884043961333225,,,,,,,8.724778815059627,0.0005826019337455567
50,0.7083426713943481,0.477294921875,0.1967967123267781,0.2521999973843666,,,,,,,8.724635003163986,0.0011519172583274843
75,0.705836296081543,0.4839324951171875,0.1933842785031906,0.2466515866475785,,,,,,,8.724507656292118,0.001710328399393497
100,0.7034226655960083,0.4906158447265625,0.1906361470543475,0.24197409892551533,,,,,,,8.724395989974287,0.002259403385390304
125,0.7010867595672607,0.4979095458984375,0.18819127709091785,0.23797847981690162,,,,,,,8.724299280933607,0.002800323241030958
150,0.6988146901130676,0.5048370361328125,0.1861705895670377,0.23464480726604448,,,,,,,8.72421685233484,0.0033342498877021367
175,0.6965969800949097,0.51165771484375,0.18433534849351826,0.23176031365315142,,,,,,,8.724148223744276,0.0038620321701323193
200,0.6944254040718079,0.51873779296875,0.18292505633633951,0.229372199095723,,,,,,,8.724092810676494,0.004384401836853131
225,0.6922887563705444,0.52545166015625,0.18189221200365718,0.22743459225412324,,,,,,,8.724050326180942,0.004902785078225365
250,0.6901828050613403,0.5324859619140625,0.18086590113085718,0.22577296895364865,,,,,,,8.724020399573535,0.005417348927628037
275,0.6881000399589539,0.5392303466796875,0.18020567777135116,0.2247282308369576,,,,,,,8.724002706031516,0.005928694932313671
300,0.6860328912734985,0.545654296875,0.17970088575522034,0.22385707842240118,,,,,,,8.72399704222143,0.006437726272968918
325,0.6839762926101685,0.55206298828125,0.17949688724772134,0.22337285282232067,,,,,,,8.724003212525616,0.006944888946484127
350,0.6819249987602234,0.559326171875,0.1794051111857283,0.2232031630916082,,,,,,,8.72402106978754,0.007450716054975668
375,0.6798737049102783,0.5660400390625,0.17951896261904357,0.22328800130338458,,,,,,,8.724050436832039,0.007955805173130822
400,0.6778189539909363,0.573028564453125,0.1796987243007912,0.22365104077892312,,,,,,,8.724091126293684,0.00846035417434061
425,0.6757571697235107,0.5790252685546875,0.18009211575244033,0.22418713026328094,,,,,,,8.724143133467322,0.008964800972565037
450,0.6736845374107361,0.58544921875,0.18055837723707371,0.22492480034469897,,,,,,,8.724206285654274,0.009469614981492845
475,0.671597957611084,0.5919036865234375,0.18104003598411691,0.22582156557715577,,,,,,,8.724280583623196,0.009975043199994276
500,0.66949462890625,0.597991943359375,0.18183741031284906,0.22696134693256595,,,,,,,8.724365969428325,0.010481395579279046
525,0.6673706769943237,0.604217529296875,0.18252480869539503,0.22818901298715158,,,,,,,8.724462475452713,0.010988968409228375
550,0.6652233600616455,0.6107635498046875,0.18348550178265507,0.22976191274055804,,,,,,,8.724569982786454,0.011498015653450032
575,0.6630499958992004,0.616546630859375,0.1842484730065736,0.23133944873994017,,,,,,,8.724688545856031,0.012008782890841176
600,0.6608501672744751,0.6221923828125,0.1852595762041528,0.23295115605999778,,,,,,,8.724818097195712,0.012521379939359287
625,0.6586208939552307,0.627960205078125,0.18628132978323025,0.23481501797582402,,,,,,,8.724958711797338,0.01303608514322665
650,0.6563570499420166,0.6338348388671875,0.18756996130772174,0.23692730656547628,,,,,,,8.725110410052448,0.013553342027984194
675,0.6540564298629761,0.6393585205078125,0.18883465411354614,0.2390605764452168,,,,,,,8.7252731909984,0.01407331273963448
700,0.6517155766487122,0.64453125,0.190190645567007,0.241408857505315,,,,,,,8.72544716758543,0.014596249539667358
725,0.6493340730667114,0.64947509765625,0.19153797640913314,0.24382051279108066,,,,,,,8.725632325901502,0.01512230336875322
750,0.6469112038612366,0.6542510986328125,0.19294199017959063,0.24615997595402617,,,,,,,8.725828802781356,0.015651316607084766
775,0.6444446444511414,0.65936279296875,0.19441468294957664,0.24852411865625457,,,,,,,8.726036484756923,0.016183604604714824
800,0.6419315934181213,0.663818359375,0.19591836375244515,0.2512246100940931,,,,,,,8.726255575884334,0.016719369349919296
825,0.6393717527389526,0.6687774658203125,0.1972449310849687,0.25367906780402083,,,,,,,8.726486053833977,0.017258231595255354
850,0.6367672681808472,0.673614501953125,0.1987501240022728,0.25625853289046824,,,,,,,8.72672798082889,0.017800194971854855
875,0.6341140270233154,0.6782684326171875,0.20018278586709778,0.2589267873136102,,,,,,,8.726981304978775,0.018345847325423426
900,0.6314114332199097,0.682586669921875,0.20171627634030662,0.26149158789618804,,,,,,,8.727246067843362,0.018894890768032212
925,0.6286580562591553,0.686553955078125,0.20359194172026265,0.26437638400750696,,,,,,,8.727522368525117,0.01944777334835737
950,0.6258494257926941,0.6901397705078125,0.20521661752456202,0.2669555702126672,,,,,,,8.727810236342405,0.020004932757522482
975,0.6229908466339111,0.693939208984375,0.2068290169868234,0.26957053770049577,,,,,,,8.728109624431998,0.02056582565058562
1000,0.6200815439224243,0.6976165771484375,0.20828576452576816,0.27199937379558164,,,,,,,8.728420582819073,0.021130363501308893
1025,0.617120623588562,0.702117919921875,0.20995368551943053,0.27464943890119053,,,,,,,8.72874308067331,0.021698729357954655
1050,0.6141111254692078,0.7055511474609375,0.2112612479021825,0.2767851801710098,,,,,,,8.729077098063243,0.022270665080577633
1075,0.6110554933547974,0.7093963623046875,0.21268012545266732,0.27912464849062396,,,,,,,8.729422532858532,0.022845994038386344
1100,0.6079525351524353,0.7128448486328125,0.21417452795222044,0.2814763350593181,,,,,,,8.729779295423077,0.023424957172712233
1125,0.6048023104667664,0.716094970703125,0.21555114665774916,0.28375460984574785,,,,,,,8.730147301730835,0.024007508972501704
1150,0.6016027927398682,0.71905517578125,0.2172494860960044,0.28613880064597036,,,,,,,8.73052653118096,0.02459370431425316
1175,0.5983524322509766,0.7220611572265625,0.21879504834302377,0.288327815420473,,,,,,,8.730916959140291,0.0251839453335575
1200,0.5950576066970825,0.7252197265625,0.21999391977343766,0.29021573076029605,,,,,,,8.7313183635588,0.02577760866907575
1225,0.5917246341705322,0.7283172607421875,0.221098297325617,0.29200609078599743,,,,,,,8.731730654068638,0.026373975204910305
1250,0.5883535146713257,0.7316436767578125,0.22205364148244527,0.29367778337309164,,,,,,,8.73215359262122,0.02697306534061774
1275,0.5849478244781494,0.7343597412109375,0.22286467212739555,0.2952531925680374,,,,,,,8.732587005656544,0.027574398654527404
1300,0.5815097689628601,0.737335205078125,0.2238847054870035,0.29691983086148105,,,,,,,8.733030812857985,0.02817765709493087
1325,0.5780348777770996,0.740234375,0.2248478484926188,0.29860591022263167,,,,,,,8.733484822157607,0.02878333462790199
1350,0.5745266675949097,0.7433929443359375,0.22566228644913564,0.29999939423920013,,,,,,,8.73394875664992,0.029391131496113904
