step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp
0,0.7359092235565186,0.4415130615234375,0.3132900595664978,4.4828573799253615,0.001964936026556246,0.0242259288887464,0.15501199959979053,0.5442912214485055,0.026728918621048724,0.2903903128770632,3.4969635927742284,0.0
25,0.49170076847076416,0.8374786376953125,0.3390892446041107,2.277470343581603,0.001976166437345926,0.02452661681585967,0.15547569479613957,0.5477338355931164,0.0268871105186928,0.29396644153665397,3.497443817275488,0.001998603270806793
50,0.40007027983665466,0.872772216796875,0.37321245670318604,1.5387885511212807,0.00199534985167534,0.025199629775096436,0.15627716667840777,0.5553708518384709,0.02715234103874345,0.3020219454321121,3.498533221712799,0.004372768472785902
75,0.3515579402446747,0.884857177734375,0.3751486837863922,1.1635897608080585,0.002017867834209054,0.02593309421874178,0.15720748801466983,0.5635780089878265,0.02746260740032095,0.31087631386054326,3.4996681855919007,0.006905097318839724
100,0.32070520520210266,0.8911895751953125,0.36797717213630676,0.9380188742926197,0.0020421690610942307,0.026665494520857393,0.15820027078135013,0.5716578840529652,0.027797152107534584,0.3197695505619524,3.5007522478691078,0.00943757748625093
125,0.2988884449005127,0.89642333984375,0.3580287992954254,0.7871553100521966,0.0020675609276111034,0.027381191908140975,0.15922694426936682,0.579446810932898,0.0281467388985672,0.3284937363886038,3.501768263894306,0.011919129043288446
150,0.2823788821697235,0.900238037109375,0.347333163022995,0.6789133204800669,0.0020936689514524055,0.02807617318810162,0.16027251724825312,0.5869133769349713,0.028506351305882,0.3369871371878408,3.50271701256976,0.014332957810456863
175,0.26928770542144775,0.9031524658203125,0.33687832951545715,0.5973528099412738,0.0021202651017606156,0.02874994257287043,0.16132811454098597,0.5940643162959584,0.028872957346320935,0.3452357489875201,3.503603694225189,0.016674363067016175
200,0.2585461139678955,0.9058990478515625,0.3268660306930542,0.5336466208865491,0.002147197971718493,0.029403326246304998,0.16238800561072983,0.600919275848163,0.029244511595579312,0.35324430134069285,3.504434150660626,0.018944232999655784
225,0.24950197339057922,0.9082489013671875,0.31735605001449585,0.4824937592267466,0.0021743733450641355,0.030037371420181324,0.1634487495128977,0.6074989153978627,0.029619758438132374,0.36102236605913396,3.505214055754112,0.02114484705943238
