step,loss,acc
0,0.7059537172317505,0.5052490234375
100,0.7009608745574951,0.50628662109375
200,0.6998977661132812,0.5073394775390625
300,0.6992602348327637,0.5099639892578125
400,0.698689341545105,0.5104522705078125
500,0.6981462240219116,0.510955810546875
600,0.6976261138916016,0.511749267578125
700,0.6971269845962524,0.5133514404296875
800,0.6966476440429688,0.5146484375
900,0.6961867809295654,0.5155487060546875
1000,0.6957432627677917,0.5162353515625
1100,0.6953160762786865,0.517181396484375
1200,0.694904088973999,0.5181884765625
1300,0.6945066452026367,0.519561767578125
1400,0.6941229701042175,0.5200653076171875
1500,0.6937522888183594,0.5211029052734375
1600,0.6933937668800354,0.5216522216796875
1700,0.6930467486381531,0.5226898193359375
1800,0.692710280418396,0.5233154296875
1900,0.6923838257789612,0.5243682861328125
2000,0.6920671463012695,0.5259857177734375
2100,0.6917598247528076,0.526947021484375
2200,0.6914612054824829,0.527740478515625
2300,0.691170871257782,0.52838134765625
2400,0.6908882856369019,0.5292510986328125
2500,0.6906129121780396,0.5301361083984375
2600,0.6903446912765503,0.530914306640625
2700,0.6900832653045654,0.531951904296875
2800,0.6898283958435059,0.532623291015625
2900,0.6895796060562134,0.5339202880859375
3000,0.6893366575241089,0.5350189208984375
3100,0.6890993118286133,0.5356597900390625
3200,0.6888671517372131,0.5367279052734375
3300,0.6886399984359741,0.53778076171875
3400,0.6884177923202515,0.53887939453125
3500,0.6881999969482422,0.539794921875
3600,0.6879867315292358,0.5404510498046875
3700,0.6877776980400085,0.54132080078125
3800,0.6875727772712708,0.541900634765625
3900,0.6873717904090881,0.542633056640625
4000,0.6871747374534607,0.543243408203125
4100,0.6869812607765198,0.5438079833984375
4200,0.686791181564331,0.543701171875
4300,0.6866044998168945,0.5446014404296875
4400,0.6864210963249207,0.54522705078125
4500,0.6862406730651855,0.5460968017578125
4600,0.6860631704330444,0.5466766357421875
4700,0.6858884692192078,0.547332763671875
4800,0.6857165098190308,0.5477142333984375
4900,0.6855472922325134,0.5484466552734375
5000,0.6853806972503662,0.5490570068359375
5100,0.6852165460586548,0.5494232177734375
5200,0.6850547790527344,0.5501251220703125
5300,0.6848952770233154,0.550811767578125
5400,0.684738039970398,0.5514373779296875
5500,0.6845830678939819,0.5519256591796875
5600,0.6844301223754883,0.5524444580078125
5700,0.684279203414917,0.5525665283203125
5800,0.6841302514076233,0.5531463623046875
5900,0.6839832067489624,0.5540008544921875
6000,0.6838380098342896,0.554931640625
6100,0.6836947202682495,0.5552215576171875
6200,0.6835530996322632,0.5559234619140625
6300,0.6834132075309753,0.55609130859375
6400,0.6832749843597412,0.5567169189453125
6500,0.6831383109092712,0.5573577880859375
6600,0.6830031871795654,0.55755615234375
6700,0.6828696131706238,0.5579376220703125
6800,0.6827374696731567,0.558013916015625
6900,0.6826068162918091,0.558441162109375
7000,0.6824774742126465,0.55865478515625
7100,0.6823493838310242,0.5594329833984375
7200,0.6822226047515869,0.55975341796875
7300,0.6820970177650452,0.56005859375
7400,0.6819726228713989,0.560150146484375
7500,0.6818495988845825,0.5604705810546875
7600,0.6817276477813721,0.561065673828125
7700,0.6816070079803467,0.561767578125
7800,0.6814874410629272,0.5619659423828125
7900,0.6813690066337585,0.5621490478515625
8000,0.6812517642974854,0.5627593994140625
8100,0.6811355948448181,0.56298828125
8200,0.6810203790664673,0.56304931640625
8300,0.680906355381012,0.5632476806640625
8400,0.680793285369873,0.5637359619140625
8500,0.6806813478469849,0.5638580322265625
8600,0.6805702447891235,0.56402587890625
8700,0.6804602742195129,0.5644989013671875
8800,0.6803510785102844,0.5645599365234375
8900,0.6802428960800171,0.5648040771484375
9000,0.6801356077194214,0.5654296875
9100,0.6800292730331421,0.5659637451171875
9200,0.6799238920211792,0.56610107421875
9300,0.6798194050788879,0.56640625
9400,0.6797157526016235,0.5668487548828125
9500,0.6796129941940308,0.56732177734375
9600,0.6795110702514648,0.567535400390625
9700,0.6794098019599915,0.56768798828125
9800,0.6793094873428345,0.568023681640625
9900,0.6792098879814148,0.568206787109375
10000,0.6791110634803772,0.5687713623046875
10100,0.6790130138397217,0.56890869140625
10200,0.6789156198501587,0.5696563720703125
10300,0.6788188815116882,0.5698394775390625
10400,0.6787227392196655,0.5698089599609375
10500,0.6786273717880249,0.5701141357421875
10600,0.6785327196121216,0.5703582763671875
10700,0.6784387826919556,0.57073974609375
10800,0.6783454418182373,0.57098388671875
10900,0.6782528758049011,0.5713958740234375
11000,0.6781609058380127,0.571502685546875
11100,0.6780694723129272,0.571624755859375
11200,0.6779786348342896,0.5718994140625
11300,0.6778885126113892,0.5720672607421875
11400,0.6777989268302917,0.5721588134765625
11500,0.6777099370956421,0.5722503662109375
11600,0.6776214838027954,0.572509765625
11700,0.6775336265563965,0.572509765625
11800,0.6774464249610901,0.5724945068359375
11900,0.677359938621521,0.572601318359375
12000,0.6772739887237549,0.572662353515625
12100,0.6771887540817261,0.5732421875
12200,0.677104115486145,0.5734405517578125
12300,0.6770199537277222,0.5734710693359375
