step,loss,acc
0,0.7288126349449158,0.5013580322265625
100,0.7210767269134521,0.5020751953125
200,0.7165898084640503,0.5043487548828125
300,0.7128617167472839,0.506378173828125
400,0.7097102403640747,0.5088958740234375
500,0.7070091962814331,0.5116424560546875
600,0.7046637535095215,0.514251708984375
700,0.7026029229164124,0.517059326171875
800,0.7007734775543213,0.5198211669921875
900,0.6991325616836548,0.5225830078125
1000,0.6976480484008789,0.52484130859375
1100,0.6962947249412537,0.5279388427734375
1200,0.6950522065162659,0.5306243896484375
1300,0.6939039826393127,0.53265380859375
1400,0.6928375959396362,0.5351104736328125
1500,0.6918423175811768,0.5373077392578125
1600,0.6909098029136658,0.5403289794921875
1700,0.6900324821472168,0.5431671142578125
1800,0.6892045736312866,0.545257568359375
1900,0.6884206533432007,0.5475311279296875
2000,0.6876764893531799,0.54931640625
2100,0.686968207359314,0.5508880615234375
2200,0.6862924098968506,0.5521240234375
2300,0.6856464147567749,0.553955078125
2400,0.6850279569625854,0.555419921875
2500,0.6844346523284912,0.556640625
2600,0.6838648319244385,0.5573577880859375
2700,0.683316707611084,0.5582427978515625
2800,0.6827887892723083,0.55908203125
2900,0.6822795867919922,0.5604248046875
3000,0.6817880272865295,0.562103271484375
3100,0.6813127994537354,0.5630340576171875
3200,0.6808527708053589,0.563812255859375
3300,0.6804071664810181,0.5649566650390625
3400,0.679975152015686,0.566192626953125
3500,0.6795556545257568,0.567596435546875
3600,0.6791481971740723,0.56793212890625
3700,0.678752064704895,0.5692596435546875
3800,0.6783666610717773,0.570068359375
3900,0.6779915690422058,0.5709228515625
4000,0.6776260137557983,0.5720367431640625
4100,0.6772695779800415,0.5730438232421875
4200,0.6769218444824219,0.5736236572265625
4300,0.6765824556350708,0.5745697021484375
4400,0.6762509346008301,0.5749359130859375
4500,0.6759270429611206,0.5756072998046875
4600,0.6756101846694946,0.5765838623046875
4700,0.6753002405166626,0.577545166015625
4800,0.6749969720840454,0.5782470703125
4900,0.6746999621391296,0.5791168212890625
5000,0.6744089722633362,0.5797882080078125
5100,0.6741238832473755,0.5805816650390625
5200,0.6738442182540894,0.5810699462890625
5300,0.6735698580741882,0.5817413330078125
5400,0.6733003854751587,0.5821990966796875
5500,0.6730358004570007,0.5830078125
5600,0.6727756857872009,0.5832366943359375
5700,0.6725198030471802,0.583770751953125
5800,0.672268271446228,0.5842132568359375
5900,0.6720209121704102,0.5845794677734375
6000,0.6717774868011475,0.58502197265625
6100,0.6715379953384399,0.5851898193359375
6200,0.6713022589683533,0.585662841796875
6300,0.6710700988769531,0.5863037109375
6400,0.6708413362503052,0.5865936279296875
6500,0.6706159710884094,0.5870208740234375
6600,0.6703938841819763,0.587371826171875
6700,0.6701748371124268,0.5879669189453125
6800,0.6699588298797607,0.588470458984375
6900,0.669745683670044,0.5889129638671875
7000,0.6695353984832764,0.58905029296875
7100,0.6693278551101685,0.5893096923828125
7200,0.6691229939460754,0.5897064208984375
7300,0.6689207553863525,0.5900726318359375
7400,0.6687209606170654,0.590484619140625
7500,0.6685235500335693,0.59088134765625
7600,0.6683284044265747,0.591064453125
