step,loss,acc
0,0.7480928301811218,0.49468994140625
100,0.7217378616333008,0.491851806640625
200,0.7177952527999878,0.4945526123046875
300,0.7149312496185303,0.496002197265625
400,0.7123591303825378,0.4979705810546875
500,0.7100197672843933,0.50128173828125
600,0.707883358001709,0.503570556640625
700,0.7059256434440613,0.5058746337890625
800,0.7041255235671997,0.50775146484375
900,0.7024653553962708,0.5096435546875
1000,0.7009293437004089,0.5123748779296875
1100,0.6995041370391846,0.515045166015625
1200,0.6981781125068665,0.518280029296875
1300,0.6969411373138428,0.5211639404296875
1400,0.6957845687866211,0.52337646484375
1500,0.6947004795074463,0.5258941650390625
1600,0.6936821341514587,0.5281219482421875
1700,0.6927233338356018,0.530242919921875
1800,0.69181889295578,0.5328369140625
1900,0.6909639835357666,0.5346527099609375
2000,0.6901542544364929,0.5369873046875
2100,0.6893861293792725,0.53924560546875
2200,0.6886562705039978,0.5401763916015625
2300,0.687961757183075,0.5423736572265625
2400,0.6872999668121338,0.54443359375
2500,0.6866683959960938,0.5465545654296875
2600,0.6860646605491638,0.5475006103515625
2700,0.6854866147041321,0.5488739013671875
2800,0.6849325895309448,0.5501861572265625
2900,0.6844011545181274,0.5518341064453125
3000,0.6838905811309814,0.552703857421875
3100,0.6833996772766113,0.5538177490234375
3200,0.6829270720481873,0.5553436279296875
3300,0.6824716925621033,0.55670166015625
3400,0.6820324063301086,0.557952880859375
3500,0.6816083192825317,0.5592193603515625
3600,0.6811985373497009,0.560394287109375
3700,0.6808022260665894,0.5616912841796875
3800,0.6804186105728149,0.5627593994140625
3900,0.6800470352172852,0.5638427734375
4000,0.6796869039535522,0.5644378662109375
4100,0.6793373823165894,0.5645904541015625
4200,0.6789981126785278,0.5655517578125
4300,0.6786682605743408,0.566680908203125
4400,0.6783474683761597,0.5675506591796875
4500,0.6780353784561157,0.56805419921875
4600,0.6777313947677612,0.5689239501953125
4700,0.6774352788925171,0.5698394775390625
4800,0.6771466135978699,0.5701904296875
4900,0.6768651604652405,0.5707550048828125
5000,0.6765905618667603,0.5711822509765625
5100,0.6763224005699158,0.5719451904296875
5200,0.6760604381561279,0.572845458984375
5300,0.6758044958114624,0.57342529296875
5400,0.6755542755126953,0.5740203857421875
5500,0.6753095388412476,0.57452392578125
5600,0.67507004737854,0.574920654296875
5700,0.6748355031013489,0.5753021240234375
5800,0.6746056079864502,0.5758209228515625
5900,0.6743803024291992,0.5765838623046875
6000,0.6741594076156616,0.5770721435546875
6100,0.6739429235458374,0.5777130126953125
6200,0.6737304925918579,0.578155517578125
6300,0.6735221147537231,0.57843017578125
6400,0.673317551612854,0.5791015625
6500,0.6731167435646057,0.5797271728515625
6600,0.672919511795044,0.5800323486328125
6700,0.6727255582809448,0.58056640625
6800,0.6725349426269531,0.5812530517578125
6900,0.6723476052284241,0.581787109375
7000,0.6721633672714233,0.582183837890625
7100,0.6719821691513062,0.5825653076171875
7200,0.6718038320541382,0.5829315185546875
7300,0.6716282963752747,0.5832061767578125
7400,0.6714555025100708,0.5833740234375
7500,0.6712854504585266,0.583953857421875
7600,0.6711180210113525,0.5843353271484375
7700,0.6709530353546143,0.584686279296875
7800,0.6707904934883118,0.5849609375
7900,0.6706300973892212,0.5852508544921875
8000,0.6704721450805664,0.58544921875
8100,0.6703163385391235,0.585968017578125
8200,0.6701626777648926,0.586151123046875
8300,0.670011043548584,0.5862884521484375
8400,0.6698614358901978,0.5865478515625
8500,0.6697138547897339,0.5869598388671875
8600,0.6695680618286133,0.587188720703125
8700,0.6694240570068359,0.5874481201171875
8800,0.6692817807197571,0.5878753662109375
8900,0.6691412925720215,0.58819580078125
9000,0.6690024137496948,0.58843994140625
9100,0.6688652634620667,0.5885162353515625
