step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,w_norm,disp
0,0.7188940048217773,0.4949951171875,0.08181442320346832,0.1961083401386036,0.004407217801708326,0.03807803677156265,0.23032516241073608,0.6770120859146118,3.4694380893925647,0.0
25,0.717827558517456,0.4958648681640625,0.07957302033901215,0.1834325667887622,0.004395822439005101,0.03794033920490574,0.23000556230545044,0.6757232546806335,3.469111518235202,0.000581726839300245
50,0.7168828248977661,0.4956817626953125,0.07752835005521774,0.17249080553325763,0.004385075879302632,0.03780764981480607,0.2297033965587616,0.6744794249534607,3.468796738318286,0.0011478000087663531
75,0.7160321474075317,0.495819091796875,0.0756913349032402,0.16309763121234766,0.004374966953580274,0.03767936427368706,0.22941835224628448,0.6732751131057739,3.468492515561389,0.0016996788326650858
100,0.715259313583374,0.4963531494140625,0.07410866022109985,0.1550205661504873,0.004365493996243624,0.037554928818894814,0.22915036976337433,0.6721053123474121,3.4681977528351804,0.002239177469164133
125,0.7145512104034424,0.4969940185546875,0.07256217300891876,0.14798583790539926,0.0043566589404981804,0.037433901867999046,0.22889947891235352,0.6709660887718201,3.4679116275531814,0.0027673395816236734
150,0.7138975858688354,0.497222900390625,0.07117687910795212,0.1419350112352963,0.004348438829451427,0.03731605091420258,0.22866509854793549,0.6698553562164307,3.4676335918102392,0.003284801496192813
175,0.7132879495620728,0.49737548828125,0.06983507424592972,0.13663775982403534,0.004340847088813394,0.03720110079932658,0.2284475415945053,0.6687705516815186,3.4673624098583677,0.0037922700867056847
200,0.7127166986465454,0.4972686767578125,0.06868313997983932,0.13205045516374286,0.0043338679888200345,0.0370888633516572,0.22824642062187195,0.66771000623703,3.4670980833057916,0.004290453158318996
225,0.7121791243553162,0.49725341796875,0.06748537719249725,0.12796578081232507,0.004327489351980387,0.036979154971195714,0.22806140780448914,0.6666721105575562,3.4668399260091025,0.004780253395438194
250,0.711669385433197,0.4976043701171875,0.06640182435512543,0.12441951630643645,0.004321727977704908,0.036871899050708756,0.22789296507835388,0.6656561493873596,3.4665878017942697,0.005261437501758337
275,0.7111834287643433,0.4981689453125,0.06537267565727234,0.12125483921368883,0.004316569166650925,0.03676675272910488,0.22774069011211395,0.6646590232849121,3.4663410241672983,0.005734896287322044
300,0.7107173204421997,0.49835205078125,0.064445860683918,0.11848748923451208,0.004311997997885601,0.036663638073220005,0.2276042252779007,0.6636801362037659,3.4660997318418607,0.006201283074915409
325,0.7102726697921753,0.49896240234375,0.06359273195266724,0.11600726236053077,0.004308021058649707,0.03656240435735486,0.22748374938964844,0.6627181172370911,3.4658635132204716,0.006660978775471449
350,0.7098417282104492,0.499237060546875,0.06279265880584717,0.11373146988394364,0.004304631277933866,0.03646293041815361,0.22737903892993927,0.6617717742919922,3.465631956569889,0.007114504463970661
375,0.7094279527664185,0.4995880126953125,0.062017567455768585,0.11164611046434902,0.004301814617668902,0.036365155319278704,0.22728976607322693,0.660840630531311,3.4654052004238984,0.0075622121803462505
400,0.709027111530304,0.4997711181640625,0.06118638068437576,0.10971545345089657,0.004299562733186728,0.03626910407689189,0.22721567749977112,0.6599249839782715,3.465182832900695,0.008003897033631802
425,0.7086366415023804,0.5006103515625,0.06044180318713188,0.10795549245813382,0.004297871825429671,0.03617473837065214,0.22715671360492706,0.6590244770050049,3.4649648548452117,0.008439650759100914
450,0.7082608938217163,0.5007476806640625,0.05972190573811531,0.10633242719197077,0.004296732871378489,0.03608192129892601,0.22711259126663208,0.658137857913971,3.46475099183546,0.00887008011341095
475,0.7078939080238342,0.50115966796875,0.05905134975910187,0.10479382395666315,0.004296142980005095,0.03599064913325853,0.2270832508802414,0.6572651267051697,3.4645412446334944,0.009295154362916946
500,0.7075362205505371,0.501434326171875,0.05840189754962921,0.10333323185483198,0.00429608096845425,0.03590075708339336,0.22706812620162964,0.6564047932624817,3.4643354763451497,0.009715265594422817
525,0.7071883678436279,0.501708984375,0.05774026736617088,0.10194698079244352,0.004296561056923536,0.03581224947137611,0.22706755995750427,0.6555569171905518,3.4641334123799403,0.010130436159670353
550,0.706850528717041,0.502197265625,0.05711941793560982,0.10062656649825073,0.004297582469559169,0.03572511209333108,0.2270815521478653,0.6547214388847351,3.463935191043774,0.010540643706917763
575,0.7065196633338928,0.5023956298828125,0.056642863899469376,0.0994222429994628,0.004299133927953966,0.03563919233976323,0.22710978984832764,0.6538969278335571,3.46374067533099,0.010946700349450111
600,0.7061959505081177,0.502655029296875,0.0561055988073349,0.09825017798865025,0.004301212278997982,0.035554412702667744,0.22715213894844055,0.6530826687812805,3.4635494528470203,0.011348969303071499
625,0.7058778405189514,0.5028533935546875,0.0556127205491066,0.09712043201864054,0.0043038095472261746,0.0354708305194546,0.22720840573310852,0.6522791981697083,3.463361799498232,0.011747259646654129
650,0.7055668234825134,0.5029754638671875,0.055023327469825745,0.09599911202216527,0.004306926227715844,0.03538841223899111,0.22727856040000916,0.651486337184906,3.4631775781770533,0.01214149035513401
675,0.7052658796310425,0.502960205078125,0.05454998463392258,0.09496565749308304,0.004310557283271957,0.035307107504928076,0.22736245393753052,0.6507034301757812,3.462996376346341,0.012531591579318047
700,0.7049679756164551,0.5032196044921875,0.05409383773803711,0.09397275555094545,0.004314695891644028,0.035226910857786564,0.22745990753173828,0.6499306559562683,3.462818745288255,0.012917912565171719
725,0.704677939414978,0.5037841796875,0.05366058275103569,0.09303647470656079,0.004319345421841591,0.03514775229341015,0.22757095098495483,0.6491672992706299,3.462644134716492,0.013300827704370022
750,0.7043912410736084,0.5040283203125,0.05325700715184212,0.09208610964951267,0.004324507868456807,0.035069639999109066,0.22769562900066376,0.6484134197235107,3.4624725450880156,0.013680335134267807
775,0.70411217212677,0.504302978515625,0.05285770446062088,0.09117491478588535,0.004330167818748281,0.03499249265464935,0.22783349454402924,0.6476683020591736,3.4623039768519748,0.014056584797799587
800,0.7038362622261047,0.5045166015625,0.05246775597333908,0.0902716402544343,0.00433631457902168,0.034916289153363464,0.227984219789505,0.6469317078590393,3.4621381549915142,0.014429733157157898
825,0.7035670280456543,0.50482177734375,0.052096106112003326,0.08942829487258043,0.004342950331355449,0.034841046679160825,0.22814786434173584,0.6462039351463318,3.4619754931079987,0.014800099655985832
850,0.7032999992370605,0.5052490234375,0.05170333385467529,0.08857440651533,0.004350068755267059,0.034766789136986116,0.22832421958446503,0.6454851031303406,3.4618155784211013,0.01516710128635168
875,0.7030395865440369,0.5057373046875,0.05130021274089813,0.08772627117402428,0.004357672126713934,0.034693432595295774,0.22851330041885376,0.6447744965553284,3.46165841131155,0.015530976466834545
900,0.7027832269668579,0.50634765625,0.050946544855833054,0.08694211843398371,0.004365753079739906,0.03462095775183285,0.22871488332748413,0.6440719366073608,3.4615039921536,0.01589173823595047
925,0.7025308012962341,0.5066375732421875,0.05064345896244049,0.0861712783116302,0.0043743061440365974,0.03454930575201071,0.22892877459526062,0.643376886844635,3.461352183554663,0.01624988205730915
950,0.7022837400436401,0.5069427490234375,0.05034656822681427,0.08544406243388065,0.00438333330878814,0.03447850227139894,0.22915497422218323,0.64268958568573,3.4612028480919244,0.016605446115136147
975,0.7020421028137207,0.5070343017578125,0.05004604533314705,0.08475201427062501,0.004392828360706064,0.0344085224521563,0.22939331829547882,0.6420097947120667,3.461056261629821,0.01695847511291504
1000,0.7018000483512878,0.5074615478515625,0.04976506903767586,0.08402175292511506,0.004402794913091828,0.03433933025423832,0.2296438366174698,0.6413372755050659,3.4609120111840053,0.0173090398311615
1025,0.7015624046325684,0.5077667236328125,0.049503009766340256,0.0833338029183013,0.004413224604979711,0.03427086370731035,0.22990624606609344,0.6406713128089905,3.4607702348301213,0.017657386139035225
