step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.4752910137176514,0.09916932880878448,0.09746077019043026,0.0,7.017809942402608,0.0
25,1.0186102390289307,0.5085623264312744,0.43390599220182857,0.0,2.7408118766119425,0.0
50,0.8868715763092041,0.5978913903236389,0.5055512873648131,0.0,1.9318735975326153,0.0
75,0.812520444393158,0.6479233503341675,0.5777142449049883,0.0,1.5434780876682244,0.0
100,0.7613275647163391,0.6881789565086365,0.6412330783318112,0.0,1.3267291857418475,0.0
125,0.7219630479812622,0.7146965265274048,0.6804835678317612,0.0,1.1887453596988418,0.0
150,0.6895127892494202,0.732460081577301,0.7054983227616463,0.0,1.0919934082541247,0.0
175,0.6616694927215576,0.7497763633728027,0.7273281181389206,0.0,1.021080446148251,0.0
200,0.6370800137519836,0.7652396559715271,0.7454739467521792,0.0,0.9627242996009423,0.0
225,0.615241527557373,0.7776997089385986,0.7599035294142922,0.0,0.905342551270507,0.0
250,0.5957911610603333,0.7890735268592834,0.7725010621194591,0.0,0.8584874948352311,0.0
275,0.5782929062843323,0.7969968318939209,0.7811540885514715,0.0,0.81551398990724,0.0
300,0.5623924732208252,0.8044089674949646,0.7892982848295209,0.0,0.7787596920216566,0.0
325,0.547856330871582,0.8106709718704224,0.7960405020046504,0.0,0.746310108011477,0.0
350,0.5344828963279724,0.8166134357452393,0.8024332779593203,0.0,0.7167035382214251,0.0
375,0.5220980048179626,0.8217891454696655,0.807910309027446,0.0,0.6910453364832276,0.0
400,0.510564386844635,0.826453685760498,0.8130614208140914,0.0,0.6671195218074796,0.0
425,0.49978646636009216,0.8296486139297485,0.8164722037207245,0.0,0.6463130256171027,0.0
450,0.4896621108055115,0.8332907557487488,0.820323651053986,0.0,0.6260108100688067,0.0
475,0.48015087842941284,0.8368051648139954,0.8240633168707858,0.0,0.6075508685138369,0.0
500,0.47116619348526,0.8389776349067688,0.8263983429692747,0.0,0.5911968182762655,0.0
525,0.4626553952693939,0.8424281477928162,0.8300243750236589,0.0,0.5755395850751202,0.0
550,0.45458081364631653,0.844792366027832,0.8324755886897731,0.0,0.5612002397553977,0.0
575,0.44689857959747314,0.8463897705078125,0.8341619886733901,0.0,0.5473072720788861,0.0
600,0.43958669900894165,0.8492652177810669,0.8371639958543762,0.0,0.5342694569860562,0.0
