step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.9828453063964844,0.26894569396972656,0.1975104005033111,1.3317785263061523,5.418895017226639,0.0
25,1.4779356718063354,0.3622364401817322,0.31519429481802463,0.8784933686256409,3.4894148916388796,0.007504313252866268
50,1.2368382215499878,0.42817893624305725,0.403058976814773,0.7037332057952881,2.5464801724972195,0.012812776491045952
75,1.1031566858291626,0.4730990529060364,0.4544191683380585,0.5832043290138245,1.9107710957646729,0.016967182978987694
100,1.0236992835998535,0.4975718855857849,0.47632872737124654,0.49647894501686096,1.5053462093201175,0.020351508632302284
125,0.9710180759429932,0.5205751061439514,0.49624308404528245,0.4334913492202759,1.2563650596064937,0.02321603335440159
150,0.9323884844779968,0.5376996994018555,0.5114537441794298,0.3890102505683899,1.0950997022195077,0.02573620155453682
175,0.9020958542823792,0.5503514409065247,0.5223060390783427,0.3557760417461395,0.9777974191187508,0.028021294623613358
200,0.8773924708366394,0.5637699961662292,0.5348419007576193,0.32962003350257874,0.8883294062104464,0.030130133032798767
225,0.856609046459198,0.5733546614646912,0.5442587527603802,0.30900922417640686,0.8200042258358917,0.0321040116250515
250,0.8387056589126587,0.5817252397537231,0.5525795878858635,0.2937062382698059,0.762170764815881,0.033970870077610016
275,0.8230280876159668,0.5922684073448181,0.5633990996783746,0.27906087040901184,0.7142961453816229,0.03575010597705841
300,0.8091533184051514,0.6006389856338501,0.5719976064000998,0.26658087968826294,0.6725822977627782,0.03744557127356529
325,0.7967334985733032,0.6063259243965149,0.5781797502031008,0.2565678358078003,0.6362739843992882,0.0390741340816021
350,0.7855154275894165,0.61444091796875,0.5863319982729533,0.24628980457782745,0.6055081808437985,0.04063886031508446
375,0.7753094434738159,0.6197444200515747,0.5920571180220666,0.23728562891483307,0.577889080187015,0.04214472323656082
400,0.76594078540802,0.6246006488800049,0.5965729317417625,0.22994956374168396,0.5532514611941522,0.043601151555776596
425,0.7573208212852478,0.6294568777084351,0.6015401762579973,0.22276270389556885,0.530894352435279,0.04501348361372948
450,0.7493181228637695,0.6351438164710999,0.6072013162408476,0.21662963926792145,0.5113654919453515,0.046384308487176895
475,0.7418630719184875,0.6394888162612915,0.6117730514396138,0.21022547781467438,0.4935520513875773,0.04771609976887703
500,0.7348842620849609,0.6426198482513428,0.6149974356198293,0.20478293299674988,0.47831226600963506,0.04901031404733658
525,0.7283260822296143,0.6470287442207336,0.619409086956151,0.20005011558532715,0.4631730379937907,0.0502731055021286
550,0.7221399545669556,0.6509904265403748,0.6235593414591769,0.19514751434326172,0.4499230831940664,0.05150344595313072
575,0.7162952423095703,0.6545048356056213,0.6271739712774367,0.19010521471500397,0.43668419261324626,0.052702825516462326
600,0.7107746005058289,0.6574441194534302,0.6300561004377745,0.1860930174589157,0.4244226384623286,0.05387352034449577
625,0.7055445313453674,0.6608306765556335,0.6337847527694989,0.1819801777601242,0.41423350470586756,0.05501600354909897
650,0.7005481719970703,0.6644728779792786,0.6376655862115825,0.17827272415161133,0.4042321930601755,0.05613262206315994
675,0.6957879662513733,0.6669648885726929,0.640160128788333,0.17528751492500305,0.39399912169830487,0.057229481637477875
700,0.6912516355514526,0.6692652106285095,0.6427246918102222,0.17179729044437408,0.3839017127173803,0.058305416256189346
725,0.6869193315505981,0.6725878715515137,0.6460499584766688,0.16830132901668549,0.37563385387651077,0.059359628707170486
750,0.68277508020401,0.6743131279945374,0.6478319692459948,0.16565553843975067,0.3675285872351959,0.06039193645119667
775,0.6788017153739929,0.6774441003799438,0.6509316375428029,0.16244152188301086,0.3591674573960259,0.06140490248799324
800,0.6749902963638306,0.6800000071525574,0.6534402451014374,0.15943437814712524,0.35125384050016645,0.06239834800362587
825,0.6713416576385498,0.6821725368499756,0.6558170887400125,0.1569240242242813,0.3444780283365374,0.06337279081344604
850,0.6678070425987244,0.6841533780097961,0.6580649806610714,0.1549699902534485,0.33933734502600954,0.06433237344026566
875,0.6643838286399841,0.6862620115280151,0.6602015097530112,0.15322111546993256,0.3331073239812163,0.06527897715568542
900,0.6610824465751648,0.6883067488670349,0.6622877513245121,0.15163511037826538,0.32689945716002833,0.06621333211660385
925,0.6578958034515381,0.691309928894043,0.6653291203987692,0.14925435185432434,0.32018946845442187,0.06713572889566422
950,0.6548328995704651,0.6932907700538635,0.6673697199497144,0.14708563685417175,0.3140921071575288,0.06804197281599045
975,0.6518746018409729,0.6959105730056763,0.6702616624693074,0.14491191506385803,0.30864068145985285,0.06893356144428253
1000,0.6490030884742737,0.6980192065238953,0.6724626056206341,0.14332540333271027,0.3041458107046774,0.06981179118156433
1025,0.6462163925170898,0.6998721957206726,0.6744382831296454,0.14186666905879974,0.2992872624613145,0.07067839056253433
1050,0.6435112953186035,0.7015974521636963,0.6761077670759978,0.14029765129089355,0.29460923711824066,0.07153529673814774
