step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.3886905908584595,0.2884984016418457,0.2573918419384553,0.24412518739700317,0.20630953103802072,0.0
25,1.3861591815948486,0.293099045753479,0.2612574983461189,0.24138911068439484,0.20751007854615133,0.0017326043453067541
50,1.3836323022842407,0.2984025776386261,0.26616691911408397,0.23944927752017975,0.2096767504849777,0.0034513710997998714
75,1.3810741901397705,0.3036421835422516,0.27105188613089415,0.24030852317810059,0.21297129485153052,0.005170098040252924
100,1.3784750699996948,0.3083067238330841,0.2757538363743993,0.24006688594818115,0.21699739365475035,0.00688808411359787
125,1.3758472204208374,0.3118211030960083,0.2791389773326962,0.2383660078048706,0.221578596487231,0.008593588136136532
150,1.3731627464294434,0.3162939250469208,0.28332379259699847,0.23917220532894135,0.22693698935341594,0.010297245346009731
175,1.3704200983047485,0.31980830430984497,0.28649514927735964,0.2387462556362152,0.23279431756442953,0.011994744651019573
200,1.3675864934921265,0.32434505224227905,0.29090090086207276,0.2400379776954651,0.23939159893922243,0.013699942268431187
225,1.3646444082260132,0.331246018409729,0.29817324027442627,0.24285762012004852,0.24626338792122204,0.015418119728565216
250,1.3615872859954834,0.3369329273700714,0.3034736048412975,0.24656398594379425,0.25359090240682075,0.01715022325515747
275,1.358382225036621,0.34376996755599976,0.3097457400255377,0.25150278210639954,0.2618449046865397,0.01890607364475727
300,1.354981541633606,0.34977635741233826,0.3156516074657308,0.2581208348274231,0.2706645573546923,0.020705699920654297
325,1.351402759552002,0.35329073667526245,0.3192457092543577,0.2624897062778473,0.27995061442394,0.022531799972057343
350,1.347608208656311,0.35827475786209106,0.3236724365598591,0.26813894510269165,0.2899138620335397,0.024396609514951706
375,1.3436002731323242,0.3633866012096405,0.32873122153300777,0.27355989813804626,0.30024653309727156,0.0262913815677166
400,1.3393663167953491,0.368626207113266,0.33372055374978143,0.2783038318157196,0.3108527224720502,0.02821747399866581
425,1.3348840475082397,0.3753354847431183,0.3396648166470091,0.28497281670570374,0.32188150480932504,0.030178161337971687
450,1.3301161527633667,0.3820447325706482,0.3462056481861356,0.29213154315948486,0.33368297629079574,0.03218614682555199
475,1.3250432014465332,0.3902236521244049,0.35398228589635894,0.30001065135002136,0.3454688098680296,0.03424510359764099
500,1.3196521997451782,0.3976996839046478,0.3614091064957855,0.3079913258552551,0.35765067929973676,0.03635545074939728
525,1.3139177560806274,0.4050479233264923,0.36835091192615477,0.315761923789978,0.36996794842722086,0.038520947098731995
550,1.3078293800354004,0.4120766818523407,0.37563782895119924,0.3236738443374634,0.3828849038469222,0.040739282965660095
575,1.3013348579406738,0.4173163175582886,0.38050799745645336,0.33374103903770447,0.39650792109390615,0.04302117973566055
600,1.2943986654281616,0.42498403787612915,0.3881612329344084,0.34406378865242004,0.4105670225797839,0.04537269473075867
625,1.2870208024978638,0.4332907497882843,0.39566335831781974,0.3523654639720917,0.42435029638097316,0.047786783427000046
650,1.2791848182678223,0.4399999976158142,0.40183744613043176,0.36156895756721497,0.4381420359533335,0.05026642233133316
675,1.2708978652954102,0.44785943627357483,0.4095117054648556,0.3692026138305664,0.4522311306043783,0.052804235368967056
700,1.2621467113494873,0.45539936423301697,0.41680274879268064,0.3780517280101776,0.4662031547523211,0.055397920310497284
725,1.252903938293457,0.46281149983406067,0.42391748650262956,0.3859344720840454,0.48036084710052557,0.058051880449056625
750,1.2431583404541016,0.47156551480293274,0.4324214436917819,0.39450734853744507,0.49431692148945394,0.06076309457421303
775,1.2329227924346924,0.4781469702720642,0.4382469246958774,0.40249690413475037,0.50758085411162,0.0635298416018486
800,1.222200632095337,0.4844728708267212,0.44367171890281676,0.40935027599334717,0.5205901637577912,0.0663488358259201
825,1.2109856605529785,0.491437703371048,0.45039136269468294,0.4177209436893463,0.5331814700878786,0.06921844929456711
850,1.1992907524108887,0.4978275001049042,0.4562111776745451,0.42418476939201355,0.5452228953175441,0.07214073091745377
875,1.1871709823608398,0.5039616823196411,0.46161403780037497,0.42939770221710205,0.5557112968155123,0.07510024309158325
900,1.174656629562378,0.5074121356010437,0.4645698821468693,0.4336673617362976,0.5654876856240555,0.07809529453516006
