step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.3679910898208618,0.24638977646827698,0.2151402744751693,0.0,0.9834955390545973,0.0
25,1.3446344137191772,0.27035143971443176,0.2343862815700678,0.0,0.9482133715310367,0.0
50,1.3229044675827026,0.2903514504432678,0.25153020675095566,0.0,0.915895366577006,0.0
75,1.3025808334350586,0.30638977885246277,0.2665061936734112,0.0,0.8873757220889894,0.0
100,1.2834910154342651,0.31827476620674133,0.2778327346896867,0.0,0.8608619476553383,0.0
125,1.2654742002487183,0.3286901116371155,0.28769367335536006,0.0,0.8366981048175173,0.0
150,1.2484593391418457,0.33853036165237427,0.2974805998383756,0.0,0.8136670033069939,0.0
175,1.2322989702224731,0.34722045063972473,0.305935995757041,0.0,0.7943577028993247,0.0
200,1.2168976068496704,0.355271577835083,0.3136678709518854,0.0,0.7753907008544638,0.0
225,1.20219886302948,0.3622364401817322,0.3202416321623167,0.0,0.7581497853336464,0.0
250,1.1881195306777954,0.36881789565086365,0.32606871870425436,0.0,0.7422618421543287,0.0
275,1.1746001243591309,0.3736741244792938,0.33013935386019083,0.0,0.7281898923706857,0.0
300,1.161572813987732,0.3789137601852417,0.33518137560688044,0.0,0.7154027481443356,0.0
325,1.148996114730835,0.3856230080127716,0.341631939786151,0.0,0.7028410759324129,0.0
350,1.1368521451950073,0.39111822843551636,0.3465671873531958,0.0,0.6908730916114761,0.0
375,1.125115156173706,0.39565497636795044,0.3505063648674098,0.0,0.679407731554169,0.0
400,1.1137527227401733,0.4001277983188629,0.3544763457740757,0.0,0.6685860545777508,0.0
425,1.102753758430481,0.406006395816803,0.3595425936717746,0.0,0.6578680415519971,0.0
450,1.092105746269226,0.4107348322868347,0.3632096187552494,0.0,0.6473632220366532,0.0
475,1.0817898511886597,0.4148882031440735,0.36644008800279615,0.0,0.6371935121447737,0.0
500,1.0717945098876953,0.4199361205101013,0.3701400480444358,0.0,0.6272009411962471,0.0
525,1.0621119737625122,0.42389777302742004,0.37298558733888526,0.0,0.6173813416798354,0.0
550,1.0527379512786865,0.4283706247806549,0.3764167948508583,0.0,0.6072934386391546,0.0
575,1.0436679124832153,0.43233227729797363,0.37940261497537153,0.0,0.5969976570454303,0.0
600,1.0348992347717285,0.4364217519760132,0.38216598967716164,0.0,0.5871293993625271,0.0
625,1.0264251232147217,0.4400639235973358,0.3844354169682639,0.0,0.5772353451285477,0.0
650,1.018234372138977,0.44472843408584595,0.3879783553593932,0.0,0.5674782378978118,0.0
675,1.0103167295455933,0.4488818049430847,0.3909646732887588,0.0,0.5579758297780721,0.0
700,1.0026671886444092,0.4545048177242279,0.3952229316899586,0.0,0.5481330316698702,0.0
725,0.9952877759933472,0.4576996862888336,0.39754807923322893,0.0,0.5382284494022714,0.0
750,0.9881702661514282,0.46166136860847473,0.40053026424516935,0.0,0.5288314327212117,0.0
775,0.9813069701194763,0.4671565592288971,0.40451486597968167,0.0,0.518946888073467,0.0
800,0.9747024178504944,0.4714377224445343,0.4075240076992665,0.0,0.5088422673723845,0.0
825,0.9683479070663452,0.4753354787826538,0.4100909566812965,0.0,0.4992838355401308,0.0
850,0.9622305631637573,0.4794888198375702,0.4129277252165662,0.0,0.48984871094253923,0.0
875,0.956342339515686,0.48319488763809204,0.41571897152561765,0.0,0.48061435969764876,0.0
900,0.9506765604019165,0.48677316308021545,0.41831879617518747,0.0,0.4713231032399024,0.0
925,0.9452265501022339,0.4898402690887451,0.42048514011871463,0.0,0.46221271282656123,0.0
950,0.9399842023849487,0.492971271276474,0.42286603557109037,0.0,0.4534742976583349,0.0
975,0.9349409937858582,0.49597445130348206,0.4251532412835957,0.0,0.4447337208200378,0.0
1000,0.9300905466079712,0.4989776611328125,0.42705545228974295,0.0,0.436140701916428,0.0
1025,0.9254236221313477,0.5015974640846252,0.42860895912158026,0.0,0.42778441689686136,0.0
1050,0.9209311008453369,0.5040255784988403,0.43032089518727584,0.0,0.41985660754260945,0.0
1075,0.9166061878204346,0.505750834941864,0.4313977585073163,0.0,0.41180702076077264,0.0
1100,0.9124420881271362,0.5080511569976807,0.43278722159079663,0.0,0.40421744731001324,0.0
1125,0.9084305763244629,0.5104153752326965,0.4344421576253419,0.0,0.39685978021020607,0.0
1150,0.904563844203949,0.5130351781845093,0.43688714237020687,0.0,0.3895868389999521,0.0
1175,0.9008363485336304,0.5151438117027283,0.43867654191971006,0.0,0.3825472709634985,0.0
