arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi,status,lr,reached_star
natfull,32,1.0,2,init,0,1.3558329343795776,0.28555911779403687,0.25310054736827936,0.0,5.884041876982997,0.0,0.009889364242553711,0.7491721093784984,0.8814953039238644,0.2613513469696045,0.251167599808938,0.1664670658682635,0.3182247403210576,0.2805049088359046,0.2394736842105263,0.20783784985542297,0.17482987462770425,0.10012360939431397,0.3318087318087318,0.20473051570376113,0.06265664160401002,0.23432433605194092,0.21762420783631076,0.1501240694789082,0.28157763354967547,0.2624793388429752,0.1763157894736842,0.28333333134651184,0.24465376611244471,0.1717259323503903,0.33163913595933925,0.3246475865014951,0.15060240963855423,0.2351851910352707,0.19855726962202663,0.1046207497820401,0.33259911894273125,0.24826216484607747,0.10874704491725769,0.27703702449798584,0.24314110791518287,0.2170940170940171,0.28225806451612906,0.3234797297297297,0.1497326203208556,stopped,0.001,True
natfull,32,1.0,2,1.0,26,0.9951215386390686,0.5211501717567444,0.4788734501701598,0.0,2.5310806150444574,0.0,0.37580037117004395,0.7491721093784984,0.8814953039238644,0.5070270299911499,0.478414245281396,0.6511240632805995,0.24271844660194175,0.5426716141001855,0.47714285714285715,0.25783783197402954,0.24441928804845628,0.282183316168898,0.2885085574572127,0.25683512841756423,0.15015015015015015,0.4883783757686615,0.449723157519481,0.6522625356706074,0.15529753265602322,0.5354185832566697,0.4559139784946237,0.5003703832626343,0.44885546513795227,0.738355376653249,0.16847826086956522,0.5277927684835402,0.36079545454545453,0.26777777075767517,0.2416967546175613,0.2089795918367347,0.3016069221260816,0.2967802146523565,0.15942028985507245,0.4851851761341095,0.4300677311760579,0.7265400115141047,0.09792843691148775,0.5280172413793104,0.36778523489932885,stopped,0.001,True
natfull,32,1.0,2,0.8,78,0.7996326088905334,0.6570607423782349,0.6105100881944945,0.0,1.508835092759703,0.0,1.0041029453277588,0.7491721093784984,0.8814953039238644,0.5681081414222717,0.5247719601992892,0.7412023460410557,0.31842818428184283,0.57225156024964,0.46720575022461813,0.2756756842136383,0.2621422287444487,0.3493246390312063,0.2750775594622544,0.258121940364931,0.166044776119403,0.5567567944526672,0.5146651903892903,0.7315261789825473,0.2940379403794038,0.5714285714285714,0.46166807076663857,0.5796296000480652,0.5288109616824959,0.8287234042553191,0.274442538593482,0.5573770491803278,0.4547008547008547,0.2862963080406189,0.26103540001483055,0.25660964230171074,0.33618581907090467,0.2955566650024963,0.15578947368421053,0.5629629492759705,0.5169975479217127,0.7989041095890411,0.2707797772065124,0.5572649572649573,0.44104134762633995,stopped,0.001,True
natfull,32,1.0,2,0.6,243,0.5999242663383484,0.7946965098381042,0.7772797522284378,0.0,0.860554288817653,0.0,2.812955617904663,0.7491721093784984,0.8814953039238644,0.6281081438064575,0.6024825117832862,0.7384731670445956,0.5381861575178998,0.639871382636656,0.4933993399339934,0.27945947647094727,0.27028619037289364,0.3420931304748732,0.2887139107611549,0.253864168618267,0.1964735516372796,0.616756796836853,0.593750391335773,0.717869548436897,0.5484247374562428,0.6439185470555862,0.4647887323943662,0.6359259486198425,0.6140330613881624,0.7589498806682577,0.5720279720279721,0.636604774535809,0.48854961832061067,0.3018518388271332,0.26817909177889176,0.22924901185770752,0.4191096634093377,0.2817551963048499,0.14260249554367202,0.6159259080886841,0.5935806199243296,0.7422062350119905,0.559228650137741,0.6151761517615176,0.4577114427860697,stopped,0.001,True
natfull,32,1.0,2,0.5,422,0.49986180663108826,0.8313099145889282,0.817597789775599,0.0,0.651593647202382,0.0,4.755640983581543,0.7491721093784984,0.8814953039238644,0.6624324321746826,0.6442982848386599,0.7361111111111112,0.6329254727474972,0.6807538549400343,0.5274027005559968,0.28162163496017456,0.2724637242608088,0.3351749539594843,0.3102918586789555,0.24866440019426905,0.19572368421052633,0.6475675702095032,0.6288821375725504,0.7240841777084958,0.6274078150798019,0.6732673267326733,0.4907692307692308,0.6651852130889893,0.6426522574776465,0.7463768115942029,0.6632057105775471,0.6728571428571428,0.48816936488169366,0.3092592656612396,0.27145957639337026,0.2150197628458498,0.4459183673469388,0.27369742623979915,0.15120274914089346,0.6414814591407776,0.6187376464996361,0.7326493663246831,0.6361290322580645,0.6425470332850941,0.4636251541307028,stopped,0.001,True
natfull,32,1.0,2,0.4,751,0.39989325404167175,0.8612141013145447,0.8496014809491764,0.0,0.4701296161366305,0.0,8.252061367034912,0.7491721093784984,0.8814953039238644,0.6948648691177368,0.6780237784570149,0.7569444444444444,0.6871686108165429,0.7055324211778703,0.5624496373892023,0.29027026891708374,0.2820100621129845,0.32934682612695493,0.32657100445324094,0.25643614336193843,0.21568627450980393,0.685945987701416,0.6679287581980914,0.7488372093023256,0.6899063475546305,0.7000610873549176,0.5329103885804917,0.70333331823349,0.6772928152871294,0.7537447573397243,0.7388922702373707,0.7146136189747513,0.5019206145966709,0.32185184955596924,0.2777098765855544,0.22291504286827749,0.4709800190294957,0.2569444444444444,0.16,0.6751852035522461,0.6497669040197482,0.7429598562013181,0.7000610873549176,0.6738131699846861,0.48223350253807107,stopped,0.001,True
natfull,32,1.0,2,0.3,1454,0.29992616176605225,0.8901597857475281,0.8800829391038065,0.0,0.3034719117849739,0.0,15.608707189559937,0.7491721093784984,0.8814953039238644,0.7370270490646362,0.7197605970417857,0.7996947729874094,0.7315333672949567,0.7298461538461538,0.617968094038623,0.29702702164649963,0.28856600380875225,0.30613185799907794,0.35644485807352255,0.26241900647948163,0.22926829268292684,0.727837860584259,0.7103220137697795,0.7821401077752117,0.7379310344827587,0.7306461932181701,0.5905707196029777,0.7448148131370544,0.7138024701151746,0.7698695136417556,0.8075818495117748,0.7604251839738349,0.5173333333333333,0.33481481671333313,0.28098016176631324,0.23106350420811017,0.48221343873517786,0.2515527950310559,0.1590909090909091,0.7266666889190674,0.6949631967551277,0.7757504414361389,0.7763761467889908,0.7209876543209877,0.5067385444743935,stopped,0.001,True
natfull,32,1.0,2,0.2,3513,0.19998708367347717,0.9232588410377502,0.915364720301654,0.0,0.16757594949496807,0.0,37.025779247283936,0.7491721093784984,0.8814953039238644,0.7629730105400085,0.7435649412643023,0.8332708879730236,0.755713560182834,0.7377557346559206,0.6475195822454308,0.29540541768074036,0.28647207317470547,0.28371441903873074,0.3656748598533851,0.24970414201183433,0.2467948717948718,0.7478378415107727,0.7286028907188078,0.80441400304414,0.7608486017357763,0.7340286831812256,0.6151202749140894,0.8029629588127136,0.7675708313736088,0.8284090909090909,0.859009254218835,0.8028045574057844,0.5800604229607251,0.34518519043922424,0.27791919996163417,0.2121445042275173,0.4976,0.236983842010772,0.16494845360824742,0.784074068069458,0.7470004131714572,0.8220579874928937,0.8382909680908599,0.7690941385435168,0.5585585585585585,stopped,0.001,True
natfull,32,1.0,2,0.15,5977,0.14999963343143463,0.9446645379066467,0.9383004378257722,0.0,0.12346075731325865,0.0,62.797845125198364,0.7491721093784984,0.8814953039238644,0.7656757235527039,0.7452378093956793,0.8344569288389513,0.7668184117349519,0.740787008119925,0.6388888888888888,0.29486486315727234,0.28444890477809326,0.27445526193787667,0.3708939708939709,0.24384080859128238,0.24860557768924302,0.7513513565063477,0.7315982199773474,0.8105423987776929,0.7666989351403679,0.7336357744653272,0.6155157715260017,0.8211110830307007,0.7852481412510792,0.8546059933407325,0.8657035848047084,0.8042895442359249,0.6163934426229508,0.34703704714775085,0.2750256433624,0.20583717357910905,0.497893527384144,0.2181110029211295,0.1782608695652174,0.8018518686294556,0.7645973336501715,0.8379136287156478,0.8503688092729189,0.7809349220898258,0.589171974522293,stopped,0.001,True
natfull,32,1.0,2,0.1,10604,0.09999942034482956,0.967603862285614,0.9639108011951317,0.0,0.0884147761992593,0.0,111.31667017936707,0.7491721093784984,0.8814953039238644,0.7659459710121155,0.745000330019092,0.8305148440435927,0.7759398496240602,0.7460617517328293,0.6274848746758859,0.2851351499557495,0.2709520013087924,0.2594995366079703,0.37216699801192843,0.213406292749658,0.23873517786561266,0.753513514995575,0.733407716583782,0.8097784568372803,0.7737296260786194,0.7380170715692712,0.6121057118499573,0.8422222137451172,0.8068404747682989,0.8793009284543966,0.8785638859556494,0.8178506375227687,0.6516464471403813,0.33703702688217163,0.25579179779161254,0.19148936170212766,0.49015967322688453,0.19117647058823528,0.15034168564920272,0.8159258961677551,0.7781574392012062,0.8571428571428571,0.8550497121925693,0.7863720073664825,0.614065180102916,stopped,0.001,True
