arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi,status,lr,reached_star
shuffull,32,1.0,0,init,0,1.4048315286636353,0.2358466535806656,0.22381362174728348,0.0,2.144491235821884,0.0,0.17251825332641602,0.7643083674634118,0.8681046826016268,0.19567568600177765,0.17583813117824842,0.12249705535924617,0.07172038129822969,0.3907014681892333,0.11843361986628462,0.21162162721157074,0.20194391573344486,0.18349619978284473,0.28226196230062833,0.21243523316062177,0.12958226768968456,0.2132432460784912,0.20247076222349997,0.23042394014962594,0.0379746835443038,0.4163602941176471,0.12512413108242304,0.22148148715496063,0.18587668757899192,0.11390284757118928,0.10459035444509006,0.42665289256198347,0.09836065573770492,0.21629630029201508,0.19818524127359513,0.1906906906906907,0.28733459357277885,0.21765685730149917,0.09705882352941177,0.22111110389232635,0.19120014622074066,0.2190280629705681,0.045077105575326216,0.44845661036691903,0.05223880597014925,stopped,0.001,True
shuffull,32,1.0,0,1.0,169,0.9987440705299377,0.6070287823677063,0.5426589752500712,0.0,1.1203789876493162,0.0,1.0487172603607178,0.7643083674634118,0.8681046826016268,0.4881081283092499,0.4053795711948188,0.6985578614139993,0.19182156133828995,0.5238954012623985,0.20724346076458752,0.5194594860076904,0.46631663764502296,0.6948596427269413,0.3311345646437995,0.5575575575575575,0.28171478565179353,0.4883783757686615,0.38465936003986956,0.7082494969818913,0.17417417417417416,0.5264598540145985,0.1297539149888143,0.5048148036003113,0.4035846747872498,0.7443298969072165,0.22300263388937663,0.547191011235955,0.09981515711645102,0.5425925850868225,0.4777317357701062,0.7649572649572649,0.34624505928853755,0.5446910617876425,0.2550335570469799,0.5266666412353516,0.41234650170967857,0.7656019656019656,0.23344947735191637,0.5553021664766249,0.09503239740820735,stopped,0.001,True
shuffull,32,1.0,0,0.8,438,0.7996813058853149,0.6904792785644531,0.6428833046324215,0.0,0.670025734501556,0.0,2.3559303283691406,0.7643083674634118,0.8681046826016268,0.5397297143936157,0.45929756379025133,0.7280791538723985,0.33493479752916955,0.5644465740297077,0.20972972972972972,0.5632432699203491,0.5186717438453831,0.7099376604327099,0.44554455445544555,0.6009438909281594,0.3182608695652174,0.5289189219474792,0.4384477060950128,0.7276395427034297,0.3146997929606625,0.5564127290260367,0.15503875968992248,0.5799999833106995,0.48391632026751225,0.780241935483871,0.43305279265493496,0.5865680837954406,0.13580246913580246,0.6048148274421692,0.5550129762772994,0.7765089722675367,0.5043103448275862,0.5979247730220493,0.3413078149920255,0.5985184907913208,0.49474208938448005,0.8074110190151146,0.4299923488905891,0.5862708719851577,0.15529411764705883,stopped,0.001,True
shuffull,32,1.0,0,0.6,1261,0.5999528765678406,0.7844089865684509,0.7649572601502513,0.0,0.39352581125270025,0.0,6.223084926605225,0.7643083674634118,0.8681046826016268,0.5748648643493652,0.5476808410306258,0.6656346749226006,0.5440567711413364,0.6268817204301075,0.3541501976284585,0.6024324297904968,0.5821053327995798,0.6740947075208914,0.6082251082251082,0.6457971014492754,0.4003044140030441,0.5816216468811035,0.5548058072420005,0.6710273181993074,0.5654692931633836,0.625414364640884,0.35731225296442687,0.6174073815345764,0.589910423917987,0.6950699939135727,0.6324675324675325,0.6423982869379015,0.3897058823529412,0.636296272277832,0.6082816649359652,0.7111650485436893,0.6603415559772297,0.6496350364963503,0.41198501872659177,0.6092592477798462,0.5847539404513873,0.6926829268292682,0.6159844054580896,0.624551328068916,0.4057971014492754,stopped,0.001,True
shuffull,32,1.0,0,0.5,2076,0.4999221861362457,0.8214057683944702,0.8052993514474291,0.0,0.3127043468991604,0.0,10.059184789657593,0.7643083674634118,0.8681046826016268,0.6145946383476257,0.5934044832338654,0.6858267716535433,0.6167597765363129,0.654300168634064,0.41673121611154146,0.6337838172912598,0.6161562750071995,0.6888532477947072,0.6583979328165375,0.6698853349426674,0.4474885844748858,0.6148648858070374,0.5948465190472004,0.6821583300512013,0.6267332224070993,0.6521739130434783,0.4183206106870229,0.6470370292663574,0.6216067912793244,0.6990654205607477,0.6941538461538461,0.6681783824640968,0.42502951593860683,0.6677777767181396,0.6401034713718268,0.7248157248157249,0.7148884870403858,0.674347158218126,0.44636251541307026,0.6311110854148865,0.6088140513824197,0.6904761904761905,0.6679035250463822,0.6435045317220544,0.43337195828505215,stopped,0.001,True
shuffull,32,1.0,0,0.4,3452,0.3999718725681305,0.855846643447876,0.8422827945618547,0.0,0.2321357298211218,0.0,16.541627645492554,0.7643083674634118,0.8681046826016268,0.6600000262260437,0.6399342235973906,0.7144535840188014,0.6896186440677966,0.6923076923076923,0.46335697399527187,0.6740540862083435,0.6541569592639516,0.7334118570867687,0.6958270487682252,0.6905940594059405,0.4967948717948718,0.6508108377456665,0.6315262669759107,0.7094753328112764,0.6738312735088662,0.6804245283018868,0.46237393328161364,0.6781481504440308,0.6511412475994953,0.7253694581280788,0.7326615293420272,0.6861198738170347,0.46041412911084045,0.6918518543243408,0.6612396654472512,0.7429963459196103,0.7492728330424665,0.6889952153110048,0.4636942675159236,0.6611111164093018,0.6363361455317572,0.7212307692307692,0.7017964071856287,0.6604068857589984,0.4619105199516324,stopped,0.001,True
shuffull,32,1.0,0,0.3,6273,0.2999880909919739,0.889201283454895,0.8782994656322515,0.0,0.15351964813467997,0.0,29.790138959884644,0.7643083674634118,0.8681046826016268,0.6935135126113892,0.6751096259461664,0.7423409269442263,0.7288659793814433,0.7162904209884076,0.5129411764705882,0.7143243551254272,0.6942089544108352,0.7705426356589147,0.7390029325513197,0.7117346938775511,0.5555555555555556,0.685405433177948,0.6687074763385661,0.7355958958168903,0.7136150234741784,0.7079538554948391,0.5176651305683564,0.7192592620849609,0.688643098619804,0.7688651218062983,0.7694954128440367,0.7108927108927109,0.5053191489361702,0.7266666889190674,0.6926412243641472,0.7811764705882352,0.7776510832383124,0.7131147540983607,0.4986225895316804,0.698888897895813,0.6711803076126199,0.7604790419161677,0.7380675203725262,0.6855295068714632,0.5006451612903225,stopped,0.001,True
shuffull,32,1.0,0,0.2,13607,0.19999541342258453,0.9277955293655396,0.9199528908019666,0.0,0.09495556508020568,0.0,63.898216009140015,0.7643083674634118,0.8681046826016268,0.7229729890823364,0.7032629562150584,0.7729022324865281,0.7531549722362443,0.7340823970037453,0.5529122231337161,0.7367568016052246,0.7157499394874414,0.7992366412213741,0.7564919157275846,0.7139208173690932,0.5933503836317136,0.7145946025848389,0.6952655173560812,0.7674508291554184,0.7424783273839878,0.7228766274023558,0.5482562854825629,0.7681481242179871,0.7334490557813235,0.8224617129892229,0.8070175438596491,0.7385677308024159,0.5657492354740061,0.7677778005599976,0.7297035986552374,0.819468024900962,0.8133918770581778,0.7463203463203463,0.5396341463414634,0.7559259533882141,0.7224013613435988,0.8182336182336183,0.7915742793791575,0.72027373823781,0.5595238095238095,stopped,0.001,True
shuffull,32,1.0,0,0.15,21081,0.14999763667583466,0.9497125148773193,0.9442679403289956,0.0,0.07570277930765276,0.0,98.6607563495636,0.7643083674634118,0.8681046826016268,0.7305405735969543,0.7095721607038793,0.7851964898893552,0.7566482689412946,0.7364438839848676,0.56,0.7386486530303955,0.7176565873436769,0.801829268292683,0.7588235294117647,0.710997442455243,0.5989761092150171,0.727837860584259,0.7077496982096501,0.7796480489671003,0.7571644042232277,0.7317380352644837,0.5624483043837882,0.7900000214576721,0.7540651577273589,0.8479823106688779,0.8195121951219512,0.7537248028045574,0.5950413223140496,0.7844444513320923,0.7433297292480021,0.8372093023255814,0.8257080610021786,0.759581881533101,0.5508196721311476,0.7848148345947266,0.7496439341542402,0.8549450549450549,0.8063284233496999,0.733275412684622,0.6040268456375839,stopped,0.001,True
shuffull,32,1.0,0,0.1,33555,0.09999749064445496,0.9722684025764465,0.9694177848495011,0.0,0.05997949479075235,0.0,170.03487420082092,0.7643083674634118,0.8681046826016268,0.7416216135025024,0.7208936385551581,0.7945309532852259,0.7673143996013951,0.743801652892562,0.577927548441449,0.7375676035881042,0.7172214855922607,0.8009188361408882,0.7571288102261554,0.7081218274111675,0.6027164685908319,0.735405445098877,0.7151729432331299,0.785986290936786,0.7655550024888004,0.7331639135959339,0.5759865659109992,0.8018518686294556,0.7663515649988359,0.8695181375203032,0.8208714362560516,0.7462422634836428,0.6287744227353463,0.7925925850868225,0.7490208649377019,0.8481219379422972,0.8301682040151926,0.7622377622377622,0.5555555555555556,0.8022221922874451,0.7679043381836896,0.8764166216945494,0.8153347732181425,0.7394366197183099,0.6404293381037567,stopped,0.001,True
shuffull,32,1.0,0,final,33555,0.09999749064445496,0.9722684025764465,0.9694177848495011,0.0,0.05997949479075235,0.0,170.09756183624268,0.7643083674634118,0.8681046826016268,0.7416216135025024,0.7208936385551581,0.7945309532852259,0.7673143996013951,0.743801652892562,0.577927548441449,0.7375676035881042,0.7172214855922607,0.8009188361408882,0.7571288102261554,0.7081218274111675,0.6027164685908319,0.735405445098877,0.7151729432331299,0.785986290936786,0.7655550024888004,0.7331639135959339,0.5759865659109992,0.8018518686294556,0.7663515649988359,0.8695181375203032,0.8208714362560516,0.7462422634836428,0.6287744227353463,0.7925925850868225,0.7490208649377019,0.8481219379422972,0.8301682040151926,0.7622377622377622,0.5555555555555556,0.8022221922874451,0.7679043381836896,0.8764166216945494,0.8153347732181425,0.7394366197183099,0.6404293381037567,stopped,0.001,True
