step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,2.1932661533355713,0.02791430614888668,0.02344158499620137,0.0,5.446977298725757,0.0
25,1.8393478393554688,0.17895400524139404,0.19636493507123534,0.0,2.752845660909178,0.0
50,1.6965932846069336,0.2457467019557953,0.2690209666168447,0.0,2.085462145801387,0.0
75,1.6051862239837646,0.23434153199195862,0.2695543764675103,0.0,1.7708703053569206,0.0
100,1.5344268083572388,0.2437933385372162,0.2794036321769349,0.0,1.604594876328337,0.0
125,1.4742870330810547,0.25179585814476013,0.2870555002881009,0.0,1.5005996928862702,0.0
150,1.4210327863693237,0.2612476646900177,0.2960197877854327,0.0,1.4180308243594393,0.0
175,1.3731681108474731,0.27309390902519226,0.3077284686630573,0.0,1.3479706838010488,0.0
200,1.3300875425338745,0.2865784764289856,0.32398964967328825,0.0,1.2748569008240347,0.0
225,1.2915363311767578,0.3025204837322235,0.3430909523294927,0.0,1.2088416362115102,0.0
250,1.2567123174667358,0.3154379427433014,0.3573091888095747,0.0,1.1518073758280845,0.0
275,1.2250885963439941,0.32728418707847595,0.3702284643613561,0.0,1.0951112660549378,0.0
300,1.1966609954833984,0.3372400999069214,0.3809029952785928,0.0,1.0381022484382834,0.0
325,1.170866847038269,0.34593573212623596,0.389665924758988,0.0,0.9936784123421927,0.0
350,1.1471179723739624,0.3526780307292938,0.39620326475745216,0.0,0.9555854345248709,0.0
375,1.125082015991211,0.3598614037036896,0.4031437641378034,0.0,0.9218292968595384,0.0
400,1.1045376062393188,0.36849403381347656,0.4115650401271354,0.0,0.8907496968931096,0.0
425,1.0853179693222046,0.37674859166145325,0.41987288279558416,0.0,0.8623615731245031,0.0
450,1.0672847032546997,0.3851291835308075,0.42759997609975303,0.0,0.8361358388144765,0.0
475,1.0503088235855103,0.39237555861473083,0.43419297770273996,0.0,0.8117991635497979,0.0
500,1.034273624420166,0.4005671441555023,0.4406250138229597,0.0,0.7896892410754808,0.0
525,1.0190637111663818,0.4104599952697754,0.44756060001645287,0.0,0.770025518878918,0.0
550,1.0045840740203857,0.41909265518188477,0.45349740789309,0.0,0.7519539733810429,0.0
575,0.9907603859901428,0.4286704659461975,0.4597322451335929,0.0,0.7351854860635024,0.0
600,0.9775190353393555,0.4371770918369293,0.4656927179717183,0.0,0.7201254495031343,0.0
625,0.964802622795105,0.44675490260124207,0.4719177158402422,0.0,0.7056235969495632,0.0
650,0.9526090025901794,0.4563957452774048,0.47813064944041833,0.0,0.6907301532359353,0.0
675,0.940937340259552,0.4667927026748657,0.4848338198477471,0.0,0.6757099916459128,0.0
700,0.929774284362793,0.4766855835914612,0.49136653614099135,0.0,0.6607243977926996,0.0
725,0.9190793037414551,0.4863894283771515,0.49753815436231075,0.0,0.6474105839000387,0.0
750,0.9087974429130554,0.49552616477012634,0.503255135349741,0.0,0.634915854883116,0.0
775,0.8989092707633972,0.5040957927703857,0.5087569189991831,0.0,0.6231436578200381,0.0
800,0.889374315738678,0.5127284526824951,0.5139849961390305,0.0,0.6125927240579436,0.0
825,0.8801507353782654,0.519470751285553,0.5183847364095852,0.0,0.6017789448744518,0.0
850,0.8712784051895142,0.5267801284790039,0.523861567023999,0.0,0.5896232914003278,0.0
875,0.8627495765686035,0.5323251485824585,0.5275614595910291,0.0,0.5781482692215253,0.0
900,0.8545500636100769,0.5368620157241821,0.5306663780073383,0.0,0.5672993914746635,0.0
925,0.8466465473175049,0.5420290231704712,0.5344258214990545,0.0,0.5571720381233269,0.0
950,0.8390198945999146,0.5469439625740051,0.5391162342451482,0.0,0.5474281187156859,0.0
975,0.8316517472267151,0.5514178276062012,0.543583858941644,0.0,0.5383011711976403,0.0
1000,0.8245216608047485,0.5544423460960388,0.5460136747294675,0.0,0.5296162092870083,0.0
1025,0.8176193237304688,0.5582861304283142,0.5501640335800828,0.0,0.5212651787602863,0.0
1050,0.810930073261261,0.5621928572654724,0.5541557356120511,0.0,0.5131996679596851,0.0
1075,0.8044411540031433,0.5666667222976685,0.5599347297404941,0.0,0.5055990767217822,0.0
1100,0.7981414198875427,0.5703843832015991,0.5634693943227626,0.0,0.49825528158589527,0.0
1125,0.7920225262641907,0.5758034586906433,0.5705037297332131,0.0,0.4911650864383056,0.0
1150,0.7860742807388306,0.5782608985900879,0.5743402554252505,0.0,0.4842984236797741,0.0
1175,0.7802917957305908,0.5821046233177185,0.5802853599949381,0.0,0.47757864541111306,0.0
1200,0.7746655941009521,0.5857593417167664,0.5854869788647717,0.0,0.47115740664605704,0.0
1225,0.7691882848739624,0.5900441408157349,0.5911520957476512,0.0,0.46487174510837337,0.0
1250,0.7638517618179321,0.5936988592147827,0.5968231988499519,0.0,0.4590342705848791,0.0
1275,0.7586483359336853,0.5973535180091858,0.602504551164618,0.0,0.4533468610985654,0.0
1300,0.7535710334777832,0.6003780961036682,0.6070257462501119,0.0,0.44787303411220925,0.0
1325,0.7486149072647095,0.6034026741981506,0.6114596314207931,0.0,0.44248535925875865,0.0
1350,0.7437751293182373,0.6071833968162537,0.615724148111269,0.0,0.4373997174272143,0.0
1375,0.7390445470809937,0.6093258261680603,0.6189945669825881,0.0,0.4324950298906733,0.0
1400,0.7344191670417786,0.6118462681770325,0.6220275923583872,0.0,0.42765513508884295,0.0
1425,0.7298964262008667,0.6144927740097046,0.6248461440334974,0.0,0.42288517621995125,0.0
1450,0.7254729270935059,0.6160680651664734,0.6266753482185197,0.0,0.41839234893118554,0.0
1475,0.7211422324180603,0.6173913478851318,0.6287415955397221,0.0,0.41392875013079866,0.0
1500,0.716903030872345,0.6195337176322937,0.6312706634105196,0.0,0.40958742159950356,0.0
1525,0.7127521634101868,0.6209830045700073,0.6334011356230649,0.0,0.4052232526478521,0.0
1550,0.7086883187294006,0.6224952936172485,0.6357278736657156,0.0,0.40108219011444707,0.0
1575,0.7047066688537598,0.6240075826644897,0.6380541929835832,0.0,0.39696894821543227,0.0
1600,0.7008065581321716,0.6261500120162964,0.6411666189171679,0.0,0.3929439642321156,0.0
1625,0.6969841718673706,0.627914309501648,0.6425752653875786,0.0,0.3888407316602151,0.0
