step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,2.2369322776794434,0.12192817032337189,0.05924284629631172,0.24500799179077148,0.5162601783096799,0.0
25,2.229069709777832,0.1230623871088028,0.060064380541671125,0.22919915616512299,0.4997103558502571,0.0016979123465716839
50,2.2217702865600586,0.12507876753807068,0.061324111089467406,0.21503858268260956,0.4863501654186343,0.003285354468971491
75,2.214895009994507,0.12722118198871613,0.06553389082743426,0.20426225662231445,0.4753291359074578,0.00477920938283205
100,2.2083635330200195,0.12986768782138824,0.06806870590961585,0.1955496370792389,0.46637010118533306,0.0061973449774086475
125,2.2021050453186035,0.13232514262199402,0.07205157268002962,0.18776008486747742,0.4578650389250296,0.007547103334218264
150,2.1960842609405518,0.13522370159626007,0.07607118229432022,0.18355703353881836,0.4512374452119109,0.008842084556818008
175,2.190232992172241,0.13799622654914856,0.0808090293186818,0.17962618172168732,0.4449937596850193,0.010092642158269882
200,2.1845149993896484,0.14127284288406372,0.08744089726308833,0.17723776400089264,0.44132739246145836,0.011308613233268261
225,2.1788902282714844,0.14625079929828644,0.09567741582883608,0.1766100376844406,0.4391745701531808,0.012492845766246319
250,2.1733062267303467,0.150346577167511,0.1025972527443635,0.1773536056280136,0.4372846166096811,0.013654799200594425
275,2.1677560806274414,0.15664777159690857,0.1135787395992155,0.17871125042438507,0.4352422033539794,0.01480341050773859
300,2.1622118949890137,0.16105860471725464,0.11959017912712203,0.18214818835258484,0.43526087626778076,0.01594841107726097
325,2.1566314697265625,0.16528041660785675,0.12632237746163463,0.18553175032138824,0.43511395603473674,0.017098641023039818
350,2.150998830795288,0.1697542667388916,0.13185191427295445,0.18945735692977905,0.4366583850882035,0.018256112933158875
375,2.1452603340148926,0.17492124438285828,0.13734776439635443,0.19607150554656982,0.4398116561049185,0.019431421533226967
400,2.139401912689209,0.1787649691104889,0.14062791608561326,0.20197637379169464,0.4433256697181331,0.020628109574317932
425,2.1334102153778076,0.18229363858699799,0.1443649507074772,0.20745715498924255,0.4467719676420111,0.021848073229193687
450,2.1272687911987305,0.18626339733600616,0.14718060242840533,0.21374091506004333,0.45095062767450644,0.02309558540582657
475,2.1209659576416016,0.18897292017936707,0.14889885338951078,0.22079597413539886,0.45457594563919024,0.024375392124056816
500,2.1144979000091553,0.19174544513225555,0.15119764711137942,0.2281695157289505,0.45888060596172636,0.02569187618792057
525,2.1078526973724365,0.19420291483402252,0.15252652116989632,0.23502777516841888,0.4631739738548014,0.02704775147140026
550,2.101010799407959,0.19747953116893768,0.1556846483296722,0.24246640503406525,0.46811030038725243,0.028451982885599136
575,2.0939695835113525,0.2005041092634201,0.15774957987090057,0.2494581639766693,0.47344641866698206,0.029900122433900833
600,2.086693286895752,0.20346567034721375,0.15931230205499292,0.257381796836853,0.47941762054915016,0.03140248358249664
625,2.0791823863983154,0.20548205077648163,0.1601477215141859,0.26470816135406494,0.4850408173354376,0.032955266535282135
650,2.0714352130889893,0.20775048434734344,0.1609604815719399,0.2719133794307709,0.4904267219153345,0.034561045467853546
675,2.063458204269409,0.21001891791820526,0.16189865260202316,0.27885112166404724,0.49583742499563027,0.03621646389365196
700,2.0552539825439453,0.21228735148906708,0.16235824242421473,0.2856881618499756,0.5010525037899666,0.0379217155277729
725,2.046823740005493,0.21329553425312042,0.1627689527559636,0.29212695360183716,0.5061570501109526,0.0396823026239872
750,2.0381765365600586,0.21386264264583588,0.16191669793634106,0.29870301485061646,0.5108823895447633,0.041495807468891144
775,2.0293352603912354,0.2145557701587677,0.16223904668941927,0.30365025997161865,0.5145386528613244,0.04335765168070793
800,2.0203347206115723,0.2153749316930771,0.1616786870891301,0.30765798687934875,0.5179290880706923,0.045258618891239166
