arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_Asphalt,f1_iid_val_Meadows,f1_iid_val_Gravel,f1_iid_val_Trees,f1_iid_val_PaintedMetal,f1_iid_val_BareSoil,f1_iid_val_Bitumen,f1_iid_val_Bricks,f1_iid_val_Shadows,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_Asphalt,f1_ctx_random_val_Meadows,f1_ctx_random_val_Gravel,f1_ctx_random_val_Trees,f1_ctx_random_val_PaintedMetal,f1_ctx_random_val_BareSoil,f1_ctx_random_val_Bitumen,f1_ctx_random_val_Bricks,f1_ctx_random_val_Shadows,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_Asphalt,f1_homogeneous_val_Meadows,f1_homogeneous_val_Gravel,f1_homogeneous_val_Trees,f1_homogeneous_val_PaintedMetal,f1_homogeneous_val_BareSoil,f1_homogeneous_val_Bitumen,f1_homogeneous_val_Bricks,f1_homogeneous_val_Shadows,acc_iid_test,f1_iid_test,f1_iid_test_Asphalt,f1_iid_test_Meadows,f1_iid_test_Gravel,f1_iid_test_Trees,f1_iid_test_PaintedMetal,f1_iid_test_BareSoil,f1_iid_test_Bitumen,f1_iid_test_Bricks,f1_iid_test_Shadows,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_Asphalt,f1_ctx_random_test_Meadows,f1_ctx_random_test_Gravel,f1_ctx_random_test_Trees,f1_ctx_random_test_PaintedMetal,f1_ctx_random_test_BareSoil,f1_ctx_random_test_Bitumen,f1_ctx_random_test_Bricks,f1_ctx_random_test_Shadows,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_Asphalt,f1_homogeneous_test_Meadows,f1_homogeneous_test_Gravel,f1_homogeneous_test_Trees,f1_homogeneous_test_PaintedMetal,f1_homogeneous_test_BareSoil,f1_homogeneous_test_Bitumen,f1_homogeneous_test_Bricks,f1_homogeneous_test_Shadows,status,lr,reached_star
headlr,32,0.00390625,2,init,0,2.238520383834839,0.019911784678697586,0.012682814090083767,0.7700344920158386,1.418584519082317,0.0,0.012275934219360352,0.7204203559475701,0.7095824184210519,0.028833333402872086,0.017472557974350086,0.0,0.0,0.0,0.0,0.0,0.014814814814814815,0.0,0.0,0.14243820695433598,0.1236666664481163,0.0826811082778458,0.10635155096011817,0.252657151533556,0.0731070496083551,0.11519777931991672,0.014563106796116505,0.04709576138147567,0.10237068965517242,0.0,0.03278688524590164,0.03133333474397659,0.01642854021933849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478568619740464,0.016833333298563957,0.009845749527067823,0.0,0.0005243838489774515,0.0,0.005952380952380952,0.0,0.006514657980456026,0.0,0.0,0.07562032296179598,0.10716666281223297,0.0672717498487764,0.1251840942562592,0.26358450915640946,0.02973977695167286,0.06796116504854369,0.013029315960912053,0.05476190476190476,0.03044982698961938,0.0,0.020735155513666354,0.018166666850447655,0.009608665269042626,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.08333333333333333,max_steps,0.001,False
headlr,32,0.00390625,2,1.0,29472,0.9999994039535522,0.48657846450805664,0.47601464268920324,0.070358507335186,1.2943794730385048,1.1217408180236816,313.02506279945374,0.7177183869687346,0.7168323868414932,0.5068333148956299,0.47208546040018645,0.6818397344713134,0.5075255869957856,0.2836230558096981,0.601842374616172,0.9702602230483272,0.14096916299559473,0.255653883972468,0.3669724770642202,0.44008264462809915,0.11016666889190674,0.07849462736103585,0.07573415765069552,0.22828282828282828,0.060470324748040316,0.11594202898550725,0.08646616541353383,0.02385685884691849,0.07838383838383839,0.004415011037527594,0.0329004329004329,0.5258333086967468,0.47464182033404956,0.7384183434721572,0.5200833085391252,0.27294493216280924,0.6542155816435432,0.9905482041587902,0.17316017316017315,0.3503981797497156,0.16481069042316257,0.4071969696969697,0.5118333101272583,0.4391935366384537,0.8367444074250358,0.6240369799691834,0.26129666011787817,0.5381222432262129,0.9743589743589743,0.015151515151515152,0.10635538261997406,0.2859960552268245,0.3106796116504854,0.10099999606609344,0.0708262974422476,0.15327929255711129,0.2334704207529263,0.04843304843304843,0.055218855218855216,0.039886039886039885,0.03804347826086957,0.03155127081507449,0.0200445434298441,0.017509727626459144,0.5366666316986084,0.43569246258041266,0.8522464103751737,0.688324377137274,0.24422442244224424,0.6780162842339008,0.987012987012987,0.04398826979472141,0.05813953488372093,0.04849884526558892,0.3207810320781032,max_steps,0.001,False
headlr,32,0.00390625,2,final,40000,0.90475994348526,0.5558286309242249,0.5384773060653577,0.053116459399461746,1.0758045961561777,1.2895914316177368,417.4833514690399,0.7185879284123415,0.719000524642916,0.5568333268165588,0.5192007275815582,0.7128987517337032,0.5626628075253256,0.2332155477031802,0.6409560021727322,0.9774436090225563,0.13778705636743216,0.2899786780383795,0.6658385093167701,0.4520255863539446,0.11733333021402359,0.08292151966515367,0.08465608465608465,0.2415490646537578,0.058624577226606536,0.12456344586728754,0.0962962962962963,0.023076923076923078,0.08139534883720931,0.008456659619450317,0.027675276752767528,0.5923333168029785,0.5576556500193786,0.7459509486348913,0.5770435773283965,0.2350230414746544,0.708904109589041,0.9924242424242424,0.18518518518518517,0.3883495145631068,0.7534246575342466,0.43259557344064387,0.5995000004768372,0.49959308904328575,0.859542697153523,0.6908387720570461,0.17944535073409462,0.6092619392185239,0.9785407725321889,0.0481283422459893,0.13114754098360656,0.6675805346127485,0.33185185185185184,0.1106666624546051,0.07637991955765443,0.16509775524981898,0.25061576354679804,0.04160887656033287,0.05725971370143149,0.034782608695652174,0.057068741893644616,0.0319634703196347,0.031982942430703626,0.01703940362087327,0.6553333401679993,0.5263873863259959,0.8616236162361623,0.7680695333943275,0.09073724007561437,0.8484848484848485,0.9826086956521739,0.07151979565772669,0.08856088560885608,0.6925485284909205,0.3333333333333333,max_steps,0.001,False
