pair,n_train,prep,K,oracle,random_probe_mean,random_probe_min,random_probe_max,cos_contrast_v1,contrast_frac_top10,var_frac_v1
Meadows-vs-Trees,9669,standardized,2,0.9333479020979021,0.6657196969696969,0.6230332167832168,0.7121940559440559,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,standardized,4,0.9333479020979021,0.7313519813519814,0.6822552447552448,0.7757867132867133,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,standardized,12,0.9333479020979021,0.8495775058275058,0.8363199300699301,0.8752185314685315,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,standardized,32,0.9333479020979021,0.9205273892773893,0.9147727272727273,0.9241695804195804,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,whitened,2,0.9549825174825175,0.5759761072261073,0.5699300699300699,0.5843531468531469,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,whitened,4,0.9549825174825175,0.5802738927738927,0.566215034965035,0.5882867132867133,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,whitened,12,0.9549825174825175,0.667322261072261,0.6234702797202797,0.7019230769230769,0.9142990827715085,0.9999207122833177,0.6713313310674791
Meadows-vs-Trees,9669,whitened,32,0.9549825174825175,0.8146124708624708,0.7687937062937062,0.8697552447552448,0.9142990827715085,0.9999207122833177,0.6713313310674791
Gravel-vs-Bricks,2756,standardized,2,0.8527131782945736,0.6304909560723515,0.6106804478897502,0.6511627906976745,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,standardized,4,0.8527131782945736,0.6376686764283663,0.6167097329888027,0.6589147286821705,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,standardized,12,0.8527131782945736,0.780361757105943,0.7260981912144703,0.818260120585702,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,standardized,32,0.8527131782945736,0.8366350846971002,0.8173987941429802,0.85099052540913,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,whitened,2,0.8329026701119724,0.5190927361469997,0.49956933677863913,0.549526270456503,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,whitened,4,0.8329026701119724,0.5587137525122022,0.5107665805340224,0.595176571920758,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,whitened,12,0.8329026701119724,0.6118288831467126,0.5934539190353144,0.6416881998277347,0.8777314256750391,0.9987345266863623,0.7746625390328539
Gravel-vs-Bricks,2756,whitened,32,0.8329026701119724,0.6755670399081252,0.657192075796727,0.6864771748492678,0.8777314256750391,0.9987345266863623,0.7746625390328539
Asphalt-vs-Bricks,4754,standardized,2,0.9516260162601626,0.8457994579945799,0.740650406504065,0.906910569105691,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,standardized,4,0.9516260162601626,0.897560975609756,0.8853658536585366,0.906910569105691,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,standardized,12,0.9516260162601626,0.9223577235772358,0.9178861788617886,0.9292682926829269,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,standardized,32,0.9516260162601626,0.9437669376693766,0.9406504065040651,0.9467479674796748,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,whitened,2,0.9451219512195121,0.5437669376693767,0.5,0.574390243902439,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,whitened,4,0.9451219512195121,0.5659891598915988,0.5491869918699187,0.5747967479674797,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,whitened,12,0.9451219512195121,0.6495934959349593,0.591869918699187,0.7048780487804878,0.9948445836820744,0.9999777715868503,0.8725791546195278
Asphalt-vs-Bricks,4754,whitened,32,0.9451219512195121,0.7745257452574524,0.748780487804878,0.8195121951219512,0.9948445836820744,0.9999777715868503,0.8725791546195278
Meadows-vs-BareSoil,10985,standardized,2,0.9095440280598117,0.750292289705249,0.742477386007015,0.7544766475909175,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,standardized,4,0.9095440280598117,0.779090517506615,0.7683219494184973,0.78844378807458,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,standardized,12,0.9095440280598117,0.8368715771337149,0.8153959756322688,0.8521321764814473,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,standardized,32,0.9095440280598117,0.9075749184665559,0.9034520952556766,0.9130515045227986,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,whitened,2,0.9254199741554366,0.6049473878530552,0.5654421266383607,0.6588517629684327,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,whitened,4,0.9254199741554366,0.6624207741062089,0.6431604208971755,0.685434742477386,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,whitened,12,0.9254199741554366,0.7291858962525383,0.7066642052796751,0.7483847147867824,0.9922641141671315,0.9999575558186338,0.6570468994978915
Meadows-vs-BareSoil,10985,whitened,32,0.9254199741554366,0.7969355731954956,0.7838286874653867,0.8222263245338749,0.9922641141671315,0.9999575558186338,0.6570468994978915
