step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.7220229506492615,0.4745989143848419,0.0,1.827542286930599,0.0
25,0.647311806678772,0.5704099535942078,0.0,1.6315576441794502,0.0
50,0.5870784521102905,0.688057005405426,0.0,1.47061037204416,0.0
75,0.5379223227500916,0.7892156839370728,0.0,1.3355274025109647,0.0
100,0.4969785809516907,0.8582887649536133,0.0,1.2243466284781734,0.0
125,0.46228042244911194,0.8872548937797546,0.0,1.1318445186719324,0.0
150,0.4325302541255951,0.8997325897216797,0.0,1.0504788349877152,0.0
175,0.4067080616950989,0.9122103452682495,0.0,0.9821023145706039,0.0
200,0.38409850001335144,0.9215686321258545,0.0,0.920491940259344,0.0
225,0.3641481399536133,0.928698718547821,0.0,0.8663034336537098,0.0
250,0.3464224934577942,0.9309269189834595,0.0,0.81760366839231,0.0
275,0.3306041657924652,0.9322637915611267,0.0,0.7730400465572823,0.0
300,0.31641897559165955,0.9362744688987732,0.0,0.7325930845373199,0.0
325,0.3036564886569977,0.9385026693344116,0.0,0.6958676933879093,0.0
350,0.2921244204044342,0.9402852058410645,0.0,0.6618045390351605,0.0
375,0.28166764974594116,0.9402852058410645,0.0,0.6311980898231542,0.0
400,0.2721368372440338,0.9411764740943909,0.0,0.6030893711179354,0.0
425,0.2634306252002716,0.9416220784187317,0.0,0.5766145766504711,0.0
450,0.25545379519462585,0.9420677423477173,0.0,0.5525690819019942,0.0
475,0.24813036620616913,0.9425133466720581,0.0,0.5296956513570014,0.0
500,0.24139675498008728,0.9434046149253845,0.0,0.5079776928012677,0.0
525,0.23519189655780792,0.9434046149253845,0.0,0.48834356233937054,0.0
550,0.22944629192352295,0.9429589509963989,0.0,0.46979499755512427,0.0
575,0.22411684691905975,0.9438502192497253,0.0,0.4530314099965309,0.0
600,0.21916614472866058,0.9442958831787109,0.0,0.43666208688246577,0.0
625,0.21456365287303925,0.9442958831787109,0.0,0.4214277859040577,0.0
650,0.21027112007141113,0.9447414875030518,0.0,0.4071564349440457,0.0
675,0.20626039803028107,0.9451871514320374,0.0,0.39378195547403644,0.0
700,0.20250484347343445,0.9451871514320374,0.0,0.38133988316938383,0.0
725,0.1989802122116089,0.9447414875030518,0.0,0.36954532048519423,0.0
750,0.19566725194454193,0.9460784196853638,0.0,0.3583951557977722,0.0
775,0.19255073368549347,0.9460784196853638,0.0,0.3476784422201337,0.0
800,0.1896127462387085,0.9456327557563782,0.0,0.3377237441030346,0.0
825,0.18683968484401703,0.9460784196853638,0.0,0.32824935306189507,0.0
850,0.18422263860702515,0.9469696879386902,0.0,0.3188925327062695,0.0
875,0.1817471832036972,0.9469696879386902,0.0,0.31042268631691405,0.0
900,0.1794009506702423,0.9478609561920166,0.0,0.30222180893173295,0.0
925,0.17717452347278595,0.948752224445343,0.0,0.29455280102856884,0.0
950,0.17506054043769836,0.948752224445343,0.0,0.28703437366415363,0.0
975,0.17305156588554382,0.948752224445343,0.0,0.27970942081386274,0.0
1000,0.1711409091949463,0.948752224445343,0.0,0.27313309480607995,0.0
1025,0.16931702196598053,0.9491978287696838,0.0,0.266886158771811,0.0
1050,0.1675751954317093,0.9496434926986694,0.0,0.2609484057510347,0.0
1075,0.1659102737903595,0.9500890970230103,0.0,0.25501635199907846,0.0
1100,0.1643190085887909,0.9500890970230103,0.0,0.24953893489106735,0.0
1125,0.1627964824438095,0.9500890970230103,0.0,0.2440109415696271,0.0
1150,0.1613386571407318,0.9496434926986694,0.0,0.2387664114613823,0.0
1175,0.15994282066822052,0.9496434926986694,0.0,0.2338376233118018,0.0
1200,0.1586032211780548,0.9491978287696838,0.0,0.22905952102028787,0.0
1225,0.15731626749038696,0.9491978287696838,0.0,0.2246555470507897,0.0
1250,0.15607798099517822,0.9491978287696838,0.0,0.22039593144560102,0.0
1275,0.15488791465759277,0.9496434926986694,0.0,0.21593632187423156,0.0
1300,0.1537429690361023,0.9496434926986694,0.0,0.2119550050658701,0.0
1325,0.15264075994491577,0.9500890970230103,0.0,0.2079681965736287,0.0
1350,0.151579350233078,0.9500890970230103,0.0,0.20405552544981245,0.0
1375,0.15055517852306366,0.9505347609519958,0.0,0.20052970422260097,0.0
1400,0.14956846833229065,0.9505347609519958,0.0,0.19684334464057332,0.0
1425,0.1486160308122635,0.9505347609519958,0.0,0.19349682181990044,0.0
1450,0.1476951539516449,0.9505347609519958,0.0,0.190254555240157,0.0
1475,0.14680466055870056,0.9505347609519958,0.0,0.18716456735866963,0.0
1500,0.14594285190105438,0.9505347609519958,0.0,0.18411436227410202,0.0
1525,0.14510932564735413,0.9505347609519958,0.0,0.18107537417110411,0.0
1550,0.14430230855941772,0.9509803652763367,0.0,0.17826904657128648,0.0
1575,0.14351949095726013,0.9509803652763367,0.0,0.1755134664979167,0.0
1600,0.1427609622478485,0.9518716335296631,0.0,0.1727699717912976,0.0
1625,0.1420261710882187,0.9518716335296631,0.0,0.17008382149566448,0.0
1650,0.1413138061761856,0.9518716335296631,0.0,0.1675334343334413,0.0
1675,0.14062286913394928,0.9518716335296631,0.0,0.1649199881402257,0.0
1700,0.13995327055454254,0.9518716335296631,0.0,0.16236152857542882,0.0
1725,0.13930374383926392,0.9518716335296631,0.0,0.15995580537589357,0.0
1750,0.1386730968952179,0.9518716335296631,0.0,0.15763204581438675,0.0
1775,0.1380607783794403,0.9527629017829895,0.0,0.15536813818477654,0.0
1800,0.1374659389257431,0.9523172974586487,0.0,0.15309277608774444,0.0
1825,0.1368883103132248,0.9523172974586487,0.0,0.1509531753775317,0.0
