step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp
0,1.4504549503326416,0.1727156639099121,0.16074355472122442,1.2506768703460693,0.7488987046529174,0.0
25,1.4034634828567505,0.2352076768875122,0.2133354896603531,1.1282069683074951,0.6342147338164127,0.008502175100147724
50,1.364536166191101,0.2969968020915985,0.2698310111509468,1.0606838464736938,0.5852800853623752,0.016301574185490608
75,1.3285548686981201,0.35124602913856506,0.3207976607531981,1.0394445657730103,0.5892879488654167,0.023763811215758324
100,1.292973518371582,0.4017891585826874,0.3669675213316629,1.0271985530853271,0.6167182257606633,0.031083179637789726
125,1.2564836740493774,0.4509904384613037,0.41209583616640244,1.0223459005355835,0.6645955491023671,0.038343630731105804
150,1.2192357778549194,0.4940575361251831,0.45159140083420635,0.995213508605957,0.7071441273022803,0.045474566519260406
175,1.1823041439056396,0.5349521040916443,0.4893674502809644,0.9558805823326111,0.736944302607298,0.052351631224155426
200,1.1464929580688477,0.5672204494476318,0.5130935657530575,0.9140737056732178,0.7569598895196625,0.05889737978577614
225,1.1120336055755615,0.5842811465263367,0.5141310277143774,0.8697255253791809,0.7645873716710249,0.06511040031909943
250,1.0795142650604248,0.5916293859481812,0.504222067921442,0.8241159319877625,0.7614270249874435,0.07096521556377411
275,1.0492126941680908,0.5959744453430176,0.49164600289858296,0.7775046825408936,0.748814580261921,0.07645972073078156
