epoch,train_loss,test_loss,test_acc
0,0.5550578758120537,0.6595478653907776,0.613311767578125
1,0.47602671571075916,0.645086944103241,0.63385009765625
2,0.4741360507905483,0.6520185470581055,0.62738037109375
3,0.47121717035770416,0.657273530960083,0.620147705078125
4,0.47037308290600777,0.6549857258796692,0.627410888671875
5,0.46969814226031303,0.6563510894775391,0.623138427734375
6,0.46917004883289337,0.6556321382522583,0.6309814453125
7,0.4687638394534588,0.6532460451126099,0.634307861328125
8,0.4684304725378752,0.651758074760437,0.641632080078125
9,0.46816922537982464,0.6491379737854004,0.6473388671875
10,0.46792004629969597,0.6473919153213501,0.65252685546875
11,0.4677074458450079,0.6451337337493896,0.659271240234375
12,0.4675689395517111,0.6425018310546875,0.66839599609375
13,0.4674572367221117,0.6384158134460449,0.67584228515625
14,0.46732660196721554,0.6379611492156982,0.67681884765625
15,0.46719825081527233,0.6361698508262634,0.682373046875
16,0.46709926426410675,0.6353771686553955,0.683197021484375
17,0.4670269228518009,0.6338533759117126,0.689422607421875
18,0.4669468551874161,0.6304484605789185,0.6934814453125
19,0.4668966643512249,0.629252552986145,0.697662353515625
20,0.4668602701276541,0.6274269223213196,0.7008056640625
21,0.4668104685842991,0.6279162168502808,0.699188232421875
22,0.4667826686054468,0.6256033182144165,0.699615478515625
23,0.4667222797870636,0.6261412501335144,0.701141357421875
24,0.46664996445178986,0.6270530223846436,0.69854736328125
25,0.4666421003639698,0.6231667399406433,0.704345703125
26,0.46659160777926445,0.6234617233276367,0.706085205078125
27,0.46657418459653854,0.6213009357452393,0.70697021484375
28,0.46653218008577824,0.6214812994003296,0.707000732421875
29,0.4665162172168493,0.6225230097770691,0.705474853515625
30,0.46649985760450363,0.6193034648895264,0.710174560546875
31,0.4665096066892147,0.6209948062896729,0.709228515625
32,0.4665004387497902,0.6172516942024231,0.711334228515625
33,0.46644425205886364,0.6205304861068726,0.708709716796875
34,0.4664467182010412,0.6204390525817871,0.709259033203125
35,0.46639064885675907,0.6168309450149536,0.7119140625
36,0.4664056971669197,0.618336021900177,0.71026611328125
37,0.46632482297718525,0.618671715259552,0.7110595703125
38,0.4663013871759176,0.6177458763122559,0.70953369140625
39,0.46626787073910236,0.6189548969268799,0.708953857421875
40,0.4662463963031769,0.6170199513435364,0.710784912109375
41,0.4662208892405033,0.6161875128746033,0.712982177734375
42,0.4661897588521242,0.6161938905715942,0.712921142578125
43,0.46616739593446255,0.6186532974243164,0.70947265625
44,0.46612576581537724,0.6176501512527466,0.70953369140625
45,0.46616203151643276,0.6181162595748901,0.70904541015625
46,0.4660790767520666,0.6162357330322266,0.7122802734375
47,0.466089965775609,0.6158612966537476,0.710784912109375
48,0.4660904500633478,0.6185003519058228,0.7099609375
49,0.46610639803111553,0.6179822683334351,0.708648681640625
50,0.4659801572561264,0.616761326789856,0.7100830078125
51,0.4659679979085922,0.6174830198287964,0.709991455078125
52,0.46590407751500607,0.6167663931846619,0.708984375
53,0.4659391772001982,0.6162391901016235,0.7088623046875
54,0.4658764600753784,0.6171318292617798,0.71112060546875
55,0.46585366874933243,0.6164658069610596,0.710205078125
56,0.4658206906169653,0.6150076389312744,0.7117919921875
57,0.4657739195972681,0.6163610219955444,0.710784912109375
58,0.4657629728317261,0.6165375709533691,0.708709716796875
59,0.4657156225293875,0.6179122924804688,0.708984375
60,0.46570886485278606,0.6158701181411743,0.708892822265625
61,0.46571120247244835,0.6160756945610046,0.70941162109375
62,0.4656698741018772,0.618553638458252,0.706695556640625
63,0.46561860106885433,0.6183324456214905,0.705291748046875
64,0.46564048901200294,0.6175005435943604,0.70574951171875
65,0.4656011536717415,0.6179637908935547,0.70880126953125
66,0.4656635820865631,0.6181536912918091,0.70648193359375
67,0.4655206501483917,0.6142581701278687,0.70843505859375
68,0.46547576040029526,0.6154277324676514,0.708282470703125
69,0.4654836840927601,0.6164536476135254,0.706634521484375
70,0.46543925628066063,0.6148724555969238,0.708892822265625
71,0.46542876586318016,0.6157045364379883,0.7088623046875
72,0.465395649895072,0.6149645447731018,0.708465576171875
73,0.4653471149504185,0.6154488325119019,0.708343505859375
74,0.46527884900569916,0.6175926327705383,0.703125
75,0.4653050247579813,0.6171932220458984,0.703857421875
76,0.4652204643934965,0.6128700971603394,0.70916748046875
77,0.4651270695030689,0.6139656901359558,0.703125
78,0.4651236142963171,0.6142383217811584,0.707427978515625
79,0.46507943980395794,0.6154855489730835,0.701141357421875
80,0.46522785164415836,0.6152905821800232,0.7015380859375
81,0.4650337304919958,0.6148491501808167,0.70220947265625
82,0.4649795684963465,0.6160876750946045,0.70147705078125
83,0.46486868150532246,0.6146754026412964,0.703643798828125
84,0.46482720226049423,0.6143252849578857,0.702911376953125
85,0.4648088086396456,0.6136785745620728,0.703033447265625
86,0.46478271484375,0.6147241592407227,0.701141357421875
87,0.4647086914628744,0.6165808439254761,0.702056884765625
88,0.46466820500791073,0.6157475709915161,0.6995849609375
89,0.4647045936435461,0.6169585585594177,0.700958251953125
90,0.46465399861335754,0.6148578524589539,0.7030029296875
91,0.46455761417746544,0.6155319213867188,0.697479248046875
92,0.4645601976662874,0.6153523921966553,0.697723388671875
93,0.4644925594329834,0.6156038045883179,0.6978759765625
94,0.46455075591802597,0.6147018671035767,0.695587158203125
95,0.46446093544363976,0.6165406107902527,0.69171142578125
96,0.46434913016855717,0.6163885593414307,0.693695068359375
97,0.46422587893903255,0.6190539598464966,0.69366455078125
98,0.4642408527433872,0.6199733018875122,0.68719482421875
99,0.4641821328550577,0.6147351264953613,0.69384765625
100,0.4641901683062315,0.6196323037147522,0.684051513671875
101,0.4641645886003971,0.6219028234481812,0.6788330078125
102,0.46413886174559593,0.6195687055587769,0.68310546875
103,0.4639630988240242,0.6176724433898926,0.6849365234375
104,0.4638855066150427,0.621550440788269,0.67852783203125
105,0.4639066942036152,0.6219116449356079,0.67877197265625
106,0.46387164294719696,0.6222606301307678,0.67486572265625
107,0.4637749418616295,0.6214821338653564,0.680145263671875
108,0.4637967608869076,0.6205613613128662,0.681976318359375
109,0.4637833256274462,0.6228585243225098,0.676300048828125
110,0.4636570829898119,0.6207669377326965,0.67974853515625
111,0.46362723782658577,0.6238008737564087,0.67138671875
112,0.4635168258100748,0.6249924302101135,0.669708251953125
113,0.4635452702641487,0.6231672763824463,0.673797607421875
114,0.46345044672489166,0.6234949231147766,0.67413330078125
115,0.46344622410833836,0.6276344656944275,0.671630859375
116,0.4633969496935606,0.6267304420471191,0.670196533203125
117,0.4634415488690138,0.6285111904144287,0.668914794921875
118,0.46322362311184406,0.6286914348602295,0.664215087890625
119,0.46316488832235336,0.6274292469024658,0.6634521484375
120,0.46317801624536514,0.6295021772384644,0.656341552734375
121,0.4631529189646244,0.6299842000007629,0.660552978515625
122,0.4629581607878208,0.6316514611244202,0.65863037109375
123,0.46296598203480244,0.6307152509689331,0.665863037109375
124,0.4629683792591095,0.6355788111686707,0.6533203125
125,0.4628366846591234,0.6326593160629272,0.657073974609375
126,0.4627483692020178,0.6351650357246399,0.650054931640625
127,0.4627083521336317,0.6313664317131042,0.658447265625
128,0.46270153671503067,0.6397605538368225,0.643218994140625
129,0.4626301471143961,0.6383475065231323,0.64068603515625
130,0.4626090656965971,0.6398171782493591,0.643218994140625
131,0.46254648454487324,0.6356859803199768,0.651885986328125
132,0.4625111687928438,0.640389084815979,0.642791748046875
133,0.4625323470681906,0.6363457441329956,0.647735595703125
134,0.46249650977551937,0.6393207311630249,0.646514892578125
135,0.4625099375844002,0.6440516114234924,0.63592529296875
136,0.4622957892715931,0.6467064619064331,0.6343994140625
137,0.46240632981061935,0.6449097394943237,0.636138916015625
138,0.46223466098308563,0.6420202255249023,0.63873291015625
139,0.46228260174393654,0.6457372307777405,0.630889892578125
140,0.46238863468170166,0.6499199271202087,0.617095947265625
141,0.4622040707617998,0.6471484303474426,0.627593994140625
142,0.4619565512984991,0.6494824886322021,0.61968994140625
143,0.4620663356035948,0.653249204158783,0.612335205078125
144,0.46204703487455845,0.6492506861686707,0.62408447265625
145,0.4618165101855993,0.6473960876464844,0.62152099609375
146,0.4618476312607527,0.6484566926956177,0.6243896484375
147,0.4618062376976013,0.6509300470352173,0.62060546875
148,0.46173453889787197,0.6568270921707153,0.6119384765625
149,0.46163973957300186,0.6580626964569092,0.6099853515625
