step,grad_theta_norm,grad_phi_norm,egr
0,0.41579191255140097,1.6652852253998771,0.2496821002247883
1,0.4024029475244922,1.5604362018858036,0.25787850027955395
2,0.3944653748763234,1.4714045935122508,0.26808763314681805
3,0.3633874307323029,1.381345634957888,0.2630677084255731
4,0.34595201444630663,1.3263942555932156,0.2608214058431084
5,0.3372494341419243,1.2534278420452127,0.26906170648911615
6,0.31895127299638243,1.1436795509378375,0.27888167864377555
7,0.30737280447952614,1.0468679657386624,0.2936118159488742
8,0.28657312982909555,0.9043647893033966,0.3168778055252647
9,0.26369532728094847,0.8439092193377175,0.3124688310522057
10,0.24613153833574988,0.7162136334778638,0.34365659466745335
11,0.22892504474959813,0.6806517822931117,0.33633210211837644
12,0.21785164185827438,0.6523574460756171,0.3339452062185682
13,0.21402100905788055,0.5670365148359285,0.37743779008558187
14,0.20504851354531356,0.4059343303677077,0.5051273031257771
15,0.1794506045585072,0.4254995325101132,0.4217410146127959
16,0.16146842222584687,0.34940595142978487,0.46212270158721885
17,0.15417186888303017,0.3309706828205051,0.46581729707514963
18,0.13569571021844948,0.2715415195487329,0.4997236166441824
19,0.1302084962525938,0.24473630856442014,0.5320358757384294
20,0.12429907349057433,0.21041605935986774,0.5907299750224813
21,0.11579863955015869,0.18994696763435856,0.6096366843426397
22,0.08830281928819149,0.15071247506082824,0.5859025223490368
23,0.08000220211917228,0.13309145546325743,0.6011069744492905
24,0.06668851272203737,0.09886879585608545,0.6745152719209346
25,0.06332858884614705,0.11042524912930486,0.5734973599327591
26,0.02753260968916321,0.03193318241331157,0.8621943573285654
27,0.03686398384044778,0.053669970437625385,0.6868642471604081
28,0.03165786900221334,0.08862000329135074,0.3572316387506374
29,0.029852419868352825,0.05983822907150764,0.4988854170831129
30,0.013910218650148447,0.021138535106743617,0.6580502659833206
31,0.01451899537796629,0.08599780496452447,0.16882983680556482
32,0.03460960108788658,0.07113220215003319,0.4865532071452096
33,0.022560621455329114,0.045332636013065954,0.4976684225538734
34,0.03198628365883407,0.06570339567628919,0.48682847102665555
35,0.025895853161788253,0.12416812761925261,0.20855475280247743
36,0.04374643996774702,0.08436296580220622,0.5185502850835577
37,0.03384647239919416,0.09497683316528194,0.35636556064084596
38,0.03412910362770331,0.07658166125962038,0.4456563499132799
39,0.03660645828257017,0.1259406042160129,0.2906644644922636
40,0.031112475392249792,0.12840802900751622,0.2422938474523767
41,0.038581375170466344,0.09675823942075537,0.3987399460866131
42,0.03267305822820441,0.07184529924442835,0.4547696031801754
43,0.02832902063298161,0.15530220457272226,0.18241222467343512
44,0.03608031583315456,0.08845415233184205,0.40789849748815393
45,0.027542302350276406,0.08206447614226584,0.3356178415395455
46,0.026323509685506598,0.12180910589374912,0.2161046129691798
47,0.01612322673778152,0.12911775546567833,0.12487226624646888
48,0.01745133486208935,0.06415732483761803,0.2720084558697952
49,0.01833079013803258,0.08840362534257054,0.20735337568784162
50,0.01410384790444201,0.04859382016752899,0.29023953777513756
51,0.02466108050412769,0.08502149008403787,0.2900570253410268
52,0.01622228885687459,0.09483617362618482,0.17105591923865288
53,0.016532534431154315,0.10233033001023967,0.16156045259834917
54,0.012497127564276664,0.06598968622292893,0.18938001192897022
55,0.016328472882082976,0.09874943734705484,0.16535256625849132
56,0.013521134054463656,0.04538801397498439,0.2979009846436094
57,0.01316279408565557,0.0853700465815714,0.15418515758831508
58,0.012732435474397267,0.06135456526646755,0.20752221809235885
59,0.01180800519078896,0.024933571393910673,0.47357857419491683
60,0.01743370906728444,0.03412487804867803,0.5108797470837827
61,0.017498638823111368,0.012625223560967862,1.3860062546396523
62,0.013602890592827233,0.03365582940823711,0.4041763590914153
63,0.01246670088831157,0.019530754675628592,0.6383112734107405
64,0.012486326386964612,0.031199985556779608,0.4002029540635858
65,0.015391179815448498,0.033870933854969656,0.4544067158259307
66,0.02146014830818878,0.03543111797388951,0.6056864568427636
67,0.014853507818004305,0.015967515536248766,0.9302328708153926
68,0.01321848693362128,0.025667235482201997,0.5149945712802675
69,0.01765908201944068,0.035274078743613366,0.5006248964655772
70,0.012622218781378338,0.06130901562997259,0.205878673005504
71,0.010522904809874271,0.011057140171453185,0.9516841286040795
72,0.021986050629311173,0.033809189140538334,0.6502980753921387
73,0.017963750872037127,0.053727784041248054,0.3343475111110407
74,0.01987449807063328,0.02726489191708596,0.7289410180074722
75,0.011414222520377895,0.014374430483235076,0.7940643306109594
76,0.012740633151190605,0.02019214506261443,0.6309697712180565
77,0.02019316113964376,0.03563920700426956,0.5665996198135954
78,0.015865376833086284,0.025007915618841726,0.6344142020576242
79,0.015482568135129514,0.044794918951552555,0.3456322390387374
80,0.02010989077071682,0.025947910331222446,0.775010030219817
81,0.01498273912947261,0.029345432909421227,0.5105645970604135
82,0.011799950091313722,0.059951475600917035,0.19682501511166145
83,0.013734687054436673,0.02010074197701979,0.6832925406164403
84,0.011398283512831689,0.036869150902636594,0.30915503160414304
85,0.011766685851684295,0.04012077722239109,0.2932816028505081
86,0.009996394350453996,0.04612438236799389,0.21672689881206636
87,0.011107284888322808,0.014986745936711772,0.7411405340750513
88,0.012385269322377272,0.015799897918733208,0.7838828697056801
89,0.013508179667688457,0.04496220280445931,0.30043411632065975
90,0.012843728237542628,0.03851416705783203,0.33348061813003216
91,0.013804679466559874,0.028294186163844135,0.4878980927789453
92,0.011988967820923737,0.028092119217157163,0.4267733497718728
93,0.01062175790127062,0.035326819181061266,0.3006712222385502
94,0.009856280486780913,0.009222210120616357,1.068754708123417
95,0.01036492488428508,0.04490114381465619,0.23083877165443223
96,0.012946422180168478,0.02171695438484202,0.59614354527579
97,0.01484873740426897,0.07216914152033232,0.20574912062491227
