step,loss,acc_train,gnorm_theta,gnorm_phi,align_u,align_V,gain_u,gain_V,w_norm,disp
0,0.7128623723983765,0.529815673828125,0.28852856159210205,9.818313169832573,0.004407217801708326,0.03807803677156265,0.23032516241073608,0.6770120859146118,3.4694380893925647,0.0
25,0.41628578305244446,0.8659210205078125,0.29912257194519043,2.114533230954455,0.004416010701119328,0.03855030380773737,0.23060671985149384,0.6813508868217468,3.4702192064684305,0.0019206785364076495
50,0.34188318252563477,0.886322021484375,0.3011953830718994,1.3580039388952805,0.0044424190183040635,0.039235198185865024,0.2313709557056427,0.6876018047332764,3.471355387674829,0.003981894347816706
75,0.30502891540527344,0.8946075439453125,0.296723872423172,1.0168509779170762,0.004475578011157137,0.03989952415440578,0.23230381309986115,0.693610429763794,3.4724160831162885,0.006041748449206352
100,0.2819223999977112,0.899200439453125,0.29146185517311096,0.8216548778753425,0.004512678553035653,0.04052952187128941,0.23332974314689636,0.6992599368095398,3.4733848880107185,0.008072452619671822
125,0.26554328203201294,0.9031524658203125,0.2862185537815094,0.6942547906386336,0.004552550458251152,0.04112847639758286,0.23441830277442932,0.7045882940292358,3.474274506066822,0.01006889808923006
150,0.25302958488464355,0.9070281982421875,0.2808828353881836,0.6038792793320528,0.004594554538960998,0.04170117358397589,0.23555302619934082,0.7096449732780457,3.4750973475151787,0.012029788456857204
175,0.24298593401908875,0.9099884033203125,0.2755199074745178,0.5360260408313569,0.0046382940773293906,0.04225149283562042,0.23672379553318024,0.7144696712493896,3.475864023057736,0.01395464688539505
200,0.23464295268058777,0.9124755859375,0.2699970006942749,0.48292682577999935,0.004683481543720804,0.04278245233513777,0.23792330920696259,0.7190936207771301,3.4765829364304537,0.01584220491349697
225,0.2275359332561493,0.9144287109375,0.26447588205337524,0.4400403978455278,0.004729896208076485,0.043296405013327884,0.2391459047794342,0.7235408425331116,3.477259739598246,0.01769169792532921
250,0.22136647999286652,0.916290283203125,0.25881126523017883,0.40454514511786493,0.004777352528732152,0.04379523942093541,0.24038685858249664,0.7278309464454651,3.477899804241037,0.019502850249409676
275,0.21593451499938965,0.9179840087890625,0.25317177176475525,0.3745834886559544,0.004825706237067774,0.044280349337681664,0.24164250493049622,0.7319786548614502,3.478506988908777,0.021274704486131668
300,0.21109437942504883,0.919525146484375,0.24764373898506165,0.3488767572844996,0.004874852727041945,0.04475299054663909,0.24291017651557922,0.7359969019889832,3.479084463157258,0.023007716983556747
325,0.20674288272857666,0.9207000732421875,0.24205760657787323,0.3265397751678525,0.004924687276258446,0.04521416571032946,0.24418726563453674,0.7398964166641235,3.4796348454740067,0.024702122434973717
350,0.20280244946479797,0.9219512939453125,0.2366293966770172,0.30690268161233164,0.004975134147295959,0.04566460392511846,0.24547183513641357,0.7436851859092712,3.4801604779829693,0.02635791152715683
375,0.19921013712882996,0.92303466796875,0.23119162023067474,0.28948807459698883,0.005026131889391882,0.046105040919380114,0.24676238000392914,0.7473709583282471,3.480663289842305,0.027975762262940407
400,0.19591975212097168,0.9243621826171875,0.22597840428352356,0.273922734904605,0.005077632039684798,0.046535975119917854,0.24805770814418793,0.7509595155715942,3.481144934666229,0.029556158930063248
425,0.19288796186447144,0.9252777099609375,0.22085531055927277,0.2599065237798426,0.00512957128149565,0.046958054487008516,0.24935626983642578,0.7544575333595276,3.4816070647469535,0.031100038439035416
450,0.19008871912956238,0.926422119140625,0.21587786078453064,0.24723504933020451,0.005181903193820246,0.04737173742292337,0.25065696239471436,0.757870078086853,3.482050783386287,0.03260839730501175
475,0.18749025464057922,0.9271697998046875,0.21104194223880768,0.23569119766893362,0.0052345921531578915,0.047777400476017515,0.2519588768482208,0.7612013220787048,3.48247705609499,0.03408195450901985
500,0.18507403135299683,0.9279327392578125,0.206361323595047,0.22514214836700872,0.005287614544274992,0.04817536663837996,0.2532615661621094,0.7644549608230591,3.4828871214562303,0.035521700978279114
525,0.18281841278076172,0.9286041259765625,0.20178383588790894,0.21547809965326745,0.005340943491829289,0.048565959748284905,0.2545643746852875,0.7676347494125366,3.4832819434456033,0.036928609013557434
550,0.18070825934410095,0.929443359375,0.19747082889080048,0.20657190141866888,0.005394555347935187,0.04894952451849118,0.25586676597595215,0.7707442045211792,3.4836622116366502,0.03830379992723465
575,0.1787278801202774,0.9300689697265625,0.19337089359760284,0.19834918590829845,0.0054484456294084565,0.04932633668481707,0.25716865062713623,0.7737865447998047,3.4840287519772986,0.03964878246188164
600,0.17686612904071808,0.9307708740234375,0.1893736869096756,0.19073956937063807,0.005502604859301288,0.04969669034909217,0.25846990942955017,0.7767648100852966,3.484382389898974,0.04096461459994316
625,0.1751108467578888,0.93145751953125,0.1855597048997879,0.1836720039100197,0.005557019442995037,0.050060778256981055,0.2597701847553253,0.7796813249588013,3.484723676675556,0.042252350598573685
650,0.17345383763313293,0.9320068359375,0.18189847469329834,0.17709800209784834,0.005611673899029334,0.050418831533389136,0.2610691785812378,0.782538652420044,3.4850531632296673,0.043513089418411255
675,0.17188358306884766,0.9327545166015625,0.1783396154642105,0.17095890739393022,0.0056665760055067136,0.050771090240420994,0.2623671293258667,0.7853392362594604,3.4853714001519367,0.04474790021777153
700,0.1703963577747345,0.9332122802734375,0.17497897148132324,0.16523874100814814,0.005721712626079716,0.051117759251575766,0.26366373896598816,0.788085401058197,3.4856789377193578,0.04595758020877838
725,0.16898353397846222,0.933685302734375,0.17173847556114197,0.1598776512791709,0.005777070119991408,0.051458989561484404,0.2649587392807007,0.7907789349555969,3.4859764627000187,0.047143224626779556
750,0.16764123737812042,0.934326171875,0.1686994731426239,0.1548548456639278,0.0058326557662471135,0.051794963141945975,0.2662523686885834,0.7934216856956482,3.4862642512093447,0.04830579832196236
775,0.1663590669631958,0.934783935546875,0.165692538022995,0.1501491426047978,0.005888469456793835,0.05212592029415521,0.26754459738731384,0.7960160970687866,3.486542579188463,0.04944644495844841
