arm,param,train_cond,width,mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star
sp,sp,iid,2048,1,0,init,0,0.7128623723983765,0.529815673828125,0.28852856159210205,9.818313169832573,0.64715576171875,0.6907110214233398,0.004407217801708326,0.03807803677156265,0.23032516241073608,0.6770120859146118,3.4694380893925647,0.0,0.53173828125,0.46722412109375,0.494384765625,0.48876953125,0.537109375,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.6,5,0.5850052237510681,0.7377471923828125,0.2627405822277069,4.013291955489208,0.64727783203125,1.16481614112854,0.004406087388212102,0.03810252248988939,0.23029731214046478,0.6772346496582031,3.469463378132438,0.000376276730094105,0.73992919921875,0.26739501953125,0.50445556640625,0.50238037109375,0.732421875,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.5,13,0.49239006638526917,0.8302764892578125,0.2819710075855255,3.012117978279536,0.64703369140625,1.9201157093048096,0.004408014762504504,0.03824852632011718,0.2303638905286789,0.6785787343978882,3.469707597401026,0.0009705397533252835,0.8336181640625,0.17877197265625,0.5064697265625,0.516845703125,0.8232421875,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.4,29,0.39936158061027527,0.8715972900390625,0.30053162574768066,1.9788902754758086,0.64776611328125,3.407944679260254,0.004419544837949556,0.03865861783163807,0.23071111738681793,0.6823432445526123,3.4704016799838273,0.002246936783194542,0.87255859375,0.13983154296875,0.5078125,0.52618408203125,0.8648681640625,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.3,80,0.2996348738670349,0.8957366943359375,0.29589661955833435,0.9788408750144255,0.649169921875,8.082472562789917,0.004482732841828887,0.04002822295242727,0.23250286281108856,0.6947683691978455,3.4726169785637993,0.006450509186834097,0.8980712890625,0.11859130859375,0.50885009765625,0.5345458984375,0.889892578125,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.2,370,0.19990351796150208,0.92279052734375,0.23244917392730713,0.29348159361104076,0.65777587890625,34.61863732337952,0.00501589097736829,0.046017723184722484,0.24650387465953827,0.7466417551040649,3.480564651281175,0.027655234560370445,0.923828125,0.0946044921875,0.50830078125,0.5494384765625,0.91595458984375,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.15,1235,0.14997416734695435,0.9409027099609375,0.12830492854118347,0.09859111180206366,0.68438720703125,113.75539350509644,0.006963477466198202,0.05747470168529141,0.2912658452987671,0.8367868661880493,3.4904103376180817,0.06733734905719757,0.94122314453125,0.08258056640625,0.50897216796875,0.5648193359375,0.92901611328125,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,0.1,4057,0.09999203681945801,0.9613800048828125,0.10225502401590347,0.07693146239696383,0.786376953125,371.8616895675659,0.019292475226964634,0.07642575225175828,0.48638051748275757,0.9680594801902771,3.501726269754124,0.14033688604831696,0.957763671875,0.1092529296875,0.53533935546875,0.70166015625,0.9296875,stopped,0.001,1.70233154296875,True
sp,sp,iid,2048,1,0,final,4057,0.09999203681945801,0.9613800048828125,0.10225502401590347,0.07693146239696383,0.786376953125,371.8869640827179,0.019292475226964634,0.07642575225175828,0.48638051748275757,0.9680594801902771,3.501726269754124,0.14033688604831696,0.957763671875,0.1092529296875,0.53533935546875,0.70166015625,0.9296875,stopped,0.001,1.70233154296875,True
