epoch,train_loss,test_loss,test_acc
0,0.6715529635548592,0.6877425909042358,0.57708740234375
1,0.6209183782339096,0.6862353086471558,0.552581787109375
2,0.5619993433356285,0.6870250105857849,0.543365478515625
3,0.5178338959813118,0.690435528755188,0.543792724609375
4,0.4964598510414362,0.693222165107727,0.546661376953125
5,0.48888696543872356,0.6928497552871704,0.5504150390625
6,0.48636867478489876,0.6910119652748108,0.5545654296875
7,0.48509347066283226,0.6877055168151855,0.55950927734375
8,0.4841330051422119,0.6849837303161621,0.564239501953125
9,0.4833825249224901,0.6816916465759277,0.569061279296875
10,0.4826425202190876,0.6797035932540894,0.572845458984375
11,0.4820470605045557,0.6773824691772461,0.576812744140625
12,0.48154625855386257,0.6756489276885986,0.58062744140625
13,0.48110415041446686,0.6734756231307983,0.582763671875
14,0.4806496314704418,0.6718665957450867,0.585296630859375
15,0.4802578426897526,0.6701078414916992,0.587799072265625
16,0.47991693019866943,0.6681654453277588,0.590118408203125
17,0.4796121437102556,0.6668087244033813,0.59246826171875
18,0.47931751795113087,0.6649333238601685,0.5960693359375
19,0.4790285564959049,0.6641169786453247,0.596771240234375
20,0.47880672104656696,0.6629282236099243,0.599090576171875
21,0.47858155332505703,0.6610704660415649,0.60186767578125
22,0.4783669784665108,0.6603217124938965,0.602996826171875
23,0.47812655195593834,0.6602469086647034,0.603302001953125
24,0.47790023870766163,0.6582654714584351,0.605865478515625
25,0.4777299128472805,0.6574219465255737,0.607879638671875
26,0.4775485619902611,0.6564512252807617,0.60906982421875
27,0.47740581445395947,0.6554851531982422,0.610595703125
28,0.4772231690585613,0.6546579003334045,0.612548828125
29,0.4770727828145027,0.6543763875961304,0.612945556640625
30,0.47693836130201817,0.6529732346534729,0.615203857421875
31,0.4767991490662098,0.6526820659637451,0.6148681640625
32,0.47665801271796227,0.6512136459350586,0.61724853515625
33,0.47656350024044514,0.6511476039886475,0.617431640625
34,0.47645241394639015,0.6505176424980164,0.61846923828125
35,0.4762895982712507,0.6497147083282471,0.6197509765625
36,0.47618754394352436,0.6491913795471191,0.61956787109375
37,0.47602800838649273,0.6489959955215454,0.620330810546875
38,0.4759425073862076,0.6486928462982178,0.620269775390625
39,0.4758374039083719,0.6485738754272461,0.62078857421875
40,0.47571890987455845,0.6485344171524048,0.621124267578125
41,0.4756258800625801,0.6473703384399414,0.62286376953125
42,0.4755225758999586,0.6471936702728271,0.62274169921875
43,0.4754234757274389,0.6470339298248291,0.623138427734375
44,0.4753051735460758,0.6468530893325806,0.62371826171875
45,0.47522114776074886,0.6471265554428101,0.6231689453125
46,0.47513058967888355,0.6465582251548767,0.623382568359375
47,0.4750598594546318,0.6464162468910217,0.6234130859375
48,0.474957138299942,0.6455209255218506,0.624908447265625
49,0.4748333003371954,0.6460139751434326,0.624664306640625
50,0.47474632412195206,0.6454305648803711,0.624542236328125
51,0.4746406152844429,0.6459159851074219,0.624725341796875
52,0.4745796639472246,0.6463632583618164,0.624114990234375
53,0.47450537979602814,0.6458839178085327,0.624359130859375
54,0.47446970641613007,0.6460183262825012,0.624847412109375
55,0.47434039041399956,0.6462266445159912,0.624420166015625
56,0.4742563031613827,0.6454254984855652,0.62518310546875
57,0.4741434082388878,0.645220160484314,0.625335693359375
58,0.4740698281675577,0.6458933353424072,0.624114990234375
59,0.47397706657648087,0.6460480690002441,0.62469482421875
60,0.4739667419344187,0.6462184190750122,0.6234130859375
61,0.4738442972302437,0.6458443403244019,0.624176025390625
62,0.47377342358231544,0.6461829543113708,0.6231689453125
63,0.47371181286871433,0.6456562280654907,0.624114990234375
64,0.47361269779503345,0.6461372971534729,0.62371826171875
65,0.4735845010727644,0.6456969380378723,0.623504638671875
66,0.4734894149005413,0.6459814310073853,0.6234130859375
67,0.4733840748667717,0.6451146602630615,0.624603271484375
68,0.47333237156271935,0.6458981037139893,0.623504638671875
69,0.47329351492226124,0.6459477543830872,0.62310791015625
70,0.4732088427990675,0.6459636688232422,0.622955322265625
71,0.47313622012734413,0.6456694006919861,0.62359619140625
72,0.473066970705986,0.6449733972549438,0.624755859375
73,0.4729926511645317,0.6452281475067139,0.624114990234375
74,0.47292130813002586,0.6457752585411072,0.623138427734375
75,0.4728788062930107,0.6457620859146118,0.623565673828125
76,0.4727643337100744,0.645424485206604,0.624664306640625
77,0.4726915620267391,0.6452503204345703,0.624755859375
78,0.4726611413061619,0.6451216340065002,0.624725341796875
79,0.4726675506681204,0.6458406448364258,0.624298095703125
80,0.47253694385290146,0.6455087661743164,0.6241455078125
81,0.4724405575543642,0.6451511383056641,0.624359130859375
82,0.4723878316581249,0.6460509896278381,0.623291015625
83,0.4723447114229202,0.6457830667495728,0.6239013671875
84,0.47225530445575714,0.6453030705451965,0.624847412109375
85,0.4721994027495384,0.6452152729034424,0.624786376953125
86,0.4721486661583185,0.6453931331634521,0.62481689453125
87,0.4721207246184349,0.6455111503601074,0.6251220703125
88,0.4720573127269745,0.6457357406616211,0.624298095703125
89,0.4719599671661854,0.6458218693733215,0.623870849609375
90,0.4719118606299162,0.644949734210968,0.626129150390625
91,0.47186899185180664,0.6453800201416016,0.6241455078125
92,0.47182333655655384,0.645660400390625,0.62432861328125
93,0.47175539657473564,0.6456655859947205,0.6246337890625
94,0.47168765775859356,0.6459282040596008,0.62396240234375
95,0.4716256931424141,0.645856499671936,0.623687744140625
96,0.47154430113732815,0.645652174949646,0.623931884765625
97,0.47151001915335655,0.6465400457382202,0.622589111328125
98,0.47147979587316513,0.6468237638473511,0.6212158203125
99,0.47139867953956127,0.6466233134269714,0.622650146484375
100,0.4714218508452177,0.6458225250244141,0.623779296875
101,0.4713130481541157,0.6463489532470703,0.62255859375
102,0.47125467471778393,0.6467854380607605,0.622039794921875
103,0.47119563072919846,0.6472982168197632,0.6209716796875
104,0.4711373373866081,0.6469465494155884,0.621673583984375
105,0.47110571153461933,0.6468985676765442,0.622222900390625
106,0.47105433605611324,0.6468050479888916,0.621856689453125
107,0.4710039831697941,0.6477272510528564,0.621368408203125
108,0.4709386732429266,0.6476548910140991,0.6209716796875
109,0.4708825424313545,0.6484496593475342,0.6202392578125
110,0.4708791207522154,0.6481552720069885,0.62066650390625
111,0.4708245322108269,0.6479286551475525,0.62109375
112,0.4707638192921877,0.6486038565635681,0.619476318359375
113,0.4707918241620064,0.6483571529388428,0.619842529296875
114,0.4707109313458204,0.6483954787254333,0.61962890625
115,0.470651775598526,0.6482152938842773,0.6207275390625
116,0.47064428217709064,0.6497317552566528,0.618255615234375
117,0.47052076272666454,0.6484602689743042,0.6201171875
118,0.47051481157541275,0.6489104628562927,0.619476318359375
119,0.47047342360019684,0.648930549621582,0.619720458984375
120,0.470447838306427,0.6487606167793274,0.620361328125
121,0.47035354748368263,0.6490592956542969,0.6190185546875
122,0.4703098516911268,0.6496754884719849,0.61859130859375
123,0.47026445530354977,0.648247480392456,0.621002197265625
124,0.4702908843755722,0.6502734422683716,0.61846923828125
125,0.47023296914994717,0.6494778990745544,0.6195068359375
126,0.47019430808722973,0.6497800946235657,0.6187744140625
