D,C_f,C_g,ratio,lambda_theta,lambda_phi,kappa
16,1024,306,0.298828125,0.00794164277613163,0.5804480910301208,73.08917152187206
32,1024,610,0.595703125,0.03213997557759285,0.7407459616661072,23.04749609649784
64,1024,1218,1.189453125,0.015711113810539246,0.8469181060791016,53.905669342868386
128,1024,2434,2.376953125,0.016891056671738625,1.3313285112380981,78.81854505086226
256,1024,4866,4.751953125,0.022441215813159943,1.8139897584915161,80.83295368639337
512,1024,9730,9.501953125,0.006800204515457153,3.153679847717285,463.7625001643461
