experiment,loss,arm,M,q,C,N,s_w,s_b,s_v,rho,n_draws,metric,value
cex3_4,ce,no_bn,1024,4,4,64,1.0,0.5,1.0,,20,mean_p_min,0.15190826877576227
cex3_4,ce,no_bn,1024,4,4,64,1.0,0.5,1.0,,20,lam_max_Sh_p,155.55406722638068
cex3_4,ce,no_bn,1024,4,4,64,1.0,0.5,1.0,,20,mean_frob_JV,15.809699392504296
cex3_4,ce,no_bn,1024,4,4,64,1.0,0.5,1.0,,20,frac_draws_lam_exactly_zero,0.15
cex3_4,ce,bn_train_over_bn_eval,1024,4,4,64,,,,,20,rel_mean_lam_GWW,2.0655338704176019e-26
cex3_4,ce,bn_train_over_bn_eval,1024,4,4,64,,,,,20,rel_max_abs_JW,3.1363590220478254e-13
cex3_4,ce,bn_train_over_no_bn,1024,4,4,64,,,,,20,rel_mean_lam_GWW,3.0874968217138226e-26
cex3_4,ce,bn_train_over_no_bn,1024,4,4,64,,,,,20,rel_max_abs_JW,4.078158872443106e-13
cex3_4,ce,bn_eval,,4,4,64,,,,,20,loglog_slope_mean_lam_vs_M,1.0304091337006172
cex3_4,ce,no_bn,,4,4,64,,,,,20,loglog_slope_mean_lam_vs_M,0.9737638924564732
cex3_4,ce,bn_train,,4,4,64,,,,,,loglog_slope_lam_Sh_vs_M,0.9999999999999997
