arch,M,init_mode,C_f,C_g,lambda_theta_ggn_mean,lambda_theta_ggn_std,lambda_phi_ggn_mean,lambda_phi_ggn_std,D_curv_mean,D_curv_std,n_seeds
deep_mlp,16,default_fixedbias,1024,850,0.000554819275575953,0.0004211411656624559,1.6686095788997868,0.9381195741392988,5551.841439373049,6795.3206136561885,5
deep_mlp,32,default_fixedbias,1024,2722,0.0009922262851609735,0.0005209658972752344,2.9563594428800495,0.9774975123370898,3794.0665904302355,2690.7392762308136,5
deep_mlp,64,default_fixedbias,1024,9538,0.0005120470987034903,0.0003755147158526033,5.431751853796099,1.6186812450584476,18440.305010873144,16049.46956665932,5
deep_mlp,128,default_fixedbias,1024,35458,0.0006594892216742872,0.00022841076258146774,9.725733103378252,0.5892379747528507,16314.632551268904,6108.322313703916,5
deep_mlp,256,default_fixedbias,1024,136450,0.0005193034604790766,0.0002351703232274808,20.6092454703983,0.7903748146761252,46741.539887929495,20307.342957375153,5
deep_mlp,512,default_fixedbias,1024,535042,0.0005496208315457958,0.0001811908329170871,40.64564682438318,1.766280646693948,80351.51011301803,24685.452888203537,5
deep_mlp,1024,default_fixedbias,1024,2118658,0.0006292349763790288,0.00010959477469986704,73.75500136808981,17.910435167823106,117073.27564694974,22906.723007168737,5
deep_mlp,16,he_scaledbias,1024,850,0.3100361539768146,0.24108397186008157,1.4957281394134045,0.6629566272711147,5.729550314216736,1.9154067890673823,5
deep_mlp,32,he_scaledbias,1024,2722,0.5378688343038565,0.40835829165622245,1.9641264077474208,0.8237527445986805,5.385777114135484,3.9356514223550185,5
deep_mlp,64,he_scaledbias,1024,9538,0.474977825532026,0.11938484519366174,3.5150988686219535,0.8023133970278108,7.629299251006392,2.074424405639664,5
deep_mlp,128,he_scaledbias,1024,35458,0.3862324698625987,0.12419078804332141,5.169957455672914,1.514727935868801,13.71647921340518,2.6545493955506103,5
deep_mlp,256,he_scaledbias,1024,136450,0.4310124353534664,0.13665182696552675,7.675757853084083,1.5927082146599518,18.276350231934597,2.7857723248161426,5
deep_mlp,512,he_scaledbias,1024,535042,0.6463788038829507,0.19115072701768895,14.457473737808701,1.7364637555892455,23.58722244735471,5.423254478529104,5
deep_mlp,1024,he_scaledbias,1024,2118658,0.34328132112601184,0.08492525124937506,27.57893911002642,4.683804491595683,84.53162089468745,27.869075120829155,5
deep_mlp,16,he_zerobias,1024,850,0.3355665106461643,0.07155524908722735,1.4516560923598731,0.330340070719807,4.5582138658500915,1.7078160962244224,5
deep_mlp,32,he_zerobias,1024,2722,0.4315147242033344,0.2271558364437086,1.5172294353538083,0.31127542401449415,3.9240881173524955,1.0976554146367812,5
deep_mlp,64,he_zerobias,1024,9538,0.7914248923669229,0.25655963498659523,2.8474124193746495,0.7472625835400789,3.8139222219528235,1.198935425122874,5
deep_mlp,128,he_zerobias,1024,35458,0.41509330528437893,0.17217265029947926,3.2431119464852642,0.902234711373899,8.988375598149787,4.366044310186753,5
deep_mlp,256,he_zerobias,1024,136450,0.3823270860544542,0.1342308940438538,5.661524195698905,1.199302894933074,16.267227234950326,5.921686060101549,5
deep_mlp,512,he_zerobias,1024,535042,0.3274723915396231,0.04125572449719845,9.139963695556414,2.01148080118798,28.29957706159263,6.85790692580687,5
deep_mlp,1024,he_zerobias,1024,2118658,0.3722253820189877,0.038406231705569165,17.584355857986935,4.4588699517859425,46.70926669471993,7.7997762235739625,5
