regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star,probe_val_gain,probe_test_gain
ready,ctxfree,128,1.0,0,init,0,0.7857098579406738,0.4837916493415832,0.985946774482727,0.9865400439499792,0.0,0.015129804611206,0.9396296296296296,0.9376666666666666,0.4570370316505432,0.5129629373550415,0.4866666793823242,0.4709259271621704,0.460833340883255,0.512333333492279,0.4873333275318146,0.4663333296775818,stopped,0.001,1.57379150390625,True,0.0,0.0
ready,ctxfree,128,1.0,0,0.6,475,0.599958598613739,0.7483749985694885,0.4695095419883728,0.4605473302016077,0.0551736168563365,5.81139874458313,0.9685185185185184,0.959,0.7561110854148865,0.786481499671936,0.7705555558204651,0.821481466293335,0.7584999799728394,0.7886666655540466,0.7741666436195374,0.8188333511352539,stopped,0.001,1.57379150390625,True,0.028888888888888853,0.021333333333333315
ready,ctxfree,128,1.0,0,0.5,661,0.4997832775115967,0.8739166855812073,0.5505905747413635,0.566479092605625,0.0801745876669883,8.121333360671997,0.9707407407407408,0.961,0.8987036943435669,0.9161111116409302,0.9077777862548828,0.9351851940155028,0.8928333520889282,0.9086666703224182,0.9023333191871644,0.9273332953453064,stopped,0.001,1.57379150390625,True,0.0311111111111112,0.023333333333333317
ready,ctxfree,128,1.0,0,0.4,818,0.399755984544754,0.9199166297912598,0.5415973663330078,0.5710114086336103,0.1032920852303505,10.069546699523926,0.97,0.9618333333333332,0.9461110830307008,0.9548147916793824,0.949814796447754,0.9653703570365906,0.9403333067893982,0.9476666450500488,0.9453333020210266,0.953499972820282,stopped,0.001,1.57379150390625,True,0.03037037037037038,0.02416666666666656
ready,ctxfree,128,1.0,0,0.3,1001,0.2999040782451629,0.9398750066757202,0.4600979685783386,0.4972865245910145,0.128211110830307,12.336656332015991,0.97,0.9631666666666666,0.9640740752220154,0.9668518304824828,0.965925931930542,0.97259259223938,0.9548333287239076,0.9586666822433472,0.9570000171661376,0.9638333320617676,stopped,0.001,1.57379150390625,True,0.03037037037037038,0.025499999999999967
ready,ctxfree,128,1.0,0,0.2,1305,0.1999109089374542,0.9545833468437196,0.3167711794376373,0.3503036039269291,0.1598990857601165,16.073471307754517,0.9701851851851852,0.964,0.9744444489479064,0.9751851558685304,0.9742592573165894,0.9766666889190674,0.9663333296775818,0.9703333377838136,0.9695000052452089,0.9701666831970216,stopped,0.001,1.57379150390625,True,0.030555555555555558,0.02633333333333332
ready,ctxfree,128,1.0,0,0.15,1620,0.1499473750591278,0.9615833163261414,0.2208034694194793,0.2481572751856213,0.1823668330907821,19.94241833686829,0.9703703703703704,0.9648333333333332,0.978518545627594,0.979629635810852,0.9788888692855836,0.9790740609169006,0.9731666445732116,0.9764999747276306,0.975666642189026,0.9738333225250244,stopped,0.001,1.57379150390625,True,0.030740740740740846,0.02716666666666656
ready,ctxfree,128,1.0,0,0.1,2519,0.0999823287129402,0.9697499871253968,0.1070793196558952,0.1233481901422725,0.2186843156814575,30.87945294380188,0.97,0.9661666666666666,0.982777774333954,0.985370397567749,0.982962965965271,0.9814814925193788,0.9774999618530272,0.9803333282470704,0.9785000085830688,0.9760000109672546,stopped,0.001,1.57379150390625,True,0.03037037037037038,0.02849999999999997
ready,ctxfree,128,1.0,0,final,2519,0.0999823287129402,0.9697499871253968,0.1070793196558952,0.1233481901422725,0.2186843156814575,30.9228253364563,0.97,0.9661666666666666,0.982777774333954,0.985370397567749,0.982962965965271,0.9814814925193788,0.9774999618530272,0.9803333282470704,0.9785000085830688,0.9760000109672546,stopped,0.001,1.57379150390625,True,0.03037037037037038,0.02849999999999997
ready,ctxfree,128,1.0,1,init,0,0.6910097599029541,0.5354583263397217,0.3440254330635071,0.4623093686462627,0.0,0.0151164531707763,0.9596296296296296,0.952,0.5274074077606201,0.5285184979438782,0.5279629826545715,0.5716666579246521,0.5411666631698608,0.5245000123977661,0.531499981880188,0.5690000057220459,stopped,0.001,1.57379150390625,True,0.0,0.0
ready,ctxfree,128,1.0,1,0.6,284,0.5996047258377075,0.7664999961853027,0.4302988350391388,0.4814428512945247,0.0291918627917766,3.516028642654419,0.9622222222222222,0.954,0.7379629611968994,0.8038889169692993,0.7611110806465149,0.8222222328186035,0.7493333220481873,0.7918333411216736,0.7706666588783264,0.8238333463668823,stopped,0.001,1.57379150390625,True,0.002592592592592591,0.0020000000000000018
ready,ctxfree,128,1.0,1,0.5,480,0.4996714890003204,0.871958315372467,0.5090084671974182,0.5711058973228545,0.0552469454705715,5.944540977478027,0.9637037037037036,0.9553333333333331,0.8742592334747314,0.8968518376350403,0.8816666603088379,0.9196296334266664,0.8823333382606506,0.8916666507720947,0.8866666555404663,0.921833336353302,stopped,0.001,1.57379150390625,True,0.004074074074074008,0.0033333333333331883
ready,ctxfree,128,1.0,1,0.4,648,0.3994632959365845,0.9135833382606506,0.4996715784072876,0.5750872769802019,0.0793012827634811,8.031046390533447,0.963148148148148,0.9563333333333331,0.9257407188415528,0.9366666674613952,0.9301851987838744,0.9535185098648072,0.9264999628067015,0.9351666569709778,0.931333303451538,0.9539999961853028,stopped,0.001,1.57379150390625,True,0.0035185185185183654,0.004333333333333189
ready,ctxfree,128,1.0,1,0.3,842,0.2999352514743805,0.9359166622161864,0.4260688126087188,0.5025223486284484,0.1046978160738945,10.434000015258787,0.9635185185185184,0.9576666666666668,0.9566666483879088,0.960185170173645,0.9579629898071288,0.9692592620849608,0.9496666789054872,0.956333339214325,0.9526666402816772,0.9674999713897704,stopped,0.001,1.57379150390625,True,0.0038888888888888307,0.00566666666666682
