dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs,lam_max_sigma,trace_sigma,eff_rank_sigma
breast,0,train,48,0,0,29664,211.16180419921875,365.74322509765625,0.5773498720115374,60480,1877284,31.039748677248678,64,336,3.41225984,7.2681756019592285,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,48,0,1,14206,194.49693298339844,416.43707275390625,0.46704999556640464,60480,1877284,31.039748677248678,64,336,3.410081792,5.6527276039123535,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,48,0,2,12684,172.27371215820312,341.1171875,0.5050279448560566,60480,1877284,31.039748677248678,64,336,3.410081792,6.31039023399353,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,48,0,3,10185,185.98837280273438,338.18609619140625,0.5499586615100488,60480,1877284,31.039748677248678,64,336,3.410323968,8.397821187973022,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,48,1,0,29664,170.1449737548828,352.6501159667969,0.4824753092407958,60480,1877284,31.039748677248678,64,336,3.413288448,7.669875621795654,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,48,1,1,14206,154.76156616210938,371.489013671875,0.4165979624334344,60480,1877284,31.039748677248678,64,336,3.411757568,7.513411045074463,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,48,1,2,12684,136.81027221679688,288.08880615234375,0.474889233094501,60480,1877284,31.039748677248678,64,336,3.411757568,8.10399055480957,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,48,1,3,10185,165.6107635498047,458.9364318847656,0.3608577398609921,60480,1877284,31.039748677248678,64,336,3.411757568,7.627723217010498,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,48,2,0,29664,177.63165283203125,193.61534118652344,0.9174461679712974,60480,1877284,31.039748677248678,64,336,3.413288448,8.550613164901733,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,48,2,1,14206,188.7501220703125,245.3667449951172,0.7692571463751888,60480,1877284,31.039748677248678,64,336,3.411757568,6.273184299468994,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,48,2,2,12684,162.4468536376953,277.0446472167969,0.5863562255024373,60480,1877284,31.039748677248678,64,336,3.411757568,7.82166314125061,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,48,2,3,10185,251.32659912109375,310.1129455566406,0.8104356903578221,60480,1877284,31.039748677248678,64,336,3.411757568,4.871598720550537,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,192,0,0,29664,262.9405517578125,288.2301940917969,0.9122588720669216,60480,18271540,302.1087962962963,64,336,3.914679808,9.033993482589722,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,192,0,1,14206,203.68618774414062,205.10301208496094,0.9930921329413075,60480,18271540,302.1087962962963,64,336,3.91556864,14.00323748588562,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,192,0,2,12684,187.6509246826172,231.81109619140625,0.8094993197723114,60480,18271540,302.1087962962963,64,336,3.91556864,16.06499481201172,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,192,0,3,10185,233.9016571044922,253.27389526367188,0.9235126930905685,60480,18271540,302.1087962962963,64,336,3.91556864,14.746288776397705,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,192,1,0,29664,224.70355224609375,226.59857177734375,0.9916371073463249,60480,18271540,302.1087962962963,64,336,3.914679808,7.606220960617065,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,192,1,1,14206,170.7847137451172,228.94090270996094,0.7459772881278438,60480,18271540,302.1087962962963,64,336,3.91556864,8.649073362350464,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,192,1,2,12684,181.3715057373047,187.8989715576172,0.965260768772697,60480,18271540,302.1087962962963,64,336,3.91556864,15.938782930374146,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,192,1,3,10185,216.76792907714844,226.59390258789062,0.9566361963030717,60480,18271540,302.1087962962963,64,336,3.91556864,15.0927414894104,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,192,2,0,29664,207.29490661621094,135.42840576171875,1.5306604655816345,60480,18271540,302.1087962962963,64,336,3.914679808,6.994466543197632,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,192,2,1,14206,200.81607055664062,117.73175811767578,1.7057085850694595,60480,18271540,302.1087962962963,64,336,3.914435072,6.219313383102417,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,192,2,2,12684,172.70248413085938,109.11011505126953,1.5828274404229943,60480,18271540,302.1087962962963,64,336,3.91556864,10.050392866134644,0.9081988561967042,0.9893836379051208,1.0893909755055153
breast,0,train,192,2,3,10185,245.85316467285156,119.2691879272461,2.061330079842762,60480,18271540,302.1087962962963,64,336,3.914435072,11.04996371269226,0.935536531841535,0.9945513010025024,1.0630812022324785
breast,0,train,384,0,0,29664,281.3992919921875,212.40570068359375,1.324819866352687,60480,65935348,1090.2008597883598,64,336,5.259693056,16.176124334335327,0.9529337934481692,0.9961643218994141,1.0453657208386073
breast,0,train,384,0,1,14206,218.30381774902344,182.605712890625,1.1954928150565611,60480,65935348,1090.2008597883598,64,336,5.261492736,10.281638145446777,0.9260186745620438,0.9917402267456055,1.0709721671808017
breast,0,train,384,0,2,12684,195.67062377929688,187.38623046875,1.0442102564837519,60480,65935348,1090.2008597883598,64,336,5.261492736,10.611422538757324,0.9081988561967042,0.9893836379051208,1.0893909755055153
