step,grad_theta_norm,grad_phi_norm,egr
0,0.09665781794872519,0.38386288265385404,0.251802980481533
1,0.098978964846681,0.39377071205748476,0.25136192666350504
2,0.09962032295350369,0.390265085887254,0.255263221219918
3,0.09776111694326298,0.38086450738383093,0.2566821403614902
4,0.09860545430483465,0.3728647995417998,0.26445364224711726
5,0.10139504713178614,0.37297549297374294,0.27185444899633765
6,0.10274856599911576,0.36206643016334744,0.28378374088002756
7,0.10816701896018778,0.3623632439298379,0.29850438964729265
8,0.11061133975210342,0.3524222616363955,0.31386025172811177
9,0.11348606371867241,0.3386999634556006,0.33506370228237115
10,0.11561333446035531,0.3241483535808326,0.35666796756124275
11,0.11922454223710911,0.31092832684838617,0.3834470260243016
12,0.12551187226716246,0.30703011677864084,0.40879335741921313
13,0.13367354146162758,0.30496532148568034,0.4383237438603848
14,0.1391932665602859,0.3044403641193192,0.457210288006602
15,0.13736421941390453,0.27993319320160825,0.49070357767284833
16,0.13912931401640977,0.26895813325955553,0.5172898559703605
17,0.14280691471905962,0.2623588563151539,0.5443190168010608
18,0.14177167474112556,0.2517463964159124,0.56315274720493
19,0.1462666546577828,0.24981110374110305,0.5855090204828677
20,0.1505405619890719,0.2464207518081169,0.6109086222806593
21,0.14836897021015005,0.2350617982976244,0.6311913347215224
22,0.1385630798701953,0.21377562740439573,0.648170614919678
23,0.1361718957696353,0.20692343537907693,0.65807865367939
24,0.13348388671875,0.19693957396260015,0.6777910809506549
25,0.13648573227869676,0.19511068362989314,0.6995297732485936
26,0.1130783631945699,0.16187032165655948,0.6985737844753893
27,0.1195403335585487,0.16688232548465656,0.7163151233101861
28,0.1140856056456718,0.15734299167970722,0.7250758640536293
29,0.11443327204276064,0.15496833534420207,0.738430026933264
30,0.0979643348903621,0.1335000847971346,0.7338147765111454
31,0.0957287442696474,0.12908038813870906,0.7416211374111783
32,0.07514992495983246,0.10068469516679204,0.7463887618132463
33,0.08091066387810857,0.10918477157718953,0.741043487187833
34,0.06944837654260087,0.09069621111442668,0.7657252236724172
35,0.06851201386651605,0.09390994952147631,0.7295501085336911
36,0.05562644867202699,0.07446395002895434,0.7470252202528921
37,0.05024102222637712,0.06587460662353412,0.7626766185145691
38,0.048808661396335405,0.06258316023878835,0.779900874441691
39,0.04285673963470244,0.058319609802915874,0.7348598486649138
40,0.04294630840948267,0.06012205358640713,0.7143187207843146
41,0.03274634431783851,0.04065797161904735,0.8054101818914196
42,0.03143556270438984,0.04124577628728386,0.7621522864468263
43,0.028138083115383287,0.0509905730557088,0.5518291211218537
44,0.017341033919139603,0.020781348457841384,0.834451814014114
45,0.019583533759795085,0.023937552699369227,0.8181092697706319
46,0.015440913968371769,0.025738266210176042,0.5999205168554451
47,0.01948035582962338,0.033732808522693,0.577489888395771
48,0.013758092679390873,0.017816228764763138,0.7722224978290214
49,0.0060765235817712634,0.0064348311098687124,0.9443174928876917
50,0.007908648090316939,0.01828633891190523,0.43248941890361464
51,0.007243842430854181,0.010311141643211693,0.7025257416496276
52,0.0052945641292043225,0.012760190079891263,0.41492831185430995
53,0.007841807765644344,0.02058994969892848,0.3808560914391929
54,0.005719507290058262,0.008571543027872707,0.667266940245468
55,0.011731136253170798,0.024677721380146185,0.4753735594945733
56,0.012709535142080397,0.017914966651239133,0.709436717845739
57,0.016656367915462558,0.02803488168808959,0.5941301304633207
58,0.008169592571210802,0.014257500530315931,0.5730031398748101
59,0.01666121337366502,0.023783261237139947,0.7005436809879683
60,0.021710512922119014,0.03089534878664978,0.7027113715834681
61,0.008227463238675193,0.018920050398218622,0.4348541925139364
62,0.02202847728165135,0.029919157035131358,0.7362666419728683
63,0.021457080409050793,0.02875238312796081,0.7462713721089147
64,0.019051383372399155,0.031051547287011278,0.6135405490648359
65,0.014709157564421083,0.028761921496820057,0.511410809793634
66,0.008442004341756331,0.01186165299657082,0.711705556003467
67,0.016234522454165342,0.022295414831553204,0.728155209315126
68,0.019478019059110528,0.02537638991260683,0.7675646191370352
69,0.011316819422554462,0.025504624237129604,0.44371637538716346
70,0.018759253883133667,0.038471567552382284,0.4876134526388546
71,0.01900699776068691,0.025666024658072176,0.7405509038957657
72,0.005673944473920277,0.01080937617773404,0.5249095211509969
73,0.011961180214347191,0.026705519954512733,0.4478916806065813
74,0.0072353052402186905,0.013878174831374575,0.5213441484639892
75,0.01886165249309485,0.024997474037619788,0.754542337515966
76,0.012321630423743025,0.022168283488845187,0.5558224852811585
77,0.004878760869683505,0.020504685656520354,0.23793395086230731
78,0.008769932182960837,0.013180457251609339,0.6653738952208695
79,0.007229377707286465,0.016100797086399277,0.4490074415597899
80,0.004099015801626963,0.01175039258128725,0.3488407534405184
81,0.0057007648188585665,0.019231020673347723,0.2964358946617338
82,0.008610898570770879,0.02408770425887168,0.35748108154565794
83,0.005132464302123015,0.006345998359907334,0.8087717661164331
84,0.011382545914838624,0.017410184916814925,0.6537866179233666
85,0.005189920514379004,0.012706102588008375,0.4084588864305747
86,0.007957029651120604,0.021331676426929173,0.3730147359962113
87,0.009469973476743583,0.015718651198595567,0.6024673081992711
88,0.005219980778761816,0.00644823465607598,0.8095209086464715
89,0.009445474293746292,0.020494445438654196,0.46087972087649065
90,0.007804803018286629,0.017525935058202494,0.4453287651655707
91,0.005553375172531068,0.010223335316682482,0.5432058129723908
92,0.0042750291258172,0.010358782636337924,0.4126960933042445
93,0.005339609126683871,0.012936764205198398,0.4127468848914709
94,0.004376844819839487,0.007981453049828936,0.5483769423895711
95,0.004852382266260147,0.014562351122137204,0.33321420594992396
96,0.00866388379354263,0.014397737165636712,0.6017531569904675
97,0.006862323630690062,0.040367262143757986,0.16999725188400447
98,0.00811347906722565,0.009745552600614119,0.8325314529503278
99,0.006409943549130483,0.026064472702070112,0.24592646174558755
100,0.005213126468946616,0.008940948813381084,0.5830618849491179
101,0.00422251212233756,0.004649074492481334,0.9082478949860072
102,0.01249291514431446,0.023159811421011377,0.5394221445361613
103,0.004924730401173353,0.009068316370657118,0.5430699811671239
104,0.008131711520760374,0.01239920215359373,0.6558253845186071
105,0.006493609808258947,0.009065231590061154,0.7163203436150515
106,0.006109909642350873,0.027850428430517393,0.219382967747688
