mode,condition,seed,alpha,beta,final_train_loss,final_test_loss,final_test_acc,peak_test_acc
bayes,joint,42,0.8234374999999999,18.753125,0.3492585029453039,1.0894932746887207,0.504119873046875,0.599945068359375
bayes,joint,43,0.8234374999999999,18.753125,0.34424889646470547,1.296090841293335,0.4974365234375,0.643707275390625
bayes,joint,44,0.8234374999999999,18.753125,0.3387323208153248,1.1216940879821777,0.53753662109375,0.654327392578125
bayes,frozen,42,0.8234374999999999,18.753125,0.40990366972982883,0.8628941178321838,0.529632568359375,0.579315185546875
bayes,frozen,43,0.8234374999999999,18.753125,0.4197393674403429,0.8839702606201172,0.51751708984375,0.653411865234375
bayes,frozen,44,0.8234374999999999,18.753125,0.40763476118445396,0.8440017700195312,0.552703857421875,0.6441650390625
bayes,spectral_only,42,0.8234374999999999,18.753125,0.31768475100398064,1.089998722076416,0.52313232421875,0.656585693359375
bayes,spectral_only,43,0.8234374999999999,18.753125,0.31832740642130375,1.2039318084716797,0.517059326171875,0.667144775390625
bayes,spectral_only,44,0.8234374999999999,18.753125,0.3106528725475073,1.0391287803649902,0.562744140625,0.69598388671875
bayes,spatial_only,42,0.8234374999999999,18.753125,0.40544819086790085,1.1522696018218994,0.501983642578125,0.5042724609375
bayes,spatial_only,43,0.8234374999999999,18.753125,0.3911712020635605,1.1952619552612305,0.497528076171875,0.502685546875
bayes,spatial_only,44,0.8234374999999999,18.753125,0.39628892205655575,1.197094440460205,0.493377685546875,0.50244140625
ntk,joint,42,0.9926269531249998,4.999999926239252,0.2970899622887373,1.0035040378570557,0.543731689453125,0.685546875
ntk,joint,43,0.9926269531249998,4.999999926239252,0.3024057913571596,1.1834173202514648,0.519134521484375,0.7021484375
ntk,joint,44,0.9926269531249998,4.999999926239252,0.2870856635272503,1.101868748664856,0.562408447265625,0.72344970703125
ntk,frozen,42,0.9926269531249998,4.999999926239252,0.3523229379206896,0.8204026222229004,0.55816650390625,0.6451416015625
ntk,frozen,43,0.9926269531249998,4.999999926239252,0.35957293026149273,0.8414102792739868,0.533599853515625,0.71551513671875
ntk,frozen,44,0.9926269531249998,4.999999926239252,0.34415212646126747,0.754731297492981,0.601654052734375,0.71258544921875
ntk,spectral_only,42,0.9926269531249998,4.999999926239252,0.29353206418454647,1.046685814857483,0.5299072265625,0.701416015625
ntk,spectral_only,43,0.9926269531249998,4.999999926239252,0.293695792555809,1.1723685264587402,0.519073486328125,0.70135498046875
ntk,spectral_only,44,0.9926269531249998,4.999999926239252,0.28576457872986794,1.0197789669036865,0.57061767578125,0.72601318359375
ntk,spatial_only,42,0.9926269531249998,4.999999926239252,0.4355252590030432,1.1277081966400146,0.503326416015625,0.50677490234375
ntk,spatial_only,43,0.9926269531249998,4.999999926239252,0.43442893400788307,1.1228519678115845,0.50048828125,0.504669189453125
ntk,spatial_only,44,0.9926269531249998,4.999999926239252,0.4328283704817295,1.1455590724945068,0.498870849609375,0.505096435546875
margin,joint,42,4.999999926239252,0.050000073760747915,0.09471209300681949,0.4906467795372009,0.77545166015625,0.919952392578125
margin,joint,43,4.999999926239252,0.050000073760747915,0.09578194795176387,1.725253701210022,0.500152587890625,0.916534423828125
margin,joint,44,4.999999926239252,0.050000073760747915,0.09225079324096441,0.8189303874969482,0.725677490234375,0.92657470703125
margin,frozen,42,4.999999926239252,0.050000073760747915,0.09952696319669485,0.510248064994812,0.7591552734375,0.8192138671875
margin,frozen,43,4.999999926239252,0.050000073760747915,0.10111218364909291,0.9858568906784058,0.59771728515625,0.92547607421875
margin,frozen,44,4.999999926239252,0.050000073760747915,0.0954329022206366,0.396297812461853,0.8287353515625,0.92230224609375
margin,spectral_only,42,4.999999926239252,0.050000073760747915,0.09497404983267188,0.5149115324020386,0.762542724609375,0.920562744140625
margin,spectral_only,43,4.999999926239252,0.050000073760747915,0.09563651122152805,1.7331048250198364,0.50506591796875,0.91656494140625
margin,spectral_only,44,4.999999926239252,0.050000073760747915,0.09206224232912064,0.8265272974967957,0.72247314453125,0.92681884765625
margin,spatial_only,42,4.999999926239252,0.050000073760747915,0.4368460848927498,1.133331060409546,0.49627685546875,0.50274658203125
margin,spatial_only,43,4.999999926239252,0.050000073760747915,0.4316566586494446,1.135866641998291,0.50396728515625,0.505859375
margin,spatial_only,44,4.999999926239252,0.050000073760747915,0.43981727957725525,1.1274055242538452,0.500732421875,0.504119873046875
