arm,width,seed,n_bn,n_recal_batches,f1_asis,f1_epoch60_csv,f1_recal,delta,f1_peak_csv,peak_epoch,peak_minus_final,recal_recovery_frac,asis_csv_absdiff,asis_f1_cancer_epi,asis_f1_cas,asis_f1_normal_stroma,asis_f1_normal_epi,recal_f1_cancer_epi,recal_f1_cas,recal_f1_normal_stroma,recal_f1_normal_epi
joint_linear,48,0,3,29,0.44050370761678603,0.44050370761678603,0.6799166847709349,0.2394129771541489,0.8391449532255908,24,0.39864124560880476,0.6005725192547938,0.0,0.7729867495416304,0.35517679804817703,0.5164326532723088,0.11741862960502784,0.9226009019809328,0.8108591440848464,0.7285860207208522,0.25762067229710833
joint_linear,48,1,3,29,0.7688847155406064,0.7688847155406064,0.7428551818473184,-0.026029533693288087,0.8939159402651395,45,0.1250312247245331,-0.20818426557554692,0.0,0.9322858377563797,0.9142584947602413,0.9292539330180485,0.29974059662775615,0.929252525481442,0.9132950600195149,0.8529575058723041,0.27591563601601243
joint_linear,48,2,3,29,0.762371929246489,0.762371929246489,0.7760351115855231,0.013663182339034075,0.8853321144993779,56,0.12296018525288888,0.11111875206542166,0.0,0.9775714902171282,0.9611505964735728,0.9572016889954648,0.15356394129979037,0.9499682434484854,0.9142973560304237,0.876195490041239,0.36367935682194374
joint_linear,192,1,3,29,0.7195207037859546,0.7195207037859546,0.7020638570824759,-0.01745684670347869,0.7930360086988189,29,0.07351530491286429,-0.23745867236992108,0.0,0.9256409676178408,0.9152337181930277,0.8449220756978935,0.19228605363505658,0.9269120141603363,0.8661068126061521,0.7828779742072047,0.23235862735621074
joint_linear,192,2,3,29,0.4834486855463153,0.4834486855463153,0.6367038289891094,0.15325514344279406,0.8847837689457478,29,0.4013350833994325,0.3818633101912634,0.0,0.6101349592891401,0.6280923584387026,0.5924827197484351,0.1030847047089834,0.9191750278706801,0.8294934815131438,0.6229258783815909,0.17522092819102242
frozen_random,48,0,3,29,0.7224333656720193,0.7224333656720193,0.7357117154611579,0.013278349789138555,0.853600284101088,25,0.1311669184290687,0.1012324597403659,0.0,0.9103782545375002,0.9025988907732502,0.8420608820305253,0.23469543534680168,0.9254460456582617,0.9057672973219998,0.8444106206663284,0.2672228981980416
frozen_random,48,1,3,29,0.7330679997345455,0.7330679997345455,0.7195881501994019,-0.013479849535143584,0.8549615211392796,33,0.12189352140473408,-0.11058708764664547,0.0,0.928657070933794,0.9093303064699205,0.8330954579800185,0.261189163554449,0.9265610682026443,0.8860288993170097,0.8045958410874666,0.2611667921904872
frozen_random,48,2,3,29,0.6530640908551575,0.6530640908551575,0.6392464236695133,-0.013817667185644145,0.8103373886921924,24,0.15727329783703492,-0.08785768071043998,0.0,0.9360540594520822,0.817197796262288,0.6361120551536632,0.22289245255259674,0.936259875132734,0.7941843815398172,0.6041090842085867,0.22243235379691592
frozen_random,192,0,3,29,0.7405647471302957,0.7405647471302957,0.7410183941085948,0.0004536469782990826,0.8119669784066111,18,0.0714022312763154,0.006353400589731436,0.0,0.927583686926768,0.9088132038480828,0.8524842069318764,0.27337789081445557,0.9285673765302533,0.9124982963063922,0.849872340425532,0.2731355631722019
frozen_random,192,1,3,29,0.6842143340637902,0.6842143340637902,0.6642325920728909,-0.019981741990899304,0.8357655682870131,14,0.15155123422322292,-0.1318480980594839,0.0,0.8965888920782393,0.85880841343866,0.7737486440415311,0.20771138669673056,0.8841137113835833,0.8344631532910562,0.7473991467704513,0.19095435684647302
frozen_random,192,2,3,29,0.7769692722621426,0.7769692722621426,0.7772204102867951,0.00025113802465248636,0.8024777841287946,57,0.02550851186665193,0.00984526365024088,0.0,0.9533472375125165,0.9431613215432669,0.892258151080102,0.31911037891268534,0.9526984742336555,0.9369049468474666,0.8841862936072251,0.33509192645883296
frozen_pca,48,0,2,29,0.7343098294196628,0.7343098294196628,0.7342830470326626,-2.6782387000268137e-05,0.7694298452767933,51,0.03512001585713043,-0.0007625960964602042,0.0,0.9289856720491244,0.9059376568846698,0.8315083891918897,0.27080759955296746,0.92881799311894,0.9060954768144013,0.832027995334111,0.27019072286319756
frozen_pca,48,1,2,29,0.7115060345915546,0.7115060345915546,0.7112208308394866,-0.0002852037520679751,0.7472803964339623,15,0.035774361842407676,-0.007972294609316793,0.0,0.9279385403329066,0.8666351829988194,0.7829086632693062,0.26854175176518646,0.9277916282458477,0.8662669939577039,0.7825405532481781,0.2682841479062172
frozen_pca,48,2,2,29,0.709489166056321,0.709489166056321,0.7096641694214754,0.00017500336515441361,0.7892968598378594,6,0.0798076937815384,0.0021928132096318822,0.0,0.9243957423736552,0.8658754827163982,0.7859279080749252,0.2617575310603052,0.9243651432387541,0.8660909668462787,0.7865469439193447,0.26165362368152434
frozen_pca,192,0,2,29,0.7207802603790684,0.7207802603790684,0.7259463575445335,0.005166097165465122,0.7963594076265641,59,0.0755791472474957,0.06835347253320988,0.0,0.9281164591773536,0.8813053613053613,0.8037345567226045,0.26996466431095406,0.9281098500133561,0.890546689147054,0.8152502245081231,0.2698786665096007
frozen_pca,192,1,2,29,0.7343756394321228,0.7343756394321228,0.7340839591868862,-0.00029168024523662517,0.9321601213920313,9,0.1977844819599085,-0.0014747377668170632,0.0,0.929303604709305,0.8926668015921203,0.8316468873620654,0.28388526406500064,0.9290034333007435,0.8916425348508317,0.8316122584943371,0.2840776101016323
frozen_pca,192,2,2,29,0.7242319642152851,0.7242319642152851,0.7263775978998511,0.002145633684565995,0.8572122296094298,10,0.13298026539414465,0.01613497821053733,0.0,0.9283753289641962,0.8877406798118584,0.8101245284549548,0.2706873196301313,0.9283066075287161,0.8915323789104825,0.8149840855300743,0.2706873196301313
