arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi,status,lr,reached_star,probe_val_gain,probe_test_gain
frozen,32,1.0,0,init,0,1.434537649154663,0.2074760496616363,0.1765291113803836,0.0,0.5807729488807312,0.0,0.0020890235900878,0.5008476104591102,0.4988050493548702,0.2197297364473343,0.182077182296583,0.1535158346752549,0.4062161185399349,0.0619369369369369,0.1066398390342052,0.2916216254234314,0.2517178294056957,0.2879227053140096,0.4037558685446009,0.2040816326530612,0.1111111111111111,0.2262162268161773,0.1927958267689481,0.1530373831775701,0.4191394658753709,0.0484848484848484,0.1505216095380029,0.2377777844667434,0.1785438765115063,0.1417197452229299,0.4448462929475588,0.0622737146994931,0.0653357531760435,0.2951851785182953,0.2445419334470141,0.2480620155038759,0.4283752860411899,0.1962616822429906,0.10546875,0.2374074012041092,0.1875306691194536,0.143218197135636,0.4544600938967136,0.0414673046251993,0.1109770808202653,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,1.0,2004,0.9999024271965028,0.5191693305969238,0.4951937755788624,0.0,0.3576095119135335,0.0,3.828513622283936,0.5008476104591102,0.4988050493548702,0.4716216325759887,0.4533827076551745,0.5450199203187251,0.4022072348252605,0.5758241758241758,0.2904794996525365,0.3143243193626404,0.3019071630938795,0.4003329171868497,0.308182784272051,0.2743938497930219,0.2247191011235955,0.4383783936500549,0.4228050600537044,0.5170888620828307,0.3510253317249698,0.5096525096525096,0.3134535367545076,0.4577777683734894,0.42836577543166,0.5550821667681071,0.4107793153678077,0.5356200527704486,0.2119815668202765,0.2951851785182953,0.2750160216691882,0.313103448275862,0.3557406305770375,0.2821685173089484,0.1490514905149051,0.4388888776302337,0.4138376023270396,0.5080545229244114,0.415547703180212,0.5156562291805463,0.2160919540229885,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.8,6263,0.7999961972236633,0.6056230068206787,0.5837913269412764,0.0,0.1360858335360688,0.0,12.283869981765749,0.5008476104591102,0.4988050493548702,0.5151351690292358,0.4993634657359632,0.5674381484437351,0.5083189902467011,0.6255049047893826,0.2961918194640338,0.3127027153968811,0.2989646780439466,0.3810344827586207,0.3575204228736184,0.2468480424684804,0.210455764075067,0.4670270383358001,0.4532533782519579,0.5212121212121212,0.4592346089850249,0.5354239256678281,0.2971428571428571,0.5059259533882141,0.4750864914428647,0.5469135802469136,0.5640025990903184,0.5797523670793882,0.2096774193548387,0.3100000023841858,0.2801626445135332,0.3036723163841808,0.4098867147270855,0.2591463414634146,0.147945205479452,0.4603703618049621,0.429967331659667,0.4956629491945477,0.514102564102564,0.5304347826086957,0.1796690307328605,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,final,40000,0.6626324653625488,0.6787859797477722,0.6589678342782246,0.0,0.0350145225268663,0.0,79.44639039039612,0.5008476104591102,0.4988050493548702,0.6027027368545532,0.5799642720156553,0.6666666666666666,0.6429659725749112,0.6449136276391555,0.3653108211818879,0.3324324488639831,0.289083649068247,0.3717786227291931,0.4287833827893175,0.1340782122905028,0.2216943784639746,0.5454054474830627,0.5295310446416346,0.6108854589764419,0.5698765432098766,0.562992125984252,0.3743700503959683,0.5988888740539551,0.5564114571767874,0.6291192330736968,0.6957026713124274,0.6403940886699507,0.2604298356510746,0.3088888823986053,0.2387633215510906,0.234375,0.4678747940691927,0.1395348837209302,0.1132686084142394,0.5274074077606201,0.4931755172169365,0.5651902682470368,0.6088474970896391,0.5658852061438965,0.2327790973871734,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,init,0,1.4063972234725952,0.3927156627178192,0.2809625756218827,0.0,0.9815915041678704,0.0,0.0020649433135986,0.5389359524202233,0.5236345205323103,0.3702702820301056,0.2588432641175197,0.4812239221140473,0.4831503218477849,0.0538461538461538,0.0171526586620926,0.3454053997993469,0.2587132343009776,0.4522875816993464,0.3649748159628051,0.1818181818181818,0.0357723577235772,0.3408108055591583,0.2549759946813963,0.4249249249249249,0.500193573364305,0.0426382411725516,0.0521472392638036,0.3992592692375183,0.2810285157682499,0.4734774066797642,0.5196775723091512,0.084084084084084,0.046875,0.3611111044883728,0.2708650600965281,0.4342105263157895,0.384578313253012,0.2330508474576271,0.0316205533596837,0.3540740609169006,0.2618625977494079,0.399364406779661,0.5102527420123987,0.0572963294538943,0.0805369127516778,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,1.0,997,0.999861478805542,0.5083706378936768,0.4680044324740463,0.0,0.47129849568395,0.0,2.0013620853424072,0.5389359524202233,0.5236345205323103,0.4808108210563659,0.4549139783255447,0.5958284140102322,0.2971887550200803,0.5466804979253111,0.3799582463465553,0.361621618270874,0.3075775495951651,0.4966124661246612,0.3236940298507462,0.2719891745602165,0.1380145278450363,0.4472973048686981,0.4263325120695048,0.5386819484240688,0.2447314751869476,0.5304437564499485,0.3914728682170542,0.4696296155452728,0.4281092270325907,0.6121495327102804,0.25,0.5585168018539977,0.2917705735660847,0.3440740704536438,0.2968289982032775,0.4162378502001143,0.32,0.344336569579288,0.1067415730337078,0.4325926005840301,0.4023298389148844,0.540407156076496,0.2136089577950043,0.544920728126835,0.3103825136612022,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,0.8,2985,0.7999700903892517,0.5854952335357666,0.5492887401522742,0.0,0.1980836216579242,0.0,5.936949491500855,0.5389359524202233,0.5236345205323103,0.5316216349601746,0.5076164791025182,0.6576506955177743,0.3940335612181479,0.5535617183251768,0.4252199413489736,0.3645946085453033,0.318660002540645,0.4821303433777155,0.3541480820695807,0.2689804772234273,0.1693811074918566,0.5032432675361633,0.4817224720841683,0.624124513618677,0.3479876160990712,0.5327462850853054,0.4220314735336195,0.5166666507720947,0.4708833186486155,0.6748603351955307,0.3300492610837438,0.5733015494636472,0.3053221288515406,0.3411111235618591,0.2979344917600746,0.4093841642228739,0.3411189570885388,0.3238754325259516,0.1173594132029339,0.5007407665252686,0.4612917920522954,0.6535433070866141,0.3333333333333333,0.5549348230912476,0.3033557046979865,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,final,40000,0.6151112914085388,0.7051757574081421,0.6798809652863921,0.0,0.0333770050895262,0.0,79.8892023563385,0.5389359524202233,0.5236345205323103,0.6029729843139648,0.5884107187469438,0.6431865828092244,0.6790425012212995,0.6275543836519446,0.4038594073053067,0.2862162292003631,0.2503698207670533,0.2212581344902386,0.4147899159663865,0.1625740897544453,0.2028571428571428,0.5708107948303223,0.5579761103601248,0.6080206985769728,0.6389925373134329,0.5929993136582018,0.3918918918918919,0.6044444441795349,0.5636333769342581,0.6805721096543504,0.6495619524405507,0.6338235294117647,0.2905759162303665,0.2881481349468231,0.2304644909100266,0.1457286432160804,0.4443521594684385,0.2016498625114574,0.1301272984441301,0.5722222328186035,0.5344652661420342,0.6521739130434783,0.6181384248210023,0.5858585858585859,0.2816901408450704,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,2,init,0,1.363847017288208,0.259169340133667,0.2279404409387871,0.0,0.9178245849833492,0.0,0.0021178722381591,0.5246283825522051,0.5288064642436563,0.2637837827205658,0.2516931723445975,0.1684981684981685,0.0649546827794562,0.3458750431480842,0.4274447949526814,0.2189189195632934,0.1949971085928902,0.2588347659980898,0.0765027322404371,0.2807505211952745,0.1639004149377593,0.2756756842136383,0.2677889568200269,0.1693506493506493,0.103207810320781,0.366289675300985,0.4323076923076923,0.2585185170173645,0.2326938108779654,0.1689730517115804,0.055350553505535,0.3934859154929577,0.3129657228017883,0.229629635810852,0.1923861223442506,0.2562141491395793,0.1065778517901748,0.3109441052137153,0.0958083832335329,0.260740727186203,0.2374544218046451,0.1494505494505494,0.0912220309810671,0.407695831424645,0.3014492753623188,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,2,1.0,770,0.9999570846557616,0.4368690252304077,0.390791788891142,0.0,0.5237984341111646,0.0,1.5280256271362305,0.5246283825522051,0.5288064642436563,0.4048648774623871,0.368904167985606,0.497094322753688,0.0885780885780885,0.5065047701647876,0.3834394904458599,0.2718918919563293,0.2547698141772815,0.3567099567099567,0.1137998691955526,0.3158366980708838,0.2327327327327327,0.3991892039775848,0.372838637389361,0.4776386404293381,0.1374269005847953,0.4979442667884879,0.3783447417548226,0.4166666567325592,0.3689419280409647,0.584423676012461,0.0849858356940509,0.5199786893979755,0.2863795110593713,0.2611111104488373,0.2319804355028512,0.3123732251521298,0.1452859350850077,0.3371456986573843,0.1331168831168831,0.4081481397151947,0.365901099896628,0.5517241379310345,0.1168949771689497,0.5244103126714207,0.2705749718151071,max_steps,0.001,False,0.0,0.0
