arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_Asphalt,f1_iid_val_Meadows,f1_iid_val_Gravel,f1_iid_val_Trees,f1_iid_val_PaintedMetal,f1_iid_val_BareSoil,f1_iid_val_Bitumen,f1_iid_val_Bricks,f1_iid_val_Shadows,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_Asphalt,f1_ctx_random_val_Meadows,f1_ctx_random_val_Gravel,f1_ctx_random_val_Trees,f1_ctx_random_val_PaintedMetal,f1_ctx_random_val_BareSoil,f1_ctx_random_val_Bitumen,f1_ctx_random_val_Bricks,f1_ctx_random_val_Shadows,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_Asphalt,f1_homogeneous_val_Meadows,f1_homogeneous_val_Gravel,f1_homogeneous_val_Trees,f1_homogeneous_val_PaintedMetal,f1_homogeneous_val_BareSoil,f1_homogeneous_val_Bitumen,f1_homogeneous_val_Bricks,f1_homogeneous_val_Shadows,acc_iid_test,f1_iid_test,f1_iid_test_Asphalt,f1_iid_test_Meadows,f1_iid_test_Gravel,f1_iid_test_Trees,f1_iid_test_PaintedMetal,f1_iid_test_BareSoil,f1_iid_test_Bitumen,f1_iid_test_Bricks,f1_iid_test_Shadows,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_Asphalt,f1_ctx_random_test_Meadows,f1_ctx_random_test_Gravel,f1_ctx_random_test_Trees,f1_ctx_random_test_PaintedMetal,f1_ctx_random_test_BareSoil,f1_ctx_random_test_Bitumen,f1_ctx_random_test_Bricks,f1_ctx_random_test_Shadows,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_Asphalt,f1_homogeneous_test_Meadows,f1_homogeneous_test_Gravel,f1_homogeneous_test_Trees,f1_homogeneous_test_PaintedMetal,f1_homogeneous_test_BareSoil,f1_homogeneous_test_Bitumen,f1_homogeneous_test_Bricks,f1_homogeneous_test_Shadows,status,lr,reached_star,probe_val_gain,probe_test_gain
frozen,32,1.0,0,init,0,2.1841070652008057,0.332388162612915,0.1251588133782611,0.0,1.4391000280531594,0.0,0.00628662109375,0.7182499777396494,0.712864147270734,0.3043333292007446,0.1136374507585727,0.1183637946040034,0.5266802443991854,0.2562764916856863,0.1214165261382799,0.0,0.0,0.0,0.0,0.0,0.1303333342075348,0.0655577803135378,0.0210867802108678,0.2256544502617801,0.1244563399130143,0.1405465699944227,0.0091116173120728,0.069164265129683,0.0,0.0,0.0,0.3148333430290222,0.1161258340170806,0.0490463215258855,0.5393568751232984,0.2522167487684729,0.1898066783831282,0.0,0.0147058823529411,0.0,0.0,0.0,0.273499995470047,0.1058907021365924,0.0900594732370433,0.507416081186573,0.1318996415770609,0.1987577639751552,0.0,0.0248833592534992,0.0,0.0,0.0,0.1156666651368141,0.0554092515655569,0.0079239302694136,0.237851662404092,0.067006554989075,0.1248484848484848,0.0,0.0610526315789473,0.0,0.0,0.0,0.2815000116825104,0.1070353758449575,0.0373333333333333,0.5178537330532748,0.132568971694733,0.249208025343189,0.0,0.0263543191800878,0.0,0.0,0.0,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,1.0,3358,0.9999054074287416,0.4505356252193451,0.5106221386562455,0.0,0.3565073687090018,0.0,14.138110637664797,0.7182499777396494,0.712864147270734,0.4511666595935821,0.4366244264766267,0.7253032928942807,0.3017301038062284,0.1807780320366132,0.5014175779667882,0.9852941176470588,0.0204081632653061,0.4937106918238994,0.2227488151658767,0.4982290436835891,0.1721666604280471,0.1393174538216542,0.2688919796012981,0.1679284239504473,0.1184088806660499,0.2318575992697398,0.1706398996235884,0.0600315955766192,0.0841750841750841,0.0484429065743944,0.1034807149576669,0.429666668176651,0.4271585641848696,0.6474752241623407,0.2925642807505212,0.1880530973451327,0.5045118949958983,0.9727767695099818,0.0128205128205128,0.5327380952380952,0.2550177095631641,0.4384694932781799,0.4228333234786987,0.464519124635029,0.8422053231939164,0.1662106703146375,0.4236453201970443,0.3681908548707753,0.9910714285714286,0.1461847389558233,0.2317596566523605,0.6765625,0.334841628959276,0.1624999940395355,0.1314530241100204,0.2317720907774022,0.1806853582554517,0.0830860534124629,0.2425467407781708,0.1783132530120482,0.0870292887029288,0.0214285714285714,0.0651340996168582,0.0930817610062893,0.4338333308696747,0.4701245085041053,0.8369876072449952,0.2048354600402955,0.4048780487804878,0.3795620437956204,0.9823008849557522,0.1457165732586068,0.242152466367713,0.6830391404451266,0.3516483516483517,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.8,5708,0.7999854683876038,0.5627599358558655,0.6132095522212787,0.0,0.2375272555137142,0.0,23.152014017105103,0.7182499777396494,0.712864147270734,0.5109999775886536,0.4987288303260755,0.7181628392484343,0.4658682634730539,0.1647058823529411,0.5858585858585859,0.9925925925925926,0.0655367231638418,0.5469026548672566,0.3446153846153846,0.60431654676259,0.1878333240747451,0.1459243171523936,0.2553763440860215,0.2468683165291781,0.103831891223733,0.2266288951841359,0.1679197994987468,0.0816326530612244,0.1012373453318335,0.0319715808170515,0.0978520286396181,0.4938333332538605,0.4888697870349797,0.6673924877517692,0.4497402994194928,0.1639751552795031,0.5745489078822412,0.98348623853211,0.0638766519823788,0.5613079019073569,0.3709198813056379,0.5645805592543276,0.5383333563804626,0.5782866668836556,0.8410832907511497,0.4445694991558807,0.4937888198757764,0.5088105726872246,0.9910714285714286,0.1897905759162303,0.4302325581395348,0.7669616519174042,0.5382716049382716,0.1926666647195816,0.1480391220476516,0.2537735849056604,0.2683127572016461,0.074792243767313,0.2256186317321688,0.1682692307692307,0.1322718922229026,0.0356435643564356,0.0650887573964497,0.1085814360770578,0.534500002861023,0.5707253340887539,0.8493427704752275,0.4418801013228258,0.4395924308588064,0.512396694214876,0.9821428571428572,0.1712010617120106,0.4571428571428571,0.7520235467255335,0.5308056872037915,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.6,12408,0.5999863743782043,0.6558286547660828,0.6913264694717923,0.0,0.1304058165196516,0.0,48.99988889694214,0.7182499777396494,0.712864147270734,0.5838333368301392,0.5760233353101432,0.7085346215780999,0.6049613230194718,0.2040816326530612,0.7198581560283688,0.9962825278810408,0.0958772770853307,0.5350210970464135,0.5103448275862069,0.8092485549132948,0.2218333333730697,0.1579565560316566,0.2559414990859232,0.3466391964975534,0.0839160839160839,0.1923972071373157,0.1878579610538373,0.1073684210526315,0.0956521739130434,0.033271719038817,0.1185647425897035,0.5709999799728394,0.5700333932477807,0.6732782369146005,0.5935025935025935,0.1899592944369063,0.7115272088940902,0.98348623853211,0.1187943262411347,0.5572916666666666,0.5069637883008357,0.7954971857410882,0.6811666488647461,0.7051677037330358,0.8392116182572614,0.6822805772415425,0.5363825363825364,0.84,0.9955156950672646,0.2946635730858468,0.437956204379562,0.8588390501319261,0.8616600790513834,0.2223333269357681,0.1534566711796658,0.2491417361451692,0.3455985095482068,0.0611916264090177,0.155440414507772,0.1978021978021978,0.1548582995951417,0.0390625,0.0630722278738555,0.1149425287356321,0.6631666421890259,0.6813845751798886,0.8457201435161456,0.6666666666666666,0.4270072992700729,0.8062554300608167,0.9866666666666668,0.2938114517061885,0.473469387755102,0.8032345013477089,0.8296296296296296,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.5,21225,0.4999947249889374,0.7023314833641052,0.741120598628643,0.0,0.0880354429688873,0.0,83.44003939628601,0.7182499777396494,0.712864147270734,0.6334999799728394,0.6515452785679803,0.7069963177275118,0.6500925681036763,0.4118438761776581,0.7955872809863724,0.9981378026070764,0.1894563426688632,0.5691768826619965,0.6370370370370371,0.9055793991416308,0.234333336353302,0.1661314205787269,0.2659963436928702,0.3589357429718876,0.0893371757925072,0.2269841269841269,0.1940463065049614,0.1047331319234642,0.0915178571428571,0.0426356589147286,0.1209964412811387,0.6014999747276306,0.616245918487976,0.6568144499178982,0.6366061899679829,0.3125,0.759020618556701,0.98348623853211,0.1778846153846154,0.5736981465136805,0.5535714285714286,0.8926315789473684,0.765666663646698,0.7686617975155356,0.8478931140801644,0.7965641952983725,0.5517241379310345,0.9098116947472744,1.0,0.4945321992709599,0.4541984732824427,0.872160934458144,0.9910714285714286,0.2436666637659073,0.150903689049689,0.2379518072289156,0.3882830874492196,0.0551948051948051,0.1615598885793872,0.2083333333333333,0.161925601750547,0.0375,0.0610526315789473,0.0463320463320463,0.7258332967758179,0.7251660387135442,0.8418341061308604,0.7674365424193917,0.4139130434782608,0.8585271317829457,0.9866666666666668,0.4554815263476681,0.4897959183673469,0.7872195785180149,0.9256198347107438,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,final,40000,0.4002718329429626,0.7628229856491089,0.791968393674395,0.0,0.0628153274771012,0.0,157.81773495674133,0.7182499777396494,0.712864147270734,0.6818333268165588,0.7044938601443864,0.7171867261020307,0.7018172510877911,0.5026737967914439,0.8376534788540245,1.0,0.2164429530201342,0.656,0.7406340057636888,0.9680365296803652,0.2284999936819076,0.1635100247839409,0.255591054313099,0.334975369458128,0.0833333333333333,0.2722063037249284,0.200836820083682,0.1242009132420091,0.0734908136482939,0.0326530612244898,0.0943025540275049,0.6336666345596313,0.6549210028603759,0.6335272342675833,0.6758298755186722,0.3963553530751708,0.8027586206896552,0.979890310786106,0.2068403908794788,0.6298449612403101,0.6414523449319214,0.9277899343544858,0.7981666326522827,0.7935892181012975,0.8587341772151899,0.8332961392546306,0.5774946921443737,0.9478079331941544,1.0,0.5616605616605617,0.4843423799582463,0.8834513844172569,0.9955156950672646,0.2406666576862335,0.1529561283356571,0.2246489859594383,0.379295154185022,0.0652482269503546,0.2502979737783075,0.2074363992172211,0.1595854922279792,0.0260416666666666,0.0552016985138004,0.0088495575221238,0.7438333034515381,0.7398643663743812,0.8462724935732647,0.7961296129612961,0.4019138755980861,0.8476683937823835,0.9866666666666668,0.5300911854103344,0.5170940170940171,0.7674258109040718,0.9655172413793104,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,init,0,2.265035390853882,0.2167612016201019,0.0835440401637046,0.0,1.556145637501802,0.0,0.0115716457366943,0.7070709515151236,0.6910179648938882,0.1391666680574417,0.0492366371504953,0.0,0.3884476534296029,0.0,0.0,0.02,0.0346820809248554,0.0,0.0,0.0,0.1503333300352096,0.0784116281244672,0.0126353790613718,0.321634363541121,0.1482675261885576,0.0793825799338478,0.0027137042062415,0.1127780651836523,0.0,0.0204498977505112,0.0078431372549019,0.1483333259820938,0.0501476870337374,0.0,0.4106844741235392,0.0,0.0,0.0,0.0406447091800981,0.0,0.0,0.0,0.13516665995121,0.051156802059856,0.0,0.3662893081761006,0.0,0.0014445648248465,0.0,0.0926773455377574,0.0,0.0,0.0,0.1436666697263717,0.0704273058016975,0.0121317157712305,0.3182897862232779,0.106029106029106,0.0444951511694238,0.0031347962382445,0.1365638766519823,0.0,0.0132013201320132,0.0,0.1515000015497207,0.0550938856893327,0.0,0.417391304347826,0.0,0.0,0.0,0.0784536668561682,0.0,0.0,0.0,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,1.0,3621,0.9998774528503418,0.3864524364471435,0.4557739850416644,0.0,0.3508225279431103,0.0,36.59845662117005,0.7070709515151236,0.6910179648938882,0.390500009059906,0.3706697965627718,0.734271523178808,0.0561224489795918,0.2538649308380797,0.4334941419710544,0.9869158878504672,0.0339622641509433,0.3185298621745788,0.063063063063063,0.4558040468583599,0.1588333249092102,0.1316803207844894,0.2466635987114588,0.1039370078740157,0.1118508655126498,0.2522596548890715,0.1420345489443378,0.0701298701298701,0.0846394984326018,0.0698080279232111,0.1037998146431881,0.3846666514873504,0.3739918126146879,0.7112462006079028,0.0495091762697396,0.2573643410852713,0.4388539482879106,0.974169741697417,0.0481099656357388,0.3910447761194029,0.0566037735849056,0.4390243902439024,0.3586666584014892,0.3800000225345746,0.8749435665914221,0.0972434915773353,0.2953904045155221,0.3333333333333333,0.9868995633187772,0.1158238172920065,0.1006711409395973,0.2691903259726603,0.3465045592705167,0.1609999984502792,0.1277387548965735,0.2919908466819222,0.1193815174397698,0.0901639344262295,0.2346570397111913,0.0971962616822429,0.1207951070336391,0.0268817204301075,0.0731225296442687,0.0954598370197904,0.3583333194255829,0.3833149980756954,0.8641975308641975,0.0878274268104776,0.2817164179104477,0.3347763347763348,0.9783549783549784,0.1350277998411437,0.092526690391459,0.3051546391752577,0.370253164556962,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,0.8,6071,0.799954354763031,0.5006301403045654,0.5762503241303555,0.0,0.2324812434206873,0.0,62.28929376602173,0.7070709515151236,0.6910179648938882,0.473499983549118,0.4845321766806498,0.7483341875961046,0.3157522123893805,0.2111111111111111,0.5042016806722689,0.9887640449438202,0.0932297447280799,0.5346358792184724,0.4193061840120664,0.5454545454545454,0.1731666624546051,0.1419354251892075,0.2509293680297397,0.1796791443850267,0.1066666666666666,0.2522269104547585,0.1343283582089552,0.0927835051546391,0.0914560770156438,0.0680272108843537,0.1013215859030837,0.4564999938011169,0.4716519234958913,0.7188649500788229,0.2921024161557879,0.1938650306748466,0.5032102728731942,0.9850746268656716,0.0882669537136706,0.542649727767695,0.3875,0.5333333333333333,0.4894999861717224,0.5363290049957359,0.8408862034239678,0.3372744243932794,0.437389770723104,0.4390009606147935,0.9912280701754386,0.1357285429141716,0.4067796610169492,0.7746077032810271,0.4640657084188911,0.1878333240747451,0.1426850298674876,0.2944393801276208,0.2251027505532722,0.0821484992101105,0.2390158172231986,0.0945945945945946,0.1331704337202199,0.0206611570247933,0.0877862595419847,0.1072463768115942,0.4743333160877228,0.5180747529524684,0.8402603905858789,0.3124596513879922,0.35625,0.4247706422018348,0.982608695652174,0.1554959785522788,0.4008350730688935,0.737381126554499,0.4526112185686654,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,0.6,12744,0.5999859571456909,0.6698803305625916,0.6983148285830517,0.0,0.1329656063148376,0.0,137.8558955192566,0.7070709515151236,0.6910179648938882,0.6038333177566528,0.5829511508868486,0.7224622030237581,0.6444851977993188,0.2143906020558003,0.7527010804321729,0.9924812030075189,0.0991902834008097,0.524671052631579,0.5021156558533145,0.7940630797773655,0.2006666660308838,0.1571646246516165,0.2530689329556185,0.288261515601783,0.1068917018284106,0.2275064267352185,0.1661202185792349,0.1009615384615384,0.0964705882352941,0.0621572212065813,0.1130434782608695,0.5885000228881836,0.5721371480497471,0.7015418502202643,0.6324194836305563,0.1966794380587484,0.739988045427376,0.9887640449438202,0.1056676272814601,0.5493562231759657,0.4606240713224368,0.7741935483870968,0.675166666507721,0.6885224858746459,0.8173731030873888,0.7077272727272728,0.5207100591715976,0.9009009009009008,0.9955947136563876,0.207324643078833,0.4217687074829932,0.834924965893588,0.7903780068728522,0.2273333370685577,0.1583377145785681,0.2957811775614279,0.3464607464607465,0.0921658986175115,0.1899441340782122,0.1152073732718894,0.1453154875717017,0.0229357798165137,0.0953326713008937,0.1218961625282167,0.6611666679382324,0.6655248626476223,0.837782340862423,0.6991272393201654,0.4,0.8791423001949318,0.986784140969163,0.2008733624454148,0.466403162055336,0.7767540751240255,0.7428571428571429,max_steps,0.001,False,0.0,0.0
