condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
sd,0.05,44,1.0,0.12239853441093124,0.17760626916157848,0.2073067219720652,0.06819027909734421,0.05420825531358703,0.5128265380859375,0.74945068359375,0.23662414550781252,0.5458766929805279,0.7037299871444702
joint,0.05,45,,0.17695549423340326,0.21221822287384345,0.1821532039180947,0.0683842804790133,0.10857121375438995,0.579302978515625,0.66119384765625,0.08189086914062504,0.40973600186407566,0.7232000589370727
frozen,0.05,45,,,,,,,0.488885498046875,0.6048583984375,0.11597290039062502,0.4282431397587061,0.787379014492035
sd,0.05,45,0.001,0.17698819484083728,0.21202724134704745,0.184485249484933,0.06837546234988635,0.10861273249095092,0.5713775634765625,0.661163330078125,0.08978576660156246,0.4095376394689083,0.7327324628829956
sd,0.05,45,0.01,0.17574249584302123,0.20703525514460447,0.18240092129498053,0.06829602157512504,0.10744647426789619,0.56279296875,0.6600341796875,0.09724121093750004,0.4107074495404959,0.7360015153884888
sd,0.05,45,0.1,0.14844158226963095,0.17622647249869133,0.16657532120254231,0.06749383937152993,0.08094774289810101,0.542919921875,0.649169921875,0.10624999999999996,0.4321885425597429,0.7274124383926391
sd,0.05,45,1.0,0.10482443902034151,0.14369061590063412,0.1572889768032445,0.0592478720655366,0.045576566954804915,0.5200164794921875,0.572540283203125,0.052523803710937456,0.5497867725789547,0.7132863700389862
joint,0.05,46,,0.20848332319951107,0.23621072547930597,0.2126283652882607,0.08554394206898329,0.12293938113052778,0.509576416015625,0.5250244140625,0.015447998046875022,0.4131636433303356,0.7556642055511474
frozen,0.05,46,,,,,,,0.299603271484375,0.30389404296875,0.004290771484375011,0.4249648079276085,1.1106614470481873
sd,0.05,46,0.001,0.20892018463793782,0.23773519117559386,0.21428260155333703,0.08553938841294405,0.12338079622499377,0.5097808837890625,0.52642822265625,0.0166473388671875,0.4129372499883175,0.7489975988864899
sd,0.05,46,0.01,0.21044643640477,0.23691193083786352,0.21164375752636339,0.0854981834493358,0.12494825295543421,0.5229736328125,0.535858154296875,0.012884521484375022,0.41354450210928917,0.7393300294876098
sd,0.05,46,0.1,0.1991817940495773,0.2067654957142552,0.21182897087641414,0.0850612210310138,0.11412057301856351,0.5080902099609375,0.52630615234375,0.018215942382812544,0.4358415063470602,0.7197648644447326
