arm,param,train_cond,width,mult,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star,probe_acc_gain,h_u_gain,align_u_gain
ctxfree,sp,ctx_random,128,1.0,1.0,0,init,0,0.7226138114929199,0.4982452392578125,0.0908841788768768,0.8431685349580605,0.64715576171875,0.0320632457733154,0.0044072180061312,0.0380780320951155,0.2303251754398413,0.67701203892871,0.0547461204583211,0.4642450934845632,3.469438102796015,0.0,0.56439208984375,0.43048095703125,0.49761962890625,0.50103759765625,0.56451416015625,max_steps,0.001,1.70233154296875,True,0.0,0.0,0.0
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.6,1974,0.5999060869216919,0.712890625,0.2353301495313644,0.2240550751648913,0.7650146484375,19.2364559173584,0.0171495330059918,0.0324060559262244,0.4551251669716386,0.6256303240781599,0.1960965716844456,0.4015561715334955,3.475399242131237,0.0733390946121818,0.6978759765625,0.7161865234375,0.705810546875,0.742919921875,0.4915771484375,max_steps,0.001,1.70233154296875,True,0.11785888671875,0.1413504512261245,0.012742314999860598
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.5,2742,0.49997478723526,0.8010406494140625,0.286717414855957,0.2555430593445337,0.834228515625,26.724441528320312,0.0346399289795939,0.0305017449528773,0.650530816519404,0.6104382247484368,0.3492223122639629,0.383717103629516,3.4952591237241486,0.1308532361128606,0.79119873046875,0.80743408203125,0.79913330078125,0.82244873046875,0.494873046875,max_steps,0.001,1.70233154296875,True,0.18707275390625,0.2944761918056418,0.0302327109734627
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.4,3427,0.3999212682247162,0.85723876953125,0.28278648853302,0.2389785328028307,0.8768310546875,33.411954164505005,0.0570267578653103,0.0285832073296256,0.8408447897491736,0.5952946458719376,0.4995198645408887,0.366417330541851,3.5210848990851384,0.1865127064415487,0.850830078125,0.85760498046875,0.85430908203125,0.86932373046875,0.49749755859375,max_steps,0.001,1.70233154296875,True,0.22967529296875,0.4447737440825676,0.0526195398591791
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.3,4306,0.2999308407306671,0.897796630859375,0.2334097921848297,0.1871871787541525,0.90655517578125,41.96843528747559,0.0879014067667413,0.0261244467292354,1.054455408273278,0.5748491012185218,0.6543402881017866,0.3436846414925709,3.556561360445856,0.2504981956593085,0.8912353515625,0.89630126953125,0.893310546875,0.9014892578125,0.4952392578125,max_steps,0.001,1.70233154296875,True,0.2593994140625,0.5995941676434655,0.0834941887606101
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.2,6149,0.1999783962965011,0.928802490234375,0.1399383395910263,0.1036416724035707,0.9310302734375,59.83268928527832,0.138449419484149,0.022165242492392,1.345154258974902,0.5382236349074065,0.8298935882344596,0.3045400469716074,3.615151662275612,0.3428240367463473,0.9241943359375,0.9263916015625,0.9254150390625,0.93011474609375,0.49609375,max_steps,0.001,1.70233154296875,True,0.28387451171875,0.7751474677761385,0.1340422014780178
ctxfree,sp,ctx_random,128,1.0,1.0,0,0.15,9363,0.1499978899955749,0.9430084228515624,0.0711852461099624,0.0489356312793554,0.94342041015625,90.85650777816772,0.1854649402748101,0.0183110349318411,1.581631895268251,0.4969708868191057,0.9369340963351476,0.2628133554141767,3.6726073783735376,0.4271209526978723,0.939697265625,0.9410400390625,0.94097900390625,0.94232177734375,0.4959716796875,max_steps,0.001,1.70233154296875,True,0.2962646484375,0.8821879758768265,0.1810577222686789
ctxfree,sp,ctx_random,128,1.0,1.0,0,final,40000,0.1191011443734169,0.9535064697265624,0.0062035890296101,0.0134914054688187,0.9478759765625,389.6897311210632,0.2424014517135294,0.0143204645068723,1.8527139787456648,0.4503180164393881,0.99078400656284,0.219274023051032,3.763056768839012,0.5527764287949412,0.9456787109375,0.945068359375,0.945068359375,0.946533203125,0.49603271484375,max_steps,0.001,1.70233154296875,True,0.30072021484375,0.936037886104519,0.2379942337073982
ctxfree,sp,ctx_random,128,1.0,1.0,1,init,0,0.7152777314186096,0.501068115234375,0.0810397341847419,0.7184785289516179,0.657958984375,0.0321829319000244,0.0043950158599156,0.0348796653165945,0.2295452446903434,0.6466573697873307,0.0604061607187317,0.4137186334799259,3.4624864055836078,0.0,0.47161865234375,0.529541015625,0.4993896484375,0.5067138671875,0.46636962890625,max_steps,0.001,1.70233154296875,True,0.0,0.0,0.0
ctxfree,sp,ctx_random,128,1.0,1.0,1,0.6,1909,0.5999565720558167,0.71429443359375,0.2378201335668563,0.2331909481419212,0.77142333984375,18.76119565963745,0.0168188350388501,0.0294948772869142,0.4498738659645412,0.5957528192679509,0.2077765276235757,0.3535797952316897,3.46890821945824,0.0722296897223392,0.72686767578125,0.71124267578125,0.713134765625,0.747802734375,0.50994873046875,max_steps,0.001,1.70233154296875,True,0.11346435546875,0.147370366904844,0.012423819178934502
