dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs,lam_max_sigma,trace_sigma,eff_rank_sigma
prostate_qcl,0,train,48,0,0,12386,62.01491928100586,177.88565063476562,0.3486223821860412,61108,1877284,30.72075669306801,64,336,5.994511872,34.867159366607666,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,48,0,1,11240,72.38597106933594,204.9289093017578,0.35322479056748207,61108,1877284,30.72075669306801,64,336,5.994511872,53.95061898231506,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,48,0,2,10871,96.2486343383789,249.51251220703125,0.3857467246312573,61108,1877284,30.72075669306801,64,336,5.994511872,35.335466384887695,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,48,0,3,9663,93.44100952148438,271.2322998046875,0.34450546483132943,61108,1877284,30.72075669306801,64,336,5.994511872,45.40463972091675,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,48,1,0,12386,82.93963623046875,121.40169525146484,0.6831835095767989,61108,1877284,30.72075669306801,64,336,5.994322432,132.6023006439209,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,48,1,1,11240,91.26968383789062,169.08517456054688,0.5397852536456903,61108,1877284,30.72075669306801,64,336,5.994322432,132.77121257781982,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,48,1,2,10871,119.27110290527344,249.7707061767578,0.4775223833529446,61108,1877284,30.72075669306801,64,336,5.994322432,69.4262056350708,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,48,1,3,9663,118.43120574951172,212.06036376953125,0.5584787446569865,61108,1877284,30.72075669306801,64,336,5.994322432,95.82519102096558,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,48,2,0,12386,69.72541046142578,138.62887573242188,0.5029645526088525,61108,1877284,30.72075669306801,64,336,5.994322432,50.580549478530884,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,48,2,1,11240,82.80609893798828,202.06024169921875,0.40980896707651737,61108,1877284,30.72075669306801,64,336,5.994322432,38.18406867980957,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,48,2,2,10871,105.75379180908203,283.7012634277344,0.37276461349288315,61108,1877284,30.72075669306801,64,336,5.994322432,38.198702573776245,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,48,2,3,9663,91.89684295654297,259.4521789550781,0.35419568772422644,61108,1877284,30.72075669306801,64,336,5.994322432,43.43845987319946,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,96,0,0,12386,58.25798034667969,111.4485092163086,0.5227344964624671,61108,5498836,89.9855338089939,64,336,6.084329984,129.42817282676697,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,96,0,1,11240,75.22357177734375,131.94012451171875,0.5701341578669079,61108,5498836,89.9855338089939,64,336,6.084329984,88.28499960899353,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,96,0,2,10871,102.42259979248047,187.43861389160156,0.5464327635911399,61108,5498836,89.9855338089939,64,336,6.084329984,87.22831583023071,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,96,0,3,9663,86.00159454345703,172.49220275878906,0.4985825049942726,61108,5498836,89.9855338089939,64,336,6.084329984,132.04930138587952,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,96,1,0,12386,74.66677856445312,132.4606475830078,0.5636902727480811,61108,5498836,89.9855338089939,64,336,6.084329984,45.07830262184143,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,96,1,1,11240,96.69872283935547,215.10670471191406,0.4495383952297589,61108,5498836,89.9855338089939,64,336,6.084329984,49.30850005149841,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,96,1,2,10871,123.7449722290039,249.28369140625,0.4964021975562794,61108,5498836,89.9855338089939,64,336,6.084329984,43.40889763832092,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,96,1,3,9663,92.31330108642578,220.59120178222656,0.4184813371548694,61108,5498836,89.9855338089939,64,336,6.084329984,44.37950563430786,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,96,2,0,12386,107.72526550292969,169.53485107421875,0.6354166404155441,61108,5498836,89.9855338089939,64,336,6.084329984,116.35931444168091,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,96,2,1,11240,126.70386505126953,226.8243408203125,0.5585990665421697,61108,5498836,89.9855338089939,64,336,6.084329984,74.16850996017456,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,96,2,2,10871,167.3087158203125,322.7244567871094,0.518425896462754,61108,5498836,89.9855338089939,64,336,6.084329984,64.19387936592102,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,96,2,3,9663,147.28509521484375,283.5521240234375,0.5194286437532368,61108,5498836,89.9855338089939,64,336,6.084329984,90.3913414478302,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,192,0,0,12386,122.65564727783203,160.6409454345703,0.7635391272506558,61108,18271540,299.00405838842704,64,336,6.297597952,92.97626328468323,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,192,0,1,11240,150.0050811767578,183.00230407714844,0.8196895767690446,61108,18271540,299.00405838842704,64,336,6.297597952,83.0802526473999,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,192,0,2,10871,178.1317138671875,252.8682403564453,0.7044447875940903,61108,18271540,299.00405838842704,64,336,6.297597952,89.55972218513489,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,192,0,3,9663,148.37948608398438,206.437744140625,0.7187614198249935,61108,18271540,299.00405838842704,64,336,6.297597952,134.59679222106934,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,192,1,0,12386,120.08309173583984,149.8748321533203,0.8012225268949503,61108,18271540,299.00405838842704,64,336,6.297597952,44.03211522102356,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,192,1,1,11240,144.84521484375,241.2351837158203,0.6004315482205135,61108,18271540,299.00405838842704,64,336,6.297597952,38.4293053150177,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,192,1,2,10871,180.81471252441406,331.8725280761719,0.5448318171214015,61108,18271540,299.00405838842704,64,336,6.297597952,38.42891335487366,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,192,1,3,9663,143.4193878173828,284.51849365234375,0.5040775591643211,61108,18271540,299.00405838842704,64,336,6.297597952,38.956774950027466,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,192,2,0,12386,104.16878509521484,127.51539611816406,0.8169114339627292,61108,18271540,299.00405838842704,64,336,6.297597952,38.59945821762085,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,192,2,1,11240,143.1558380126953,181.69032287597656,0.7879111872700825,61108,18271540,299.00405838842704,64,336,6.297597952,48.94789266586304,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,192,2,2,10871,175.44522094726562,258.8042907714844,0.6779069250524056,61108,18271540,299.00405838842704,64,336,6.297597952,44.04475927352905,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,192,2,3,9663,132.7720489501953,226.21128845214844,0.5869382109915404,61108,18271540,299.00405838842704,64,336,6.297597952,38.69036340713501,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,384,0,0,12386,113.20035552978516,140.00083923339844,0.80856912108267,61108,65935348,1078.9969889376187,64,336,6.798035968,89.6519935131073,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,384,0,1,11240,143.89279174804688,166.01988220214844,0.8667202375968484,61108,65935348,1078.9969889376187,64,336,6.798035968,52.62756061553955,0.9846520731291472,0.9998989105224609,1.0154844922479678
prostate_qcl,0,train,384,0,2,10871,209.33099365234375,192.29049682617188,1.0886185074532115,61108,65935348,1078.9969889376187,64,336,6.798035968,104.0010678768158,0.9823418992429521,0.9987472891807556,1.0167002852575528
prostate_qcl,0,train,384,0,3,9663,168.45025634765625,189.6298370361328,0.8883109271225028,61108,65935348,1078.9969889376187,64,336,6.798035968,106.85673141479492,0.983084660229314,0.9995265007019043,1.0167247452205745
prostate_qcl,0,train,384,1,0,12386,385.36761474609375,189.75128173828125,2.0309091523166667,61108,65935348,1078.9969889376187,64,336,6.798035968,39.32548761367798,0.9829030840945363,1.0001894235610962,1.0175870233253814
prostate_qcl,0,train,384,1,1,11240,430.5867004394531,253.0291290283203,1.7017277895750085,61108,65935348,1078.9969889376187,64,336,6.798035968,45.11497688293457,0.9846520731291472,0.9998989105224609,1.0154844922479678
