dataset,block,seed,batch,rank,eigenvalue
breast,phi,2,2,4,53.154044342087595
breast,phi,2,2,5,50.45152768763037
breast,phi,2,2,6,46.12745884871119
breast,phi,2,2,7,42.0339418868812
breast,phi,2,2,8,37.11818289403088
breast,phi,2,2,9,35.20336444889473
breast,phi,2,2,10,31.783052542621668
breast,phi,2,2,11,30.45858624830083
breast,phi,2,2,12,28.658436852049448
breast,phi,2,2,13,26.235481362322428
breast,phi,2,2,14,24.528445427802385
breast,phi,2,2,15,22.351088330351757
breast,theta,2,3,1,238.96866397711736
breast,theta,2,3,2,91.24338732305245
breast,theta,2,3,3,86.72800842781744
breast,theta,2,3,4,80.61978628155185
breast,theta,2,3,5,71.845890624727
breast,theta,2,3,6,67.35947023046374
breast,theta,2,3,7,60.03069422261446
breast,theta,2,3,8,55.461650899316176
breast,theta,2,3,9,49.44039295359443
breast,theta,2,3,10,45.43489660420859
breast,theta,2,3,11,44.07863795502677
breast,theta,2,3,12,40.78897909202598
breast,theta,2,3,13,35.619324317320874
breast,theta,2,3,14,32.50741140247027
breast,theta,2,3,15,31.149072171422123
breast,theta,2,3,16,27.9162987775471
breast,theta,2,3,17,26.752151871281797
breast,theta,2,3,18,25.744808094240483
breast,theta,2,3,19,23.71835931370079
breast,theta,2,3,20,23.071423713494557
breast,theta,2,3,21,21.46212303309815
breast,theta,2,3,22,20.638075601554537
breast,theta,2,3,23,19.830759228630527
breast,theta,2,3,24,19.6939769356168
breast,theta,2,3,25,18.337531949985838
breast,theta,2,3,26,17.56622145484279
breast,theta,2,3,27,17.4507128418388
breast,theta,2,3,28,15.787241345608692
breast,theta,2,3,29,15.116430640206765
breast,theta,2,3,30,14.385779763219931
breast,theta,2,3,31,13.955173339663302
breast,theta,2,3,32,13.58701725721836
breast,theta,2,3,33,12.806860156945934
breast,theta,2,3,34,12.681347552363869
breast,theta,2,3,35,12.346978018871978
breast,theta,2,3,36,11.97408984373624
breast,theta,2,3,37,11.385752803235308
breast,theta,2,3,38,11.080425202571508
breast,theta,2,3,39,10.921092058771686
breast,theta,2,3,40,10.665557677392812
breast,phi,2,3,1,168.62920438589188
breast,phi,2,3,2,116.70398076097335
breast,phi,2,3,3,90.61987382195905
breast,phi,2,3,4,53.06097215770554
breast,phi,2,3,5,48.81609567612224
breast,phi,2,3,6,41.004099396309975
breast,phi,2,3,7,37.65682151660629
breast,phi,2,3,8,36.17454352397056
breast,phi,2,3,9,35.019971051155714
breast,phi,2,3,10,33.52543856450612
breast,phi,2,3,11,29.79080508174718
breast,phi,2,3,12,27.434522479816977
breast,phi,2,3,13,25.299478729959326
breast,phi,2,3,14,23.829736144297154
breast,phi,2,3,15,21.732530539342534
