mode,condition,seed,alpha,beta,final_train_loss,final_test_loss,final_test_acc,peak_test_acc
bayes,joint,42,0.8234374999999999,18.753125,0.39147068187594414,1.468801736831665,0.57025146484375,0.69964599609375
bayes,joint,43,0.8234374999999999,18.753125,0.3710685446858406,1.7624430656433105,0.43017578125,0.668365478515625
bayes,joint,44,0.8234374999999999,18.753125,0.3700140528380871,2.5685315132141113,0.433502197265625,0.747100830078125
bayes,frozen,42,0.8234374999999999,18.753125,0.44900650903582573,0.805531919002533,0.662750244140625,0.69488525390625
bayes,frozen,43,0.8234374999999999,18.753125,0.4022391904145479,1.3541007041931152,0.45379638671875,0.68560791015625
bayes,frozen,44,0.8234374999999999,18.753125,0.417631059885025,0.5703558921813965,0.7154541015625,0.732391357421875
bayes,spectral_only,42,0.8234374999999999,18.753125,0.3218861762434244,1.0221763849258423,0.544647216796875,0.6761474609375
bayes,spectral_only,43,0.8234374999999999,18.753125,0.317736579105258,1.1788833141326904,0.514739990234375,0.6728515625
bayes,spectral_only,44,0.8234374999999999,18.753125,0.3041019085794687,1.0884004831314087,0.534271240234375,0.68145751953125
bayes,spatial_only,42,0.8234374999999999,18.753125,0.43456471525132656,6.263612747192383,0.455963134765625,0.4876708984375
bayes,spatial_only,43,0.8234374999999999,18.753125,0.4097966458648443,1.7171826362609863,0.560150146484375,0.69268798828125
bayes,spatial_only,44,0.8234374999999999,18.753125,0.4163938257843256,1.554205298423767,0.561065673828125,0.591522216796875
ntk,joint,42,0.9926269531249998,4.91298828125,0.3132931627333164,0.9434380531311035,0.55377197265625,0.6976318359375
ntk,joint,43,0.9926269531249998,4.91298828125,0.317798038944602,1.079958438873291,0.514617919921875,0.71087646484375
ntk,joint,44,0.9926269531249998,4.91298828125,0.30369455367326736,1.121140956878662,0.535247802734375,0.729583740234375
ntk,frozen,42,0.9926269531249998,4.91298828125,0.3661291468888521,0.808933675289154,0.55389404296875,0.61834716796875
ntk,frozen,43,0.9926269531249998,4.91298828125,0.36294139362871647,0.8145260810852051,0.54534912109375,0.724365234375
ntk,frozen,44,0.9926269531249998,4.91298828125,0.35877133533358574,0.7319018840789795,0.61029052734375,0.726348876953125
ntk,spectral_only,42,0.9926269531249998,4.91298828125,0.3007033560425043,0.9697420597076416,0.555145263671875,0.703704833984375
ntk,spectral_only,43,0.9926269531249998,4.91298828125,0.2959684953093529,1.1422603130340576,0.51849365234375,0.7069091796875
ntk,spectral_only,44,0.9926269531249998,4.91298828125,0.28019649907946587,1.0177459716796875,0.549591064453125,0.71826171875
ntk,spatial_only,42,0.9926269531249998,4.91298828125,0.43972134590148926,1.3791835308074951,0.483856201171875,0.49249267578125
ntk,spatial_only,43,0.9926269531249998,4.91298828125,0.43582711182534695,1.2990410327911377,0.490997314453125,0.555084228515625
ntk,spatial_only,44,0.9926269531249998,4.91298828125,0.43432846665382385,1.2977913618087769,0.50262451171875,0.51812744140625
margin,joint,42,4.999999926239252,4.999999926239252,0.09403486922383308,0.7849794626235962,0.65399169921875,0.901947021484375
margin,joint,43,4.999999926239252,4.999999926239252,0.09436764055863023,1.497412919998169,0.46832275390625,0.916748046875
margin,joint,44,4.999999926239252,4.999999926239252,0.09232906252145767,0.7194924354553223,0.689910888671875,0.922149658203125
margin,frozen,42,4.999999926239252,4.999999926239252,0.09796858439221978,0.6848070621490479,0.663482666015625,0.730224609375
margin,frozen,43,4.999999926239252,4.999999926239252,0.09665285050868988,0.9100092649459839,0.608184814453125,0.924774169921875
margin,frozen,44,4.999999926239252,4.999999926239252,0.09275090647861362,0.459203839302063,0.804229736328125,0.914947509765625
margin,spectral_only,42,4.999999926239252,4.999999926239252,0.09439641516655684,0.826842188835144,0.651275634765625,0.90277099609375
margin,spectral_only,43,4.999999926239252,4.999999926239252,0.09643341414630413,1.4705417156219482,0.48211669921875,0.91558837890625
margin,spectral_only,44,4.999999926239252,4.999999926239252,0.09136787569150329,0.8867167234420776,0.65032958984375,0.926727294921875
margin,spatial_only,42,4.999999926239252,4.999999926239252,0.4386866055428982,1.4376566410064697,0.481170654296875,0.49114990234375
margin,spatial_only,43,4.999999926239252,4.999999926239252,0.4351653475314379,1.3167104721069336,0.50054931640625,0.5570068359375
margin,spatial_only,44,4.999999926239252,4.999999926239252,0.43473573215305805,1.2766988277435303,0.509124755859375,0.520233154296875
