step,grad_theta_norm,grad_phi_norm,egr
0,0.026514781573907846,0.11770259756411346,0.22526929840473386
1,0.032370146309323375,0.12023514405344098,0.2692236663738397
2,0.04166086614113924,0.12119309626764188,0.34375610017250446
3,0.05128072434812071,0.12313199276105198,0.4164695397013416
4,0.06340727692759975,0.12849657227137357,0.49345500666893777
5,0.07601268652365498,0.1397317964967854,0.5439899037214461
6,0.0851543406613682,0.14033840576701995,0.6067785948924682
7,0.09373642902695915,0.14586602851474306,0.6426200122178711
8,0.10273967373893715,0.15059466978013,0.682226495056273
9,0.11076816055784802,0.15861063772461667,0.6983652682203308
10,0.11557400084544722,0.15782920483973334,0.7322725915148203
11,0.12347664031448978,0.16263608500304177,0.7592204418313512
12,0.12865130905770764,0.16783884246367137,0.7665168989996319
13,0.12916280762486182,0.16284783850240084,0.7931502733587983
14,0.13042922277787627,0.16112506063917162,0.8094906047492759
15,0.124625598963424,0.15153736824983194,0.8224083630457255
16,0.12035457290356125,0.14495099087158728,0.8303121777853425
17,0.11104153251624935,0.13335689872030843,0.8326643284372253
18,0.1030268194537811,0.1279613649255221,0.8051400476459524
19,0.09136681561926435,0.1079622925613709,0.8462845077736824
20,0.07737524157310761,0.09237534697275727,0.8376178721698224
21,0.06454607012894917,0.08848607538002666,0.7294488974791761
22,0.056720287109070455,0.06890008009145938,0.8232252710440329
23,0.0345865825578273,0.05023554175409243,0.6884882963230157
24,0.027776289005811264,0.0493829182462589,0.5624675493403641
25,0.009082641183717148,0.045169642905262146,0.2010784367404854
26,0.009030858102765207,0.037273732217032084,0.24228478248272406
27,0.02858628555355983,0.06015473033329353,0.47521259582911163
28,0.03213949253734937,0.06703765188727966,0.47942449701118467
29,0.04818618319032011,0.06993679271139926,0.6889961824311264
30,0.0616225927082932,0.09236325385580707,0.6671765029394499
31,0.055405883859660686,0.07803539729451094,0.7100096338312352
32,0.05487412302455863,0.07603349531894495,0.7217098568683605
33,0.07848568744120263,0.11224941553387106,0.6992079831081214
34,0.06029218125763568,0.08578438857925401,0.7028339568012475
35,0.054025409997607195,0.07300010039370436,0.7400730917559992
36,0.05719563467049394,0.07745201732578443,0.7384653963133709
37,0.05080436217268263,0.09454980684829101,0.5373290952742289
38,0.040239518494207746,0.08664124603772867,0.4644383631812112
39,0.0433249529175398,0.0671102837128873,0.6455784496791579
40,0.0443621600952318,0.06830882685772337,0.6494352506884918
41,0.027775445518790808,0.05478311765353448,0.5070073903778967
42,0.02609143282722515,0.059138924261236195,0.44118883041445717
43,0.015476996873028242,0.03632916895704851,0.4260212197779824
44,0.012379306842630458,0.06544435582658369,0.18915774608958394
45,0.012774877801494005,0.03915402348952862,0.32627241500695975
46,0.009143656672127244,0.039263198591703706,0.23288109476201496
47,0.01862182204584997,0.04485466729731224,0.41515907189775675
48,0.014224385651826401,0.032046123291532676,0.4438722750324355
49,0.023374671966882535,0.04338504940151334,0.5387725100879663
50,0.020737002400628517,0.06932389967478425,0.29913208139778413
51,0.023022902424807583,0.042623923853243983,0.5401403799316152
52,0.020340068842633414,0.04687641667544875,0.43390835487757107
53,0.02265511162545232,0.04300994178776518,0.526741276161647
54,0.013519994811916103,0.03114675303041609,0.43407397227824024
55,0.027630180673992876,0.042693446834810696,0.6471761528239282
56,0.029545874235502312,0.04764153308436841,0.6201705176565024
57,0.02294296321427828,0.04908482784587665,0.46741456007241916
58,0.017768035974397616,0.04464497539411422,0.39798512188993357
59,0.018780791002030603,0.03998618327094197,0.46968201176652324
60,0.01812343761913118,0.05620300201591747,0.3224638714792478
61,0.017289867809646576,0.04036086009510171,0.4283820455876889
62,0.012522870265147935,0.03723651448109593,0.3363061886785667
63,0.00832142261981724,0.04631431530254305,0.1796727980383346
64,0.009502631406549219,0.054750142697163114,0.17356359158618295
65,0.009705277334609252,0.05858477105196965,0.1656621193557996
66,0.009121546611530276,0.05368238131597838,0.1699169520381422
67,0.00988326591603151,0.035172842795876486,0.28099138796108886
68,0.011618628560983934,0.03460690444843303,0.3357315179102731
69,0.008574274007672408,0.0662596270275845,0.1294041996942339
70,0.00939867981296994,0.03818686967919997,0.24612333746337917
71,0.010718961961535222,0.07085565606774713,0.15127884711328105
72,0.008924048271055104,0.05815900099259052,0.1534422551728251
73,0.011335390736981357,0.03935338646285104,0.2880410494632715
74,0.007874563153749944,0.046356519186481066,0.16986959529689044
75,0.007659011100119626,0.04503430585464565,0.1700705929535154
76,0.010879376492126454,0.04674329923845371,0.23274729574380812
77,0.011259728260631716,0.05057479684402009,0.2226351653993924
78,0.007189464462196072,0.03061461071286743,0.23483769006213354
79,0.0066918238820852655,0.03649960358144274,0.18333963181189747
80,0.009147297245734506,0.045737812535152904,0.1999942003895384
81,0.00983980806764665,0.08217417831611826,0.11974330950622786
82,0.00832125386573243,0.03482440910902471,0.23894888896584432
83,0.00982168690784189,0.05977834443668663,0.16430175509594594
84,0.010764133458094668,0.031445343588601425,0.3423124771215485
85,0.007483241173484237,0.04090621022034332,0.18293655493853997
86,0.008110077787035267,0.040785243186598506,0.1988483371235919
87,0.009562407483988806,0.05008244061771807,0.19093333643198895
88,0.00860140389193135,0.03635173898493207,0.23661602255837194
89,0.008912219510379168,0.035487367511026206,0.25113780297619803
90,0.007977885072676863,0.051840797279681466,0.15389202117170817
91,0.011179570252092262,0.03400762405842469,0.3287371747157978
92,0.01105945541835835,0.037437647039986935,0.295410002830851
93,0.011607541468641428,0.05733792651697418,0.20244090035245205
94,0.008405323379991378,0.02544545885161144,0.33032705083755054
95,0.006906145144688503,0.038852568458484484,0.1777526021706967
96,0.01656089738973595,0.0362663900386453,0.4566458743655514
97,0.014631249854577142,0.03448274097410442,0.424306462909677
98,0.007525968466891412,0.033720018286612995,0.2231899283890978
99,0.008556458655104909,0.049446121922722755,0.17304610194312892
