dataset,fold,split,core,n_valid_px,width,seed,mode,head_in,lam_WW,resid_WW,ray_WW,iters_WW,stop_WW,lam_Wb,resid_Wb,ray_Wb,iters_Wb,stop_Wb,lam_phi,resid_phi,ray_phi,iters_phi,stop_phi,secs_phi,activation_energy_ratio_sqrt,energy_preBN_labeled,energy_postBN_labeled,p_min_mean,fused_max_dev_vs_train,fused_sq_sum,head_max_dev_vs_module,logit_absmax,lam_Sh,lam_Sh_cen,lam_Shup,lam_Shsk,cos_u_mu_Sh,lamS9_full,lamS9cen_full,trS9_full,mu9norm_full,n_full,lamS9_valid,lamS9cen_valid,trS9_valid,mu9norm_valid,n_valid,cos_s9cen_valid_full,cos_s9cen_mu9,cos_s9_mu9,bn1_eps,bn1_var_min,bn1_var_med,bn1_var_max,bn1_gain_min,bn1_gain_med,bn1_gain_max,bn1_frac_var_lt_10eps,bn1_mean_absmax,bn1_gamma_min,bn1_gamma_max,bn2_eps,bn2_var_min,bn2_var_med,bn2_var_max,bn2_gain_min,bn2_gain_med,bn2_gain_max,bn2_frac_var_lt_10eps,bn2_mean_absmax,bn2_gamma_min,bn2_gamma_max,tf32,direction,e_pre,e_cen,e_bn1,e_relu1,e_bn2,e_logit_valid,e_final,quad_min,c_star,dW_fro,ggn_quad,n_channels,e_pre_mean,e_cen_mean,e_bn1_mean,e_relu1_mean,e_bn2_mean,e_logit_valid_mean,e_final_mean,xcheck_rel_disc,xcheck_abs_disc,xcheck_both_zero,e_final_max_over_c,secs_dir,peak_gb
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,s9cen,63.06642885753381,63.06631216553194,1043.6423348576166,632.258935100118,840.6335390315633,17.133894855066448,2.7896406990607634,0.0011852230172617606,71,1.0,2.7896413803100586,96,63.0664288575338,63.06631216553194,381.5716501221438,193.02740231946768,264.49961507987666,5.802382385143922,1.0018414275385306,2.442067643555867e-07,6.812492951979721e-07,False,2.7896406990607634,1.6200990676879883,
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,mu9,259.4657803099833,259.46229325304205,2321.3277860697694,1801.90744671953,2196.5846485605093,63.136346991285485,10.458560475509373,0.00630875479435089,77,1.0,10.458558082580566,96,259.46578030998324,259.462293253042,1472.6658307628595,700.2416536104816,837.9251802796484,18.805422670375773,3.3367025857046375,2.288009723536821e-07,2.3929288062163323e-06,False,10.458560475509373,1.3014395236968994,
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,s9,259.0614242373785,259.0579885476975,2321.60027541293,1794.0439033424823,2188.0893901838203,63.17890197798153,10.474558455338313,0.006588211855185544,77,1.0,10.47455883026123,96,259.0614242373785,259.05798854769745,1467.8319854777872,698.8891438004457,837.5050814317634,18.854664293077416,3.345338819837633,3.579367147356349e-08,3.749229176008839e-07,False,10.474558455338313,1.3013989925384521,
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,s9cen_full,263.3425538293905,263.33910372188694,2348.03371132824,1840.837294539287,2244.84322841804,63.24525262582946,10.444634481635582,0.007064713538678102,77,1.0,10.444633483886719,96,263.3425538293905,263.33910372188694,1494.9881201461383,709.7872786556055,848.0312159873939,18.597777393414713,3.291775537072517,9.552740833961592e-08,9.97748863085235e-07,False,10.444634481635582,1.3007793426513672,
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,ggn_top,251.20183513740574,251.19851246524908,2239.0581366722477,1257.15859204688,2663.8700749861773,187.53653278019024,44.957860928766756,0.05622890118001806,-1,0.9999999403953552,44.957855224609375,0,,,,,,,,1.268778643659523e-07,5.704157381103414e-06,False,44.957860928766756,0.10076737403869629,
breast,0,train,D13,29664,48,0,train,112,44.957855224609375,0.00012081631259027565,44.957855224609375,19,tol+resid,44.957855224609375,0.00018189034139775274,44.957855224609375,18,tol+resid,108.6612548828125,0.0007355680050578384,108.6612548828125,14,tol+resid,1.1886537075042725,2.270010662625028,25.641616821289062,132.1299285888672,0.1301313042640686,0.0,7231102.752395104,1.3113021850585938e-06,3.849500894546509,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.07756293808462529,0.11957493276016826,0.2998534714048951,1.8261574434889802,2.8917602254850774,3.5904169015354364,0.0,0.6958593572223792,1.0,1.0,False,bias_ec,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.734723475976807e-18,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-18,True,0.0,1.2945730686187744,2.678523392
breast,0,train,D13,29664,48,0,eval_head,112,3.2927026748657227,0.00020002509814294039,3.2927026748657227,20,tol+resid,3.3015453815460205,0.00013176316966800316,3.3015453815460205,21,tol+resid,10.184004783630371,0.0009839699129133473,10.184004783630371,12,tol+resid,0.9085211753845215,0.9999949418152545,25.641616821289062,25.641357421875,0.22027455270290375,0.0,7231102.752395104,2.980232238769531e-07,0.6591474413871765,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.01149147074539599,0.021619432503759722,0.08050712665514978,3.524162015322178,6.799538521906522,9.32445184517797,0.0,0.32470553013195624,1.0,1.0,False,s9cen,63.06642885753381,63.06631216553194,63.065797076612725,39.77487689383778,7.125231863062954,0.5661538306546916,0.13286206764406108,5.129603768769448e-05,40,1.0,0.13286203145980835,96,63.0664288575338,63.06631216553194,63.06579707661274,32.58411271991815,5.435092441076221,0.13690020616640272,0.027936901797100372,2.723444951190573e-07,3.618425273299586e-08,False,0.13286206764406108,1.1066009998321533,
breast,0,train,D13,29664,48,0,eval_head,112,3.2927026748657227,0.00020002509814294039,3.2927026748657227,20,tol+resid,3.3015453815460205,0.00013176316966800316,3.3015453815460205,21,tol+resid,10.184004783630371,0.0009839699129133473,10.184004783630371,12,tol+resid,0.9085211753845215,0.9999949418152545,25.641616821289062,25.641357421875,0.22027455270290375,0.0,7231102.752395104,2.980232238769531e-07,0.6591474413871765,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.01149147074539599,0.021619432503759722,0.08050712665514978,3.524162015322178,6.799538521906522,9.32445184517797,0.0,0.32470553013195624,1.0,1.0,False,mu9,259.46578030998324,259.4622932530421,259.46318898710473,126.00916157434882,22.348108969810593,2.9793635130736122,0.7188197433583758,0.0048567112700326175,40,1.0,0.7188195586204529,96,259.46578030998324,259.462293253042,259.4631889871048,130.6656955709387,21.53337894122888,0.5101844412276524,0.10674928448189204,2.570017374537259e-07,1.8473792295914393e-07,False,0.7188197433583758,1.1069252490997314,
breast,0,train,D13,29664,48,0,eval_head,112,3.2927026748657227,0.00020002509814294039,3.2927026748657227,20,tol+resid,3.3015453815460205,0.00013176316966800316,3.3015453815460205,21,tol+resid,10.184004783630371,0.0009839699129133473,10.184004783630371,12,tol+resid,0.9085211753845215,0.9999949418152545,25.641616821289062,25.641357421875,0.22027455270290375,0.0,7231102.752395104,2.980232238769531e-07,0.6591474413871765,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.01149147074539599,0.021619432503759722,0.08050712665514978,3.524162015322178,6.799538521906522,9.32445184517797,0.0,0.32470553013195624,1.0,1.0,False,s9,259.06142423737845,259.0579885476975,259.05883196942546,127.35076428576401,22.594622534354947,2.9993344689027848,0.7235637129265003,0.0037989617949555727,40,1.0,0.723563551902771,96,259.0614242373785,259.05798854769745,259.0588319694254,130.68313482978823,21.53980066008496,0.5134429431535534,0.10741959506298882,2.2254257154365763e-07,1.6102372935034026e-07,False,0.7235637129265003,1.1064684391021729,
breast,0,train,D13,29664,48,0,eval_head,112,3.2927026748657227,0.00020002509814294039,3.2927026748657227,20,tol+resid,3.3015453815460205,0.00013176316966800316,3.3015453815460205,21,tol+resid,10.184004783630371,0.0009839699129133473,10.184004783630371,12,tol+resid,0.9085211753845215,0.9999949418152545,25.641616821289062,25.641357421875,0.22027455270290375,0.0,7231102.752395104,2.980232238769531e-07,0.6591474413871765,46.79263876348104,27.50267521383414,0.002755235679540737,46.79157906870773,0.9288554634539383,263.3426217515221,263.33917181519257,575.572157629434,0.13387678553822674,112896,356.3029865220665,68.19236077250324,783.5363651530918,18.60832336235298,29664,0.2792987270265429,0.29430014769523577,0.9978986386939862,1e-05,0.0572970975594726,0.14697553518117873,0.7882769040355223,1.1263097514523221,2.608609953289493,4.177301225284592,0.0,0.03376497145783557,1.0,1.0,1e-05,0.01149147074539599,0.021619432503759722,0.08050712665514978,3.524162015322178,6.799538521906522,9.32445184517797,0.0,0.32470553013195624,1.0,1.0,False,s9cen_full,263.3425538293905,263.3391037218869,263.3399213258747,126.22556990524153,22.381099152742312,2.904555051232611,0.7008454722285167,0.005740708479677685,40,1.0,0.7008453011512756,96,263.3425538293905,263.33910372188694,263.3399213258748,132.57185438326977,21.837177683938847,0.5027003260534596,0.10514389556810899,2.441012289002426e-07,1.7107724104015176e-07,False,0.7008454722285167,1.107053518295288,
