dataset,fold,split,core,n_valid_px,width,seed,mode,head_in,n_params_W,n_params_b,lam_WW,lam_Wb,lam_phi,ratio_WW_Sh,ratio_WW_Sh9,ratio_WW_phi,energy_in,energy_preBN,energy_postBN,bn_gain_rms,lam_Sh,trace_Sh,eff_rank_Sh,lam_Sh_cen,trace_Sh_cen,cen_frac_Sh,cos_u_mu_Sh,dim_Sh,lam_Shup,trace_Shup,eff_rank_Shup,lam_Shup_cen,trace_Shup_cen,cen_frac_Shup,cos_u_mu_Shup,dim_Shup,lam_Shsk,trace_Shsk,eff_rank_Shsk,lam_Shsk_cen,trace_Shsk_cen,cen_frac_Shsk,cos_u_mu_Shsk,dim_Shsk,lam_Sh9,trace_Sh9,eff_rank_Sh9,lam_Sh9_cen,trace_Sh9_cen,cen_frac_Sh9,cos_u_mu_Sh9,dim_Sh9,p_min_mean,p_min_min,logit_absmax,logit_std,reduce_dim,spatial_size,peak_gb,secs
breast,0,train,D13,29664,48,0,train,112,96768,96,44.955238342285156,44.95524978637695,108.66259002685547,0.9607706530516346,0.12618032335125814,0.4137140328716136,86.22274780273438,25.641563415527344,132.12933349609375,2.270007914691724,46.7908113132897,86.22275434168358,1.842728346050163,27.505776163202214,47.29496040644081,0.5878456772000856,0.9288201141618537,112,0.0027554380163757916,0.06318607621499878,22.93140903169616,0.002432852223271767,0.061709607845882475,0.882927581318516,0.9578438278276783,48,46.78975165165421,86.15956826546862,1.8414196533232194,27.505773735447796,47.23325079859495,0.5878589384322017,0.928813077762653,64,356.2777234065228,783.5247718887653,2.199196639063346,68.19901442748305,437.28028253035154,0.19142093357789333,0.9978978798452074,1008,0.1301235854625702,0.002374200150370598,3.6755290031433105,0.5477861166000366,64,336,2.564062208,2.7615127563476562
breast,0,train,D13,29664,48,0,eval_head,112,96768,96,3.29213809967041,3.3009703159332275,10.182768821716309,0.07035864536794995,0.00924037031614797,0.3233048061200627,86.22274780273438,25.641563415527344,25.64130210876465,0.9999949046120123,46.7908113132897,86.22275434168358,1.842728346050163,27.505776163202214,47.29496040644081,0.5878456772000856,0.9288201141618537,112,0.0027554380163757916,0.06318607621499878,22.93140903169616,0.002432852223271767,0.061709607845882475,0.882927581318516,0.9578438278276783,48,46.78975165165421,86.15956826546862,1.8414196533232194,27.505773735447796,47.23325079859495,0.5878589384322017,0.928813077762653,64,356.2777234065228,783.5247718887653,2.199196639063346,68.19901442748305,437.28028253035154,0.19142093357789333,0.9978978798452074,1008,0.22027240693569183,0.15071767568588257,0.6187321543693542,0.13223233819007874,64,336,2.432400384,1.4597291946411133
breast,0,train,D13,29664,48,0,eval,112,96768,96,0.0046797445975244045,0.015940435230731964,0.4585031270980835,0.10064493909269283,0.011239977478831065,0.010206570731901047,0.10877466946840286,0.06991521269083023,0.06991450488567352,0.9999949381048782,0.04649756500139976,0.108774676104258,2.339362848376758,0.002624722512323153,0.06234455888447174,0.056448601389000444,0.9999817543181423,112,0.0033221420583446344,0.06330473445366387,19.055396591080008,0.002624659050030883,0.06141956045522376,0.7900502157751511,0.9425657553928469,48,0.04456074750952666,0.04546994165059417,1.0204034759711589,0.0005532584602603075,0.0009249984292479959,0.012415825388522176,0.9999996170966536,64,0.4163482183427905,0.9780215110998964,2.34904694679074,0.006609099218412761,0.5618811467832521,0.01587397021829289,0.9999993289874359,1008,0.2444806545972824,0.24312926828861237,0.03965720161795616,0.02093273587524891,64,336,2.43239936,3.798628330230713
breast,0,train,D13,29664,48,1,train,112,96768,96,75.07967376708984,75.0796890258789,128.2144317626953,1.4025190071886018,0.18596760448694655,0.5855789612362083,84.8134765625,26.281278610229492,130.78260803222656,2.2307543663420812,53.53201873362819,84.81347894592132,1.5843504682300067,24.578107352938538,41.24582558311498,0.4591290957144281,0.9566873493543909,112,0.003219526328288469,0.06317720284094233,19.62313595196718,0.002127074603238186,0.06136538067172839,0.6606793628455772,0.961510140530184,48,53.53066290961398,84.7503017430804,1.583210390765765,24.578105368828066,41.184460202443276,0.4591406874659476,0.9566838378110796,64,403.724476498055,770.8795967198917,1.9094200168554938,54.604502431534314,382.59059221448416,0.135251899773774,0.9981071759814715,1008,0.16803817451000214,0.011879793368279934,2.8918259143829346,0.3527117967605591,64,336,2.560674304,2.809180736541748
breast,0,train,D13,29664,48,1,eval_head,112,96768,96,2.1070668697357178,2.112246036529541,6.595489501953125,0.03936087073832101,0.005219071402389616,0.3194708852332721,84.8134765625,26.281278610229492,26.28101348876953,0.9999949560648757,53.53201873362819,84.81347894592132,1.5843504682300067,24.578107352938538,41.24582558311498,0.4591290957144281,0.9566873493543909,112,0.003219526328288469,0.06317720284094233,19.62313595196718,0.002127074603238186,0.06136538067172839,0.6606793628455772,0.961510140530184,48,53.53066290961398,84.7503017430804,1.583210390765765,24.578105368828066,41.184460202443276,0.4591406874659476,0.9566838378110796,64,403.724476498055,770.8795967198917,1.9094200168554938,54.604502431534314,382.59059221448416,0.135251899773774,0.9981071759814715,1008,0.23049992322921753,0.17076528072357178,0.3783707320690155,0.06722480058670044,64,336,2.432400384,2.4947192668914795
breast,0,train,D13,29664,48,1,eval,112,96768,96,0.0022937036119401455,0.00961985718458891,0.41224032640457153,0.06560375153631098,0.007323481138466729,0.005563996205672298,0.0986035093665123,0.053791072219610214,0.05379052832722664,0.9999949443863452,0.034962994618845916,0.09860350602731517,2.8202248435025488,0.0026596372854522897,0.06371129653062257,0.07607006534899845,0.9999638096167262,112,0.0030464657258425253,0.06421812448513659,21.079549308691643,0.002659589459782967,0.06257830418504291,0.8730081672090486,0.8933511629994348,48,0.0332666405364735,0.03438538154217863,1.0336295155646553,0.000876718624524308,0.0011329923455797055,0.026354287970950206,0.9999964627534768,64,0.3131985415914328,0.8869824305813729,2.832013284846137,0.0067636075506124355,0.5739176316537317,0.021595271536850116,0.9999987857332366,1008,0.2407248318195343,0.23930490016937256,0.057469114661216736,0.03011351451277733,64,336,2.43239936,3.0813145637512207
breast,0,train,D13,29664,192,0,train,256,221184,96,120.76947021484375,120.76945495605469,175.19276428222656,2.5810423775247586,0.33897364303587174,0.6893519301989569,86.40946960449219,11.07023811340332,130.4457550048828,3.432705091626754,46.79096758212187,86.40947633728989,1.8467127482592527,27.505784164789365,47.48144624711624,0.587843884965929,0.9288211876286024,256,0.003961633290552086,0.24990807182131294,63.08208092286255,0.0038998857689446914,0.24819544852131414,0.9844136200706276,0.49878552034230217,192,46.78975165165421,86.15956826546862,1.8414196533232194,27.505773735447796,47.23325079859495,0.5878589384322017,0.928813077762653,64,356.2798249835117,785.2056096956717,2.203901412975069,68.19907687255743,438.95890457391664,0.1914199797187888,0.9978979234018078,2304,0.15680666267871857,0.001604991382919252,3.376216173171997,0.43013840913772583,64,336,3.065458688,3.948301076889038
breast,0,train,D13,29664,192,0,eval_head,256,221184,96,3.4198832511901855,3.4290354251861572,5.952793598175049,0.07308853455932533,0.009598868673937557,0.5745005592397191,86.40946960449219,11.07023811340332,11.070125579833984,0.9999949172793677,46.79096758212187,86.40947633728989,1.8467127482592527,27.505784164789365,47.48144624711624,0.587843884965929,0.9288211876286024,256,0.003961633290552086,0.24990807182131294,63.08208092286255,0.0038998857689446914,0.24819544852131414,0.9844136200706276,0.49878552034230217,192,46.78975165165421,86.15956826546862,1.8414196533232194,27.505773735447796,47.23325079859495,0.5878589384322017,0.928813077762653,64,356.2798249835117,785.2056096956717,2.203901412975069,68.19907687255743,438.95890457391664,0.1914199797187888,0.9978979234018078,2304,0.23333655297756195,0.1638212949037552,0.35490286350250244,0.0641479343175888,64,336,3.06366976,2.7580621242523193
breast,0,train,D13,29664,192,0,eval,256,221184,96,0.003316843416541815,0.011101261712610722,0.4393155574798584,0.07049472632874204,0.007876745813327491,0.00755002494236477,0.29765400290489197,0.05224047601222992,0.05223994329571724,0.9999949012919538,0.04705094393975219,0.2976540153416586,6.32620709422533,0.004364868944171115,0.25069296324419865,0.09276899842350121,0.999958304526884,256,0.004623058779689137,0.2521840736910644,54.54918176662718,0.004364846250961074,0.24976796481495067,0.9441468211776823,0.7286525872160422,192,0.04456074750952666,0.04546994165059417,1.0204034759711589,0.0005532584602603075,0.0009249984292479959,0.012415825388522176,0.9999996170966536,64,0.42109311321557436,2.6777468548389143,6.359037397669501,0.016936571491801996,2.2568793578646704,0.04022049033875197,0.999997720207237,2304,0.2382621169090271,0.23642170429229736,0.0586814358830452,0.03202231973409653,64,336,3.063668736,5.356903791427612
breast,0,train,D13,29664,192,1,train,256,221184,96,140.33314514160156,140.33316040039062,186.7590789794922,2.621472524397698,0.3475946660026366,0.75141270726127,85.00108337402344,10.674973487854004,131.49710083007812,3.5097379074881156,53.53218232712323,85.00108607645274,1.5878501936840543,24.57811513071278,41.43321027333147,0.4591278379147967,0.956687743803686,256,0.004252798763035502,0.25078433337235884,58.96924527728125,0.004106067056101159,0.24875007088822018,0.9654976134281954,0.6515904863420015,192,53.53066290961398,84.7503017430804,1.583210390765765,24.578105368828066,41.184460202443276,0.4591406874659476,0.9566838378110796,64,403.72640568810425,772.5678398810579,1.9135925443477169,54.6045618669991,384.27680980440005,0.13525140069531008,0.998107200188186,2304,0.15913380682468414,0.004147796425968409,3.2532265186309814,0.42730414867401123,64,336,3.065458688,4.005953788757324
