width,seed,coscale_eps,c,eps,eps0,logits_max_dev,lam_WW,resid_WW,iters_WW,stop_WW,W_fro2,invariant_Wfro2_lam,var_min,var_med,var_max,var_over_eps_med,frac_var_lt_10eps,ratio_c2lam_over_lam1
48,0,True,0.25,6.25e-07,1e-05,0.0,719.32568359375,0.00012081631259027565,19,tol+resid,2.0034615651562833,1441.1413599098478,0.0035810685974670374,0.00918597094882367,0.049267306502220144,14697.553518117871,0.0,1.0
48,0,True,0.5,2.5e-06,1e-05,0.0,179.8314208984375,0.00012081631259027565,19,tol+resid,8.013846260625133,1441.1413599098478,0.01432427438986815,0.03674388379529468,0.19706922600888058,14697.553518117871,0.0,1.0
48,0,True,1.0,1e-05,1e-05,0.0,44.957855224609375,0.00012081631259027565,19,tol+resid,32.05538504250053,1441.1413599098478,0.0572970975594726,0.14697553518117873,0.7882769040355223,14697.553518117871,0.0,1.0
48,0,True,2.0,4e-05,1e-05,0.0,11.239463806152344,0.00012081631259027565,19,tol+resid,128.22154017000213,1441.1413599098478,0.2291883902378904,0.5879021407247149,3.1531076161420892,14697.553518117871,0.0,1.0
48,0,True,4.0,0.00016,1e-05,0.0,2.809865951538086,0.00012081631259027565,19,tol+resid,512.8861606800085,1441.1413599098478,0.9167535609515616,2.3516085628988597,12.612430464568357,14697.553518117871,0.0,1.0
48,0,False,0.25,1e-05,1e-05,0.0009400844573974609,719.3577880859375,0.00012108539856284912,19,tol+resid,2.0034615651562833,1441.2056800260143,0.0035810685974670374,0.00918597094882367,0.049267306502220144,918.597094882367,0.0,1.0000446313720193
48,0,False,0.5,1e-05,1e-05,0.00018858909606933594,179.8292694091797,0.00018200676466511307,18,tol+resid,8.013846260625133,1441.1241182057042,0.01432427438986815,0.03674388379529468,0.19706922600888058,3674.388379529468,0.0,0.9999880360770823
48,0,False,1.0,1e-05,1e-05,0.0,44.957855224609375,0.00012081631259027565,19,tol+resid,32.05538504250053,1441.1413599098478,0.0572970975594726,0.14697553518117873,0.7882769040355223,14697.553518117871,0.0,1.0
48,0,False,2.0,1e-05,1e-05,4.6253204345703125e-05,11.239402770996094,0.00018187034427324415,18,tol+resid,128.22154017000213,1441.1335338881088,0.2291883902378904,0.5879021407247149,3.1531076161420892,58790.214072471485,0.0,0.9999945695669026
48,0,False,4.0,1e-05,1e-05,5.841255187988281e-05,2.809847116470337,0.00027381256914435443,17,tol+resid,512.8861606800085,1441.1316996642638,0.9167535609515616,2.3516085628988597,12.612430464568357,235160.85628988594,0.0,0.9999932968091454
192,0,True,0.25,6.25e-07,1e-05,0.0,1935.2677001953125,6.836932097694954e-05,18,tol+resid,2.0023466604595836,3875.076816581383,0.001476746221903131,0.004235638591962422,0.022910398425211434,6777.021747139875,0.0,1.0
192,0,True,0.5,2.5e-06,1e-05,0.0,483.81695556640625,0.00011677078382715637,17,tol+resid,8.009386641838335,3875.077061008465,0.005906984887612524,0.016942554367849687,0.09164159370084574,6777.021747139875,0.0,1.0000000630767063
192,0,True,1.0,1e-05,1e-05,0.0,120.95423126220703,6.836798121292233e-05,18,tol+resid,32.03754656735334,3875.076816581383,0.023627939550450096,0.06777021747139875,0.36656637480338294,6777.021747139875,0.0,1.0
192,0,True,2.0,4e-05,1e-05,0.0,30.238557815551758,4.0023013328121856e-05,19,tol+resid,128.15018626941335,3875.076816581383,0.09451175820180038,0.271080869885595,1.4662654992135318,6777.021747139875,0.0,1.0
192,0,True,4.0,0.00016,1e-05,0.0,7.559639930725098,6.837977298302546e-05,18,tol+resid,512.6007450776534,3875.077061008465,0.37804703280720153,1.08432347954238,5.865061996854127,6777.021747139875,0.0,1.0000000630767063
192,0,False,0.25,1e-05,1e-05,0.0030007362365722656,1934.823974609375,6.889589117627292e-05,18,tol+resid,2.0023466604595836,3874.18832413622,0.001476746221903131,0.004235638591962422,0.022910398425211434,423.56385919624216,0.0,0.9997706531100535
192,0,False,0.5,1e-05,1e-05,0.0006022453308105469,483.7663269042969,4.0122263309522406e-05,19,tol+resid,8.009386641838335,3874.671556478472,0.005906984887612524,0.016942554367849687,0.09164159370084574,1694.2554367849687,0.0,0.9998953557507093
192,0,False,1.0,1e-05,1e-05,0.0,120.95423889160156,6.836512027737633e-05,18,tol+resid,32.03754656735334,3875.077061008465,0.023627939550450096,0.06777021747139875,0.36656637480338294,6777.021747139875,0.0,1.0
192,0,False,2.0,1e-05,1e-05,0.00015044212341308594,30.239564895629883,6.830983648801368e-05,18,tol+resid,128.15018626941335,3875.2058740809825,0.09451175820180038,0.271080869885595,1.4662654992135318,27108.0869885595,0.0,1.0000332414221678
192,0,False,4.0,1e-05,1e-05,0.00018858909606933594,7.559907913208008,0.00011666030648549483,17,tol+resid,512.6007450776534,3875.214429028873,0.37804703280720153,1.08432347954238,5.865061996854127,108432.347954238,0.0,1.0000354491067518
384,0,True,0.25,6.25e-07,1e-05,0.0,1928.8018798828125,0.00022894105366451866,24,tol+resid,1.9990659026076314,3855.8020709592306,0.0010511062053755404,0.002162981029217244,0.00974895556897588,3460.7696467475903,0.0,1.0
384,0,True,0.5,2.5e-06,1e-05,0.0,482.20050048828125,0.00017255375330656856,25,tol+resid,7.996263610430526,3855.8023149858304,0.0042044248215021614,0.008651924116868976,0.03899582227590352,3460.7696467475903,0.0,1.0000000632881552
384,0,True,1.0,1e-05,1e-05,0.0,120.55011749267578,0.00013013033562657965,26,tol+resid,31.985054441722102,3855.8020709592306,0.016817699286008646,0.034607696467475905,0.1559832891036141,3460.7696467475903,0.0,1.0
384,0,True,2.0,4e-05,1e-05,0.0,30.13753318786621,0.00013013992980640408,26,tol+resid,127.94021776688841,3855.80255901243,0.06727079714403458,0.13843078586990362,0.6239331564144563,3460.7696467475903,0.0,1.00000012657631
384,0,True,4.0,0.00016,1e-05,0.0,7.534384727478027,7.407430441147968e-05,28,tol+resid,511.76087106755364,3855.803291092228,0.26908318857613833,0.5537231434796145,2.4957326256578254,3460.7696467475903,0.0,1.0000003164407754
384,0,False,0.25,1e-05,1e-05,0.004688918590545654,1927.0247802734375,5.263738891163403e-05,29,tol+resid,1.9990659026076314,3852.249531724592,0.0010511062053755404,0.002162981029217244,0.00974895556897588,216.2981029217244,0.0,0.9990788407278595
384,0,False,0.5,1e-05,1e-05,0.0009427070617675781,482.1065673828125,0.00017050555106555126,25,tol+resid,7.996263610430526,3855.0512011127557,0.0042044248215021614,0.008651924116868976,0.03899582227590352,865.1924116868976,0.0,0.9998054521743346
384,0,False,1.0,1e-05,1e-05,0.0,120.55009460449219,0.0003039931222553504,23,tol+resid,31.985054441722102,3855.8013388794325,0.016817699286008646,0.034607696467475905,0.1559832891036141,3460.7696467475903,0.0,1.0
384,0,False,2.0,1e-05,1e-05,0.00023561716079711914,30.138280868530273,0.0003047632790012005,23,tol+resid,127.94021776688841,3855.89821743941,0.06727079714403458,0.13843078586990362,0.6239331564144563,13843.078586990361,0.0,1.0000251254023387
384,0,False,4.0,1e-05,1e-05,0.0002949237823486328,7.534671783447266,0.00017309136817651743,25,tol+resid,511.76087106755364,3855.9501951050906,0.26908318857613833,0.5537231434796145,2.4957326256578254,55372.314347961445,0.0,1.000038605781931
