noise,lr,weight_decay,seed,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
0.05,0.0003,0.0,42,0.2713376408756832,0.17983431146710394,0.15647258923356802,0.1230979939892984,0.1482396468863848,0.6873321533203125,0.718109130859375,0.0307769775390625,0.4542625602334738,0.6244193971157074
0.05,0.0003,0.0,43,0.22505210530273925,0.14549999112734074,0.13622293755715295,0.08674601045704197,0.13830609484569728,0.649554443359375,0.75177001953125,0.10221557617187504,0.4522750098258257,0.6502627551555633
0.05,0.0003,0.0,44,0.24113913202827944,0.170122060547709,0.16408314830752563,0.10213834395513767,0.13900078807314176,0.6276458740234375,0.756256103515625,0.12861022949218748,0.44940139539539814,0.6532126188278198
0.05,0.0003,0.0,45,0.1980591590996876,0.13821604942443835,0.13515027411743932,0.0683842804790133,0.12967487862067428,0.603570556640625,0.6778564453125,0.07428588867187502,0.45407408475875854,0.6619872093200684
0.05,0.0003,0.0,46,0.24504612329557304,0.17373581905348168,0.15636492847548628,0.08554394206898329,0.15950218122658977,0.5035980224609375,0.509246826171875,0.005648803710937456,0.4546984899789095,0.7030746936798096
0.05,0.0003,0.0,47,0.22111623918339268,0.15446634586143126,0.14433541540926706,0.0700124400358536,0.15110379914753908,0.4234161376953125,0.432159423828125,0.0087432861328125,0.4529114756733179,0.7554539978504181
0.05,0.0003,0.001,42,0.2952373422144695,0.17105327224129177,0.130524724803919,0.10183630988009373,0.19340103233437578,0.7508758544921875,0.753204345703125,0.002328491210937478,0.46256659738719463,0.6018258810043335
0.05,0.0003,0.001,43,0.24206052966246386,0.1429415311496397,0.11503109310804703,0.08674601045704197,0.15531451920542189,0.679730224609375,0.753997802734375,0.07426757812499996,0.46067898347973824,0.6589175820350647
0.05,0.0003,0.001,44,0.2596637343098735,0.15720023203567376,0.12670918071257692,0.10213834395513767,0.15752539035473584,0.747882080078125,0.753814697265625,0.005932617187500044,0.4576249532401562,0.5985996007919312
0.05,0.0003,0.001,45,0.2223788999629715,0.14217546146520857,0.12050839032567393,0.0683842804790133,0.1539946194839582,0.748077392578125,0.749298095703125,0.001220703125,0.46235148794949055,0.6144362211227417
0.05,0.0003,0.001,46,0.26585810455625075,0.16953035056978064,0.13106345536368036,0.08554394206898329,0.18031416248726745,0.6496368408203125,0.6612548828125,0.011618041992187522,0.4626465030014515,0.6673777520656585
0.05,0.0003,0.001,47,0.23677340881721448,0.14999373431504007,0.12365628638361802,0.0700124400358536,0.16676096878136087,0.3090484619140625,0.316802978515625,0.007754516601562511,0.46112556383013725,0.7498077988624573
0.05,0.001,0.0,42,0.23175566502554878,0.23461806531941973,0.20449345250127482,0.16299101932088672,0.06876464570466206,0.620379638671875,0.720794677734375,0.10041503906250004,0.4141085296869278,0.6488872528076172
0.05,0.001,0.0,43,0.2142734005226427,0.1993020704239974,0.1777255799296689,0.08674601045704197,0.12752739006560074,0.5521331787109375,0.754180908203125,0.20204772949218752,0.41440228931605816,0.7176550686359405
0.05,0.001,0.0,44,0.2059216497753286,0.2384975822360827,0.20373946124271225,0.10213834395513767,0.10378330582019092,0.55902099609375,0.75653076171875,0.197509765625,0.40485270507633686,0.6985198974609375
0.05,0.001,0.0,45,0.17695549423340326,0.21221822287384345,0.1821532039180947,0.0683842804790133,0.10857121375438995,0.579302978515625,0.66119384765625,0.08189086914062504,0.40973600186407566,0.7232000589370727
0.05,0.001,0.0,46,0.20848332319951107,0.23621072547930597,0.2126283652882607,0.08554394206898329,0.12293938113052778,0.509576416015625,0.5250244140625,0.015447998046875022,0.4131636433303356,0.7556642055511474
0.05,0.001,0.0,47,0.19004020134311475,0.2247185451088953,0.18817440781618122,0.0700124400358536,0.12002776130726116,0.508160400390625,0.514007568359375,0.005847167968749956,0.40661260671913624,0.8127259731292724
0.05,0.001,0.001,42,0.21910416910289102,0.13783169992983127,0.12346468712983691,0.08606247081746599,0.13304169828542503,0.755450439453125,0.75738525390625,0.0019348144531250444,0.4630636740475893,0.5946494817733765
0.05,0.001,0.001,43,0.20707685717944574,0.12344664653084778,0.10528220999201394,0.06760806752102602,0.13946878965841972,0.64742431640625,0.755859375,0.10843505859375002,0.460750924423337,0.6676348149776459
0.05,0.001,0.001,44,0.19020227153962335,0.1366373279829331,0.11676102179463065,0.08276309978765747,0.10743917175196588,0.75135498046875,0.75482177734375,0.0034667968749999556,0.4581658113747835,0.5944620251655579
