arm,width,head_mult,seed,threshold,step,loss,acc_train,f1_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi,status,lr,reached_star,probe_val_gain,probe_test_gain
frozen,32,1.0,0,init,0,1.436838984489441,0.2012140601873397,0.1722190944608954,0.0,0.6223972281167263,0.0,0.0062839984893798,0.5389695590907566,0.5681326447018831,0.2221621721982956,0.1865184057779172,0.1586094513851167,0.4051539012168933,0.0540242557883131,0.1282860147213459,0.292432427406311,0.2534712219647557,0.2798634812286689,0.413367235742826,0.199657729606389,0.1209964412811387,0.2294594645500183,0.1974723691061762,0.1574618096357226,0.4216778025241277,0.0394500896592946,0.1712997746055597,0.2355555593967437,0.180905821453453,0.1571428571428571,0.4353428439944777,0.0644709180098108,0.0666666666666666,0.2929629683494568,0.2469566015319308,0.2336182336182336,0.4283071230342276,0.1979010494752623,0.128,0.2477777749300003,0.2071207230793836,0.1862828111769686,0.4572545188080117,0.052870090634441,0.1320754716981132,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,1.0,1795,0.9999444484710692,0.5460063815116882,0.5169522525276875,0.0,0.386276371956241,0.0,9.219252109527588,0.5389695590907566,0.5681326447018831,0.5002703070640564,0.4775471870975612,0.5980506822612086,0.4105392156862745,0.5884315906562848,0.3131672597864768,0.3054054081439972,0.2963738048282389,0.3778841967784066,0.3064008394543546,0.2725199543899658,0.2286902286902287,0.4824324548244476,0.4619319091210498,0.5854616895874263,0.3841138114997036,0.535336672231497,0.3428154631655726,0.5040740966796875,0.4672706446283481,0.6338924233661076,0.4618585298196949,0.5294924554183813,0.2438391699092088,0.3018518388271332,0.277048603354488,0.3240611961057024,0.3727064220183486,0.2723735408560311,0.1390532544378698,0.4855555593967438,0.4542744926919424,0.5928074245939675,0.4520917678812415,0.5062413314840499,0.2659574468085106,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.8,4611,0.7999974489212036,0.6319488883018494,0.607086027018686,0.0,0.1888391918814908,0.0,23.88030242919922,0.5389695590907566,0.5681326447018831,0.5435135364532471,0.5206531439892834,0.630158118010027,0.4900117508813161,0.6246450880181715,0.337797619047619,0.3032432496547699,0.2941549178271708,0.3668744434550312,0.3346653346653346,0.2516964836520666,0.2233834095362508,0.5043243169784546,0.484841171407142,0.5902668759811617,0.4672268907563025,0.5520046484601976,0.3298662704309064,0.5551851987838745,0.5150334552438853,0.6432748538011696,0.5880077369439072,0.5840058694057226,0.2448453608247422,0.3096296191215515,0.2787895034183787,0.2976878612716763,0.411734951947395,0.2516654330125832,0.1540697674418604,0.5059259533882141,0.4680927316340034,0.5866510538641686,0.5321673953778888,0.5298507462686567,0.2237017310252996,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,0.6,18936,0.5999976396560669,0.7281789183616638,0.7085885809238814,0.0,0.0760415050346223,0.0,98.741224527359,0.5389695590907566,0.5681326447018831,0.6262162327766418,0.6003023498992797,0.723047619047619,0.5994428969359331,0.6608084358523726,0.417910447761194,0.3113513588905334,0.287669693772319,0.3469296279695203,0.4047815333882935,0.1936971560338201,0.2052704576976421,0.5745946168899536,0.5521764502136004,0.6824271079590228,0.55175983436853,0.5826575171553338,0.3918613413715147,0.6466666460037231,0.6091779809185207,0.7210401891252955,0.6979472140762464,0.6387771520514883,0.3789473684210526,0.3237037062644958,0.2582437004069431,0.2342342342342342,0.4820173625465068,0.1790182868142444,0.1377049180327869,0.5748147964477539,0.5359228788339684,0.6622833233711894,0.6223250433776749,0.5598705501618123,0.2992125984251969,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,0,final,40000,0.5329300165176392,0.7533546686172485,0.7351052189442766,0.0,0.0441000467657385,0.0,209.16958045959475,0.5389695590907566,0.5681326447018831,0.6545946002006531,0.6247059033428601,0.7519466073414905,0.6383207750269106,0.6735562310030395,0.435,0.3116216361522674,0.2796000440237464,0.3282647584973166,0.42321083172147,0.1604729729729729,0.2064516129032258,0.5975675582885742,0.5728195460474932,0.710955710955711,0.5762025316455697,0.5914948453608248,0.4126250962278676,0.6851851940155029,0.6425715213862694,0.7757644394110985,0.7184801381692574,0.6518883415435139,0.4241531664212076,0.3259259164333343,0.2521495908916542,0.226928895612708,0.4848245959795033,0.1517671517671517,0.1450777202072538,0.6081481575965881,0.5633738364134172,0.7178019461934745,0.6348665530948325,0.5645695364238411,0.3362573099415205,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,init,0,1.4046175479888916,0.4035143852233886,0.2802901498977105,0.0,1.0344937373753318,0.0,0.0055723190307617,0.5167421280241473,0.5484050731373218,0.3810811042785644,0.2640209257399086,0.4973089343379978,0.5038731095536703,0.0477968633308439,0.0071047957371225,0.3551351428031921,0.2657631735278031,0.4718149234278266,0.3625821414766138,0.1918047079337402,0.0368509212730318,0.3556756973266601,0.2597192397262424,0.4617134192570128,0.5209696036937284,0.027255029201817,0.0289389067524115,0.4137037098407745,0.2828621465130317,0.4874692874692874,0.5452003727865797,0.0653061224489796,0.0334728033472803,0.3703703582286834,0.2805520746293542,0.4477186311787072,0.3955078125,0.2399193548387097,0.0390625,0.3729629516601562,0.2659821843866844,0.4161660294920808,0.5581826611033843,0.0266429840142095,0.0629370629370629,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,1.0,885,0.9999319314956664,0.5200000405311584,0.4735724561155888,0.0,0.5038288650863391,0.0,4.55688214302063,0.5167421280241473,0.5484050731373218,0.4483783841133117,0.419002268730608,0.55564451561249,0.2566248256624825,0.5508982035928144,0.3128415300546448,0.3556756973266601,0.3038422688567664,0.4957381520627344,0.3144893111638955,0.2592592592592592,0.1458823529411764,0.4189189374446869,0.3980408543566253,0.4935389745727386,0.2290502793296089,0.5314401622718052,0.3381340012523481,0.4703703820705414,0.418749461538512,0.6460126219162364,0.2048085485307212,0.5483146067415731,0.2758620689655172,0.3470370471477508,0.2988538898965833,0.4330017554125219,0.3129726585223967,0.3422982885085575,0.1071428571428571,0.4462963044643402,0.4118834870100862,0.5829761175750153,0.2005277044854881,0.5415949512335054,0.322435174746336,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,0.8,2395,0.7999736070632935,0.6156549453735352,0.5670679065044235,0.0,0.2441258220702625,0.0,12.221848964691162,0.5167421280241473,0.5484050731373218,0.4916216433048248,0.4585893368013997,0.6238040566398775,0.3229235880398671,0.5550387596899224,0.3325909428359317,0.3559459447860718,0.3128446044562895,0.4904347826086956,0.3170272812793979,0.258692628650904,0.1852237252861602,0.4791891872882843,0.4486905793942607,0.6130268199233716,0.2921348314606741,0.5345282024248814,0.3550724637681159,0.5237036943435669,0.4679680717743504,0.7238403451995685,0.2624356775300172,0.5574712643678161,0.328125,0.3429629504680633,0.3011064026699257,0.4230317273795534,0.327150084317032,0.3234536082474227,0.1307901907356948,0.5192592740058899,0.4716292866054786,0.7125683060109289,0.2847682119205298,0.5519713261648745,0.3372093023255814,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,0.6,13590,0.5999972820281982,0.7227476239204407,0.6986604174727647,0.0,0.0842444150428871,0.0,69.7898097038269,0.5167421280241473,0.5484050731373218,0.5664864778518677,0.5557855952361439,0.617906683480454,0.6021390374331551,0.6155717761557178,0.3875248838752488,0.3059459626674652,0.2824925480840568,0.3027522935779816,0.4010320678215997,0.2075623491552695,0.2186234817813765,0.5324324369430542,0.5224400624846983,0.5823001282599402,0.5790265930757652,0.5727332028701891,0.355700325732899,0.610370397567749,0.5837471861921024,0.7335722819593787,0.5808580858085809,0.6015352407536636,0.4190231362467866,0.3048148155212402,0.2565328528577031,0.1930251419302514,0.4353393085787452,0.2472293265132139,0.1505376344086021,0.5703703761100769,0.540413244516352,0.6990407673860911,0.5664160401002506,0.5509433962264151,0.345252774352651,max_steps,0.001,False,0.0,0.0
frozen,32,1.0,1,final,40000,0.5191051959991455,0.7704792618751526,0.747652963726328,0.0,0.038644815863833,0.0,206.2825236320496,0.5167421280241473,0.5484050731373218,0.5886486768722534,0.5773314723967564,0.627017841971113,0.6560411311053984,0.6396002498438476,0.3866666666666666,0.2881081104278564,0.2501499383668537,0.1833137485311398,0.4281879194630872,0.1682242990654205,0.220873786407767,0.5543243288993835,0.5447874247442046,0.5816593886462882,0.6349514563106796,0.603597601598934,0.3589412524209167,0.630740761756897,0.6018118322844811,0.7438215792646172,0.6378244746600742,0.6062874251497006,0.4193138500635324,0.2951851785182953,0.2168386991475208,0.0846084608460846,0.4648203592814371,0.164079822616408,0.1538461538461538,0.5877777934074402,0.5557329482133198,0.686806411837238,0.6291739894551845,0.5663716814159292,0.3405797101449275,max_steps,0.001,False,0.0,0.0
