arm,width,seed,optimizer,val_f1,val_f1_best,theta_disp_abs,theta_disp_rel,mu_hat,C_hat,r_final,B_hat,B_p99,thm2_bound,diss_share_theta,egr_e1,egr_e5,egr_e20,egr_e60,jac_first,jac_last
frozen_pca,192,0,adamw,0.7379948939102934,0.7963594076265641,0.0,0.0,0.005999762489198251,0.8446964621543884,0.029013181291520557,32865.66400783254,7127.942147051311,3383130.818593401,0.999596109166724,0.6265226157975708,5.813465902022871,20.34277739114374,13.378390730615838,76.87438201904297,4710.5126953125
frozen_pca,192,1,adamw,0.7267614833001717,0.9321601213920312,0.0,0.0,0.0042871339748722995,0.7792865633964539,0.015563747957348752,59730.65488235181,6416.775740384747,4564624.5403437605,0.9997608762251625,0.49593180224419353,3.948693275367529,11.79044907456091,10.95084892272163,110.93109893798828,3516.678466796875
frozen_pca,192,2,adamw,0.7147362672283067,0.8572122296094298,0.0,0.0,0.004741492361181436,0.8043980002403259,0.018635736331343605,30654.14014572681,7790.487760871133,4976076.762708988,0.9995504659401702,0.9756141333343801,7.459073561471934,11.6139158831745,12.530690003437968,140.626220703125,8050.36865234375
frozen_pca,48,0,adamw,0.7342040965088115,0.7694298452767933,0.0,0.0,0.0031888865092774,0.697863906621933,0.015489831734448607,64229.02833706698,7155.743519109055,5963004.920068509,0.9992885953894363,0.1806740467965283,3.4445664318219875,10.845382826757621,7.507968484464332,36.351356506347656,3293.513427734375
frozen_pca,48,1,adamw,0.7289123609768057,0.7472803964339623,0.0,0.0,0.0068047347293062116,0.8236467242240906,0.01345214189961548,44927.117848233625,9716.316485199208,4839042.149833202,0.999282163963923,0.39366678225047674,3.528057728459257,10.46938341107964,7.732688233879208,35.509315490722656,5714.580078125
frozen_pca,48,2,adamw,0.7289423281625096,0.7892968598378594,0.0,0.0,0.002594024245445281,0.7900402545928955,0.01383006369695062,46519.3590498389,6438.614799345052,7932532.028645687,0.9985717484756779,0.7921693339273177,4.385165743462419,9.60867240655936,7.273002199526503,57.924652099609375,25934.775390625
frozen_pca,48,0,sgd,0.4042795301737411,0.7764967223867223,0.0,0.0,0.0,0.6726779341697693,0.511526038646698,283.5600369974458,133.91208875751687,,0.7714097103135303,0.1372698716662952,0.30270399606996323,0.6410965062318479,0.5580707616732602,9.21585178375244,140.70326232910156
frozen_pca,48,1,sgd,0.5665504074943252,0.6591691173800199,0.0,0.0,0.0001878686432921364,0.8130905628204346,0.5301525557041168,56.21499111000727,25.296097502591188,46822.51573132656,0.20529664844167447,0.11210087676873885,0.1649756817346513,0.5153123092410737,0.2968730507519546,8.571435928344727,170.57212829589844
frozen_pca,48,2,sgd,0.35265203336314105,0.6499010705167361,0.0,0.0,4.7811232503972984e-05,0.8091753125190735,0.5564014500379563,53.85757429321653,20.994908099267,133078.5592203873,0.1498752264718679,0.11239167782685605,0.17197055531504857,0.1300449734457522,0.44645806343845773,6.882955551147461,179.46224975585938
frozen_random,192,0,adamw,0.7213475063791578,0.8119669784066111,0.0,0.0,0.0009284899410770861,0.7223419547080994,0.08091896727681157,1197.681365956803,546.791964978646,931201.1881062291,0.9892622514346886,0.839873954015876,2.390187062247123,5.453175326846831,8.52530952378256,5.425578594207764,253.86331176757807
frozen_random,192,1,adamw,0.7147876348091399,0.8357655682870131,0.0,0.0,0.0020153812531675166,0.8363878130912781,0.039309504926204615,655.1865677742705,353.9744794632432,449165.9264375377,0.9745757624905087,0.7627482243301396,1.7878344473126302,3.8204277316131297,5.438889428842508,5.501448154449463,123.39575958251952
frozen_random,192,2,adamw,0.7568193873631476,0.8024777841287946,0.0,0.0,0.0013700265242018912,0.7790309190750122,0.07622026041150089,607.5581970605663,292.4049957517841,386478.8667564824,0.9633510700100031,0.6079305315638793,2.2946975135283507,2.582788731792147,4.187933442076645,8.02851390838623,154.00650024414062
frozen_random,192,0,sgd,0.4485091269571976,0.6544836152816157,0.0,0.0,0.0001157931376080789,0.7393744587898254,0.43585061848163603,234.5607618352919,101.65021246990712,343035.4164550594,0.910117979252638,0.8507846570691272,1.5994834809484262,1.6887698352851146,4.6522825839793445,3.823190212249756,8.447821617126465
frozen_random,192,1,sgd,0.47262847646261585,0.6544850982354006,0.0,0.0,0.00013638569413081057,0.8559991121292114,0.5307209014892578,216.3120238645319,83.6306649482326,250915.7848060867,0.881710418549701,0.7119164223387171,1.4723316109191997,2.3557790498253794,2.253463370633658,3.686999320983887,6.095194816589356
frozen_random,192,2,sgd,0.589173134019418,0.6609908871724042,0.0,0.0,0.0001493196604016353,0.7502105236053467,0.5096147537231446,178.7401582402726,78.02372260523255,151588.2924912376,0.849145610101697,0.7259036410793489,1.3542613572351452,1.5382825274230365,3.8106942770909216,3.1854076385498047,10.755127906799316
frozen_random,48,0,adamw,0.719180843084789,0.853600284101088,0.0,0.0,0.0012006694181724105,0.7316969633102417,0.08469000376760955,826.7914956294586,429.027450809393,563788.1426664973,0.9830919446222532,0.9937526391557446,1.9442567365403831,7.063296316553112,6.9935462538019,1.6101938486099243,205.2179718017578
frozen_random,48,1,adamw,0.6231211941750735,0.8549615211392796,0.0,0.0,0.001086548939556293,0.7565439343452454,0.1465335208177566,711.6628143106662,356.2081546908749,407128.3055041217,0.9724779909626748,0.8832434273797292,1.3220035698135832,4.464226283043574,4.819998024112714,2.306187152862549,223.5560302734375
