mode,calibration_quality,shortcut_strength,combined_score,joint_acc,frozen_acc
bayes,0.9925079345703125,0.02025349934895837,1.0330149332682292,0.513031005859375,0.5332845052083334
ntk,0.7300910949707031,0.02271525065104174,0.7755215962727866,0.5417582194010416,0.5644734700520834
margin,0.5606689453125,0.06144205729166674,0.6835530598958335,0.6670939127604166,0.7285359700520834
