M,a0,v0,m,Delta,immediate_stop,u_M,a_Tm_cf,v_Tm_cf,b_Tm_cf,q_Tm_cf,abs_err_q_Tm_cf_minus_m,invariant_b2_minus_M_v2_diff,T_m_cf,T_m_quad,T_m_quad_abserr,rel_T_cf_vs_quad,beta0_sum_exact,beta0_ptp,beta_shift_spread,a_Tm_ode,v_Tm_ode,b_Tm_ode,q_Tm_ode,T_m_ode,rel_err_u_cf_vs_ode,rel_err_v_cf_vs_ode,rel_err_b_cf_vs_ode,rel_err_T_cf_vs_ode,max_rel_err_cf_vs_ode,I1_max_rel_err_v,I1_max_rel_err_b,I1_max_rel_err_q,suppression_I4,suppression_bound_I2,slack_I2_suppression,slack_I2_uM,slack_I2_uM_positive,M_times_uM,Delta_over_v0sq,rel_M_uM_vs_limit,suppression_ode,a_over_m,limit_a_over_m,rel_a_over_m_vs_limit,a_over_a0,limit_a_over_a0,a_over_a0_minus_1,dv_abs,dv_bound_I3,slack_I3_dv,disp,disp_bound_I3,slack_I3_disp,disp_ode,disp_spectral_only,disp_ratio_joint_over_spectral,Psi_a0_m,T_bound_lower,T_bound_upper,slack_T_upper,slack_T_lower,slack_T_upper_ode,slack_T_lower_ode,gap_sup_cf,gap_min_cf,gap_bound_uniform_I5,slack_I5_uniform,slack_I5_nonneg,max_excess_I5_pointwise,slack_I5_pointwise,C0_I5,p0_I5,gap_sup_times_M,gap_sup_ode,gap_min_ode,rel_gap_sup_cf_vs_ode,frozen_ode_max_rel_err_vs_Psi_inv,reversal_margin,err_reversal,reversal_margin_ode,reversal_margin_limit,err_reversal_limit,err_reversal_spectral_only,suff_cond_threshold,suff_cond_M_v0sq,suff_cond_holds,suff_cond_consistent,ctrl_u,ctrl_u_M1_cf,ctrl_rel_err_u,ctrl_rel_err_v,ctrl_rel_err_b,ctrl_T_m,ctrl_T_m_M1_cf,ctrl_rel_err_T,ctrl_suppression,ctrl_disp,note,runtime_s
1,-1.5,-1.3,2.0,3.5,0,0.9179536484680725,-0.5820463515319275,-1.8872724884847767,-1.3681364865361647,1.9999999999999991,8.881784197001252e-16,0.0,2.3796932844703074,2.3796932844703074,2.6419902759647942e-14,0.0,0.0,0.0,0.0,-0.5820463515319275,-1.887272488484777,-1.368136486536165,2.0,2.3796932844703074,0.0,1.176537072838395e-16,1.6229711517101762e-16,0.0,1.6229711517101762e-16,1.1402040609213415e-15,1.825842545673948e-15,1.7208456881689926e-15,0.26227247099087786,0.3717472118959107,0.10947474090503284,0.383161593167615,0.9179536484680725,0.9179536484680725,2.0710059171597632,0.5567595240254165,0.26227247099087786,-0.29102317576596376,-0.75,0.611969098978715,0.388030901021285,1.0,-0.611969098978715,0.5872724884847766,2.787892580791989,2.2006200923072123,1.0897375264103497,3.0765639785402983,1.9868264521299486,1.08973752641035,3.5,0.31135357897438565,np.float64(10.66592593878222),np.float64(0.6205795214001864),np.float64(3.965028230030564),np.float64(1.5853349455602568),np.float64(1.759113763070121),np.float64(1.5853349455602568),np.float64(1.759113763070121),1.2897295714439068,0.0,50.26625004452011,48.97652047307621,0.0,0.0,0.0,15.497041420118341,0.18242552380635632,1.2897295714439068,1.2897295714439077,0.0,6.886547686936975e-16,3.3306690738754696e-16,-3.1640927030638553,1,-3.1640927030638553,-5.0,1,0,0.4,1.6900000000000002,1,1,0.9179536484680725,0.9179536484680725,0.0,1.176537072838395e-16,1.6229711517101762e-16,2.3796932844703074,2.3796932844703074,0.0,0.26227247099087786,1.08973752641035,,0.03417611122131348
1,-1.5,-1.3,2.9,4.4,0,1.0439129923685426,-0.4560870076314574,-2.0750494218545583,-1.6173528072560228,2.8999999999999995,4.440892098500626e-16,1.3322676295501878e-15,3.9919632596517984,3.9919632596518015,4.431969524323628e-14,7.787207112776854e-16,0.0,0.0,0.0,-0.45608700763145965,-2.075049421854559,-1.6173528072560235,2.9000000000000004,3.991963259651796,2.1270413008389955e-15,4.280275979674369e-16,4.118667317276599e-16,5.562290794840614e-16,2.1270413008389955e-15,6.833148430929137e-14,8.57197635408192e-14,7.821329790721361e-14,0.2372529528110324,0.3717472118959107,0.1344942590848783,0.5917747399734647,1.0439129923685426,1.0439129923685426,2.603550295857988,0.5990425097493552,0.2372529528110319,-0.15727138194188187,-0.5172413793103449,0.6959419949123617,0.30405800508763825,1.0,-0.6959419949123617,0.7750494218545583,4.406008192990442,3.6309587711358837,1.3001753504635172,4.6998279281728,3.3996525777092828,1.300175350463516,4.4,0.2954943978326175,np.float64(22.351015209294637),np.float64(0.8730441547472024),np.float64(8.308927587098378),np.float64(4.316964327446579),np.float64(3.118919104904596),np.float64(4.316964327446581),np.float64(3.118919104904594),1.497164941081897,0.0,77.55857824738672,76.06141330630483,0.0,0.0,0.0,23.911242603550296,0.18242552380635632,1.497164941081897,1.4971649410818983,0.0,8.898602906019498e-16,3.062684205862501e-16,-3.8121740152629147,1,-3.812174015262919,-5.9,1,0,0.4915254237288135,1.6900000000000002,1,1,1.0439129923685406,1.0439129923685426,1.9143371707550957e-15,4.280275979674369e-16,2.745778211517732e-16,3.991963259651797,3.9919632596518015,1.1124581589681219e-15,0.23725295281103195,1.3001753504635163,,0.03961801528930664
1,-1.5,-1.3,4.0,5.5,0,1.1684375959895315,-0.33156240401046855,-2.2930795899116636,-1.888971679424931,3.9999999999999982,1.7763568394002505e-15,1.3322676295501878e-15,8.160581558545124,8.16058155854512,2.3845707821170897e-13,4.3535055109894444e-16,0.0,0.0,0.0,-0.3315624040114596,-2.2930795899120353,-1.8889716794250575,4.0,8.160581558540956,8.481283683286183e-13,1.620975871399307e-13,6.700228816866052e-14,5.106661964390616e-13,8.481283683286183e-13,2.0245107943978257e-11,1.6589296359064423e-11,1.326272425217212e-11,0.2124431992708239,0.3717472118959107,0.1593040126250868,0.8761720694379775,1.1684375959895315,1.1684375959895315,3.254437869822485,0.6409709932323076,0.21244319927064373,-0.08289060100261714,-0.375,0.7789583973263543,0.2210416026736457,1.0,-0.7789583973263543,0.9930795899116636,6.884387801547565,5.891308211635901,1.5334449737831852,7.181589245150163,5.648144271366978,1.5334449737826708,5.5,0.27880817705148825,np.float64(59.87501987299581),np.float64(1.5556472038348637),np.float64(22.25837169999844),np.float64(14.097790141453315),np.float64(6.6049343547102595),np.float64(14.097790141457482),np.float64(6.604934354706092),1.678315605460797,0.0,119.36075182392922,117.68243621846842,0.0,0.0,0.0,36.798816568047336,0.18242552380635632,1.678315605460797,1.6783156054614272,0.0,3.7547323443031555e-13,9.603429163007604e-15,-4.663124808020937,1,-4.6631248080229195,-7.0,1,0,0.5714285714285714,1.6900000000000002,1,1,1.1684375959885405,1.1684375959895315,8.481283683286183e-13,1.620975871399307e-13,6.711983604264063e-14,8.160581558540947,8.16058155854512,5.113192222657102e-13,0.21244319927064373,1.5334449737826708,,0.03520846366882324
1,-1.5,-0.2,2.0,3.5,0,2.365652669431391,0.8656526694313911,-1.0744876126363765,-1.0557100121288137,2.0,0.0,2.220446049250313e-16,5.825419680885141,5.825419680885138,8.087692039133353e-14,6.098639880759093e-16,0.0,0.0,0.0,0.8656526694313907,-1.0744876126363767,-1.0557100121288137,2.0,5.825419680885135,1.8772375826279012e-16,2.0665161916592025e-16,0.0,1.0672619791328407e-15,1.0672619791328407e-15,4.272486945619335e-14,4.4694544907670994e-15,9.159339953157541e-16,0.6759007626946831,0.9615384615384615,0.2856376988437783,0.9997319459532243,2.365652669431391,2.365652669431391,87.49999999999999,0.9729639694922128,0.675900762694683,0.43282633471569554,-0.75,1.5771017796209275,-0.5771017796209273,1.0,-1.5771017796209272,0.8744876126363765,765.6249999999998,764.7505123873634,2.522110452982251,765.6323964139771,763.1102859609948,2.522110452982251,3.5,0.7206029865663574,np.float64(10.66592593878222),np.float64(0.017384238906643777),np.float64(10.255698018059826),np.float64(4.430278337174685),np.float64(5.808035441978498),np.float64(4.430278337174691),np.float64(5.808035441978491),3.312893510316459,0.0,84075.40611631006,84072.09322279974,0.0,0.0,0.0,613.4999999999999,0.18242552380635632,3.312893510316459,3.312893510316459,0.0,0.0,1.1102230246251565e-16,-0.26869466113721785,1,-0.2686946611372185,-5.0,1,0,0.4,0.04000000000000001,0,1,2.36565266943139,2.365652669431391,3.7544751652558025e-16,2.0665161916592025e-16,2.1032727015374587e-16,5.825419680885134,5.825419680885138,6.098639880759093e-16,0.6759007626946829,2.5221104529822505,,0.029958248138427734
1,-1.5,-0.2,2.9,4.4,0,2.5972555707633,1.0972555707632998,-1.3501316112820243,-1.3352360719299774,2.9000000000000012,1.3322676295501878e-15,6.661338147750939e-16,8.762612189642228,8.762612189642232,9.728453837195011e-14,4.054400219833938e-16,0.0,0.0,0.0,1.097255570763301,-1.350131611282023,-1.3352360719299767,2.8999999999999995,8.762612189642223,5.129520731603058e-16,9.867687108556227e-16,4.98888420391647e-16,6.08160032975091e-16,9.867687108556227e-16,1.050817960499521e-12,8.349625260867283e-14,1.4164914452114067e-14,0.590285356991659,0.9615384615384615,0.3712531045468025,1.633513660005931,2.5972555707633,2.5972555707633,109.99999999999999,0.9763885857203337,0.5902853569916593,0.3783639899183793,-0.5172413793103449,1.7315037138421998,-0.7315037138421999,1.0,-1.7315037138422,1.1501316112820243,1210.0,1208.849868388718,2.8405174217263975,1210.0073964270978,1207.1668790053714,2.840517421726398,4.4,0.6455721413014539,np.float64(22.351015209294637),np.float64(0.023065111047319654),np.float64(21.49136077816792),np.float64(12.728748588525692),np.float64(8.739547078594908),np.float64(12.728748588525697),np.float64(8.739547078594903),4.121232015125866,0.0,132793.91772893962,132789.79649692448,0.0,0.0,0.0,969.0,0.18242552380635632,4.121232015125866,4.121232015125864,0.0,4.3102568185450703e-16,7.656710514656253e-17,-0.7054888584734003,1,-0.705488858473398,-5.9,1,0,0.4915254237288135,0.04000000000000001,0,1,2.5972555707633007,2.5972555707633,3.4196804877353716e-16,8.223072590463523e-16,0.0,8.76261218964223,8.762612189642232,2.027200109916969e-16,0.5902853569916592,2.8405174217263975,,0.02927994728088379
1,-1.5,-0.2,4.0,5.5,0,2.7993400354417326,1.2993400354417326,-1.6494647675883867,-1.6372947259169348,4.000000000000001,8.881784197001252e-16,4.440892098500626e-16,15.460494851852593,15.460494851852587,1.7164597107053876e-13,3.4468951797892704e-16,0.0,0.0,0.0,1.2993400354415925,-1.649464767588401,-1.637294725917005,4.0,15.460494851851603,4.9971814546172324e-14,8.750050079110676e-15,4.285489597299884e-14,6.399735383808744e-14,6.399735383808744e-14,1.99271050674412e-11,2.5125717015561693e-12,1.0111356196773613e-12,0.5089709155348605,0.9615384615384615,0.45256754600360094,2.4891215030198057,2.7993400354417326,2.7993400354417326,137.49999999999997,0.9796411633786056,0.5089709155348351,0.32483500886043315,-0.375,1.8662266902944884,-0.8662266902944884,1.0,-1.8662266902944884,1.4494647675883867,1890.6249999999995,1889.1755352324112,3.1523408360307386,1890.6323964352357,1887.480055599205,3.1523408360306213,5.5,0.5731528792783162,np.float64(59.87501987299581),np.float64(0.03955958869471294),np.float64(57.572134493265196),np.float64(42.1116396414126),np.float64(15.42093526315788),np.float64(42.11163964141359),np.float64(15.42093526315689),5.019298156131056,0.0,207413.4101989165,207408.39090076037,0.0,0.0,0.0,1513.4999999999998,0.18242552380635632,5.019298156131056,5.019298156131084,0.0,5.662486775304828e-15,5.551115123125783e-17,-1.4013199291165348,1,-1.401319929116815,-7.0,1,0,0.5714285714285714,0.04000000000000001,0,1,2.799340035441593,2.7993400354417326,4.9813173865073364e-14,8.750050079110676e-15,4.285489597299884e-14,15.46049485185161,15.460494851852587,6.319307829613662e-14,0.5089709155348351,3.1523408360306213,,0.030975341796875
1,-1.5,0.05,2.0,3.5,0,3.1557245272945886,1.6557245272945886,0.5878160783410983,0.5856857023663017,1.9999999999999998,2.220446049250313e-16,5.551115123125783e-17,8.83778219621563,8.837782196215633,9.811909280861603e-14,4.019915404027251e-16,0.0,0.0,0.0,1.655724527294592,0.5878160783410955,0.585685702366299,2.0,8.83778219621565,1.125799685008074e-15,4.721812934065898e-15,4.549428555853516e-15,2.4119492424163514e-15,4.721812934065898e-15,1.2387042414462733e-12,2.858794558665243e-14,2.9976021664879227e-15,0.9016355792270253,0.9975062344139651,0.09587065518693982,0.33554729315428933,3.1557245272945886,3.1557245272945886,1399.9999999999998,0.9977459110519324,0.9016355792270263,0.8278622636472943,-0.75,2.103816351529726,-1.1038163515297257,1.0,-2.1038163515297255,0.5378160783410982,48999.999999999985,48999.46218392164,3.201225300770137,49000.00012437733,48996.79889907656,3.20122530077014,3.5,0.9146358002200391,np.float64(10.66592593878222),np.float64(0.0010882484662953836),np.float64(10.639327619732889),np.float64(1.8015454235172594),np.float64(8.836693947749334),np.float64(1.8015454235172381),np.float64(8.836693947749355),3.481965981004509,0.0,21490413.831353348,21490410.349387366,0.0,0.0,0.0,9800.999999999998,0.18242552380635632,3.481965981004509,3.4819659810045094,0.0,1.2753978995565826e-16,1.1102230246251565e-16,1.3114490545891773,0,1.311449054589184,-5.0,1,0,0.4,0.0025000000000000005,0,1,3.155724527294592,3.1557245272945886,1.125799685008074e-15,4.5329404167032625e-15,4.359869032692952e-15,8.83778219621565,8.837782196215633,2.0099577020136255e-15,0.9016355792270263,3.20122530077014,,0.028723716735839844
1,-1.5,0.05,2.9,4.4,0,3.585989030414048,2.085989030414048,0.9029185618531925,0.9015330994140135,2.9000000000000004,4.440892098500626e-16,1.1102230246251565e-16,14.25599494946143,14.255994949461417,1.5827333849109626e-13,8.722293968174786e-16,0.0,0.0,0.0,2.085989030414042,0.9029185618531944,0.9015330994140179,2.9,14.25599494946143,1.6099211902453114e-15,2.090309382929309e-15,4.925933503037389e-15,0.0,4.925933503037389e-15,2.0563089459511484e-11,4.793087233877349e-13,2.1828803132877808e-14,0.8149975069122836,0.9975062344139651,0.18250872750168157,0.8030384010073988,3.585989030414048,3.585989030414048,1759.9999999999998,0.9979625062327192,0.8149975069122822,0.7193065622117406,-0.5172413793103449,2.390659353609365,-1.3906593536093652,1.0,-2.390659353609365,0.8529185618531925,77440.0,77439.14708143815,3.6860259629312977,77440.00012437733,77436.3140984144,3.6860259629312924,4.4,0.8377331733934766,np.float64(22.351015209294637),np.float64(0.001443024830636746),np.float64(22.295277016752756),np.float64(8.039282067291326),np.float64(14.254551924630793),np.float64(8.039282067291326),np.float64(14.254551924630793),4.37093943828834,0.0,33962352.804186516,33962348.433247074,0.0,0.0,0.0,15489.0,0.18242552380635632,4.37093943828834,4.37093943828834,0.0,0.0,7.656710514656253e-17,1.2719780608280957,0,1.2719780608280842,-5.9,1,0,0.4915254237288135,0.0025000000000000005,0,1,3.5859890304140416,3.585989030414048,1.733761281802643e-15,1.9673500074628793e-15,5.2953785157651934e-15,14.255994949461432,14.255994949461417,9.968335963628328e-16,0.8149975069122821,3.686025962931292,,0.028618574142456055
1,-1.5,0.05,4.0,5.5,0,3.9181705580926818,2.4181705580926818,1.258205045212188,1.257211173907313,4.000000000000001,8.881784197001252e-16,0.0,25.138457139046967,25.13845713904698,2.790929748159025e-13,5.653033770767345e-16,0.0,0.0,0.0,2.4181705580910813,1.2582050452128226,1.2572111739079508,4.0,25.13845713902774,4.084808174044186e-13,5.043720682019025e-13,5.072434278186782e-13,7.648554691848222e-13,7.648554691848222e-13,2.206845133341395e-11,3.611018629340803e-12,1.6657786261475849e-12,0.7123946469259421,0.9975062344139651,0.285111587488023,1.5681137311841264,3.9181705580926818,3.9181705580926818,2199.9999999999995,0.9982190133826851,0.7123946469256511,0.6045426395231704,-0.375,2.6121137053951213,-1.612113705395121,1.0,-2.612113705395121,1.208205045212188,120999.99999999997,120998.79179495476,4.100221939551626,121000.00012437731,120995.89990243777,4.100221939550284,5.5,0.7454948981002957,np.float64(59.87501987299581),np.float64(0.0024740718849558326),np.float64(59.72570560897338),np.float64(34.58724846992641),np.float64(25.135983067162012),np.float64(34.587248469945635),np.float64(25.135983067142785),5.448861253369479,0.0,53064942.8765006,53064937.42763934,0.0,0.0,0.0,24200.999999999996,0.18242552380635632,5.448861253369479,5.448861253369517,0.0,7.009110761168369e-15,5.551115123125783e-17,0.8363411161853636,0,0.8363411161821626,-7.0,1,0,0.5714285714285714,0.0025000000000000005,0,1,3.9181705580910817,3.9181705580926818,4.083674764450944e-13,5.043720682019025e-13,5.067135774414304e-13,25.138457139027746,25.13845713904698,7.651381208733601e-13,0.7123946469256512,4.100221939550284,,0.029211044311523438
1,-1.5,0.2,2.0,3.5,0,2.365652669431391,0.8656526694313911,1.0744876126363765,1.0557100121288137,2.0,0.0,2.220446049250313e-16,5.825419680885141,5.825419680885138,8.087692039133353e-14,6.098639880759093e-16,0.0,0.0,0.0,0.8656526694313907,1.0744876126363767,1.0557100121288137,2.0,5.825419680885135,1.8772375826279012e-16,2.0665161916592025e-16,0.0,1.0672619791328407e-15,1.0672619791328407e-15,4.272486945619335e-14,4.4694544907670994e-15,9.159339953157541e-16,0.6759007626946831,0.9615384615384615,0.2856376988437783,0.9997319459532243,2.365652669431391,2.365652669431391,87.49999999999999,0.9729639694922128,0.675900762694683,0.43282633471569554,-0.75,1.5771017796209275,-0.5771017796209273,1.0,-1.5771017796209272,0.8744876126363765,765.6249999999998,764.7505123873634,2.522110452982251,765.6323964139771,763.1102859609948,2.522110452982251,3.5,0.7206029865663574,np.float64(10.66592593878222),np.float64(0.017384238906643777),np.float64(10.255698018059826),np.float64(4.430278337174685),np.float64(5.808035441978498),np.float64(4.430278337174691),np.float64(5.808035441978491),3.312893510316459,0.0,84075.40611631006,84072.09322279974,0.0,0.0,0.0,613.4999999999999,0.18242552380635632,3.312893510316459,3.312893510316459,0.0,0.0,1.1102230246251565e-16,-0.26869466113721785,1,-0.2686946611372185,-5.0,1,0,0.4,0.04000000000000001,0,1,2.36565266943139,2.365652669431391,3.7544751652558025e-16,2.0665161916592025e-16,2.1032727015374587e-16,5.825419680885134,5.825419680885138,6.098639880759093e-16,0.6759007626946829,2.5221104529822505,,0.029145240783691406
