step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms,grad_total_norm_preclip,clip_coef,upd_theta_norm,upd_phi_norm
0,1,1.9592732191085815,821,1.1389740712861396,32.18055735429805,0.03539323631801493,1.0180833339691162,32.1805534362793,0.031074666596565315,0.0712086582676741,0.12895638904881496
1,1,0.589248538017273,15334,1.6346905646933314,13.14399788795308,0.12436783531374851,0.5234965682029724,13.143998146057129,0.07608034578273501,0.05299347620322895,0.08959014070024124
2,1,0.5969263911247253,22276,1.1306315930122885,11.029551308469395,0.10250930082205559,0.5170101523399353,11.02955150604248,0.09066550972509134,0.051895665605754385,0.0766156212635875
3,1,1.5008710622787476,10234,1.7975791047011744,21.62762273885091,0.08311496489496274,0.8414894342422485,21.627622604370117,0.04623716494668134,0.0248844610300029,0.06794196330915153
4,1,0.5829356908798218,15572,0.387839512714729,5.659631550058324,0.06852734304067261,0.523040235042572,5.659631729125977,0.1766899104342467,0.0253241432670705,0.06303957822634508
5,1,2.2573060989379883,7484,3.6798787526141896,30.019249647072865,0.1225839684827994,1.0346611738204956,30.019248962402344,0.033311958201902164,0.02599775500419089,0.062347223310470004
6,1,0.5048196911811829,29636,0.5638918829095966,6.926238810970107,0.08141386664525577,0.5066437721252441,6.926238536834717,0.14437848917610477,0.020793049439355452,0.057246794090024165
7,1,0.30545902252197266,15832,0.49810332795313056,3.9917328280633755,0.12478373413449742,0.3639340400695801,3.9917330741882324,0.2505176901603502,0.017441103513137803,0.05316667741670348
8,1,0.5067103505134583,12457,0.7804056659718273,5.209125254902029,0.14981510863791947,0.4962589144706726,5.209125518798828,0.19197076446332692,0.017812955447486355,0.0452270753583895
9,1,1.0651386976242065,24045,1.9422391178814804,16.488316064275917,0.1177948742800653,0.7429118752479553,16.48831558227539,0.06064900531294868,0.019737784695179093,0.04446619858597895
10,1,0.3329983055591583,3295,0.5243644512589933,3.7821777087809836,0.13864088142697562,0.40439003705978394,3.782177686691284,0.26439787298225653,0.019039187798708168,0.041368905411655846
11,1,0.3088226914405823,19645,0.4736762820755467,4.827055554869487,0.09812944489474718,0.3678603768348694,4.82705545425415,0.20716559035034413,0.018850598426086624,0.039279071249065364
12,1,0.37773236632347107,27513,0.4268317950164806,4.8194036120731045,0.08856527267131856,0.43541809916496277,4.819403648376465,0.20749450875366413,0.018563129634732837,0.03862969259157489
13,1,0.4957946836948395,17123,0.4984718030940949,5.361588494135738,0.09297091778662382,0.52805095911026,5.361588478088379,0.18651185512930019,0.01649626797390204,0.0375308289824826
14,1,0.3017081618309021,10012,0.2760259698350634,4.196090054068869,0.06578170779898787,0.3908219635486603,4.196089744567871,0.2383170576791193,0.0153170867681382,0.038419909027792604
15,1,0.29864436388015747,34312,0.24167185200803784,1.642112710369563,0.14717129371314688,0.3809167146682739,1.6421127319335938,0.6089712183470368,0.015336156055863318,0.04439239175317526
16,1,1.1658294200897217,12769,2.0191490278507462,15.384298464268962,0.1312473904832398,0.7715218663215637,15.384299278259277,0.06500133135162318,0.020957332538776192,0.03516368534392285
17,1,0.1666770726442337,37793,0.07015969248866562,1.3426746175256676,0.052253681996242946,0.27167943120002747,1.3426746129989624,0.7447815319788436,0.018691429355984814,0.04140096265590794
18,1,0.07419674098491669,14667,0.2663662907841432,1.5711619776019299,0.16953458305459343,0.14742398262023926,1.5711619853973389,0.6364712059119094,0.01698121601749865,0.04495625966440259
19,1,0.5163853168487549,22388,0.5796011259545093,4.298661120078868,0.13483294211006344,0.5214203000068665,4.298660755157471,0.23263053874853373,0.017541315081834163,0.04499599555799555
20,1,0.8664379715919495,7388,1.1734632047010731,7.724522714235288,0.15191400790865453,0.7137606143951416,7.724522590637207,0.12945782199592046,0.023510789898175906,0.05231997024780676
21,1,0.3892368972301483,17577,0.25120942578097244,9.275085251909633,0.02708432526043081,0.4707393944263458,9.275084495544434,0.10781571776134896,0.02105677978569461,0.04829674982258039
22,1,0.590045154094696,5461,1.8681854647173766,25.790577218546307,0.07243674497420205,0.6323891282081604,25.790576934814453,0.03877384999000389,0.030109691937679508,0.04670639991536474
