regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready,0,init,20000,budget,0.6872996091842651,0.5447083115577698,0.5488888888888889,46.33995532989502,0.5853703618049622,0.4825925827026367,0.5307407379150391,0.5420370101928711,0.5999999642372131,0.4724999964237213,0.5381666421890259,0.5513333082199097,,,,,
unready,0,kappa1,20000,budget,0.683459460735321,0.5653333067893982,0.6366666666666666,45.60355997085571,0.6187037229537964,0.504444420337677,0.5577777624130249,0.5757407546043396,0.6108333468437195,0.5208333134651184,0.5699999928474426,0.5826666355133057,0.910185158252716,0.0959259271621704,0.4925926029682159,0.462592601776123,0.6366666666666666
unready,0,kappa256,20000,budget,0.6819856762886047,0.5753750205039978,0.657037037037037,45.22687816619873,0.618148148059845,0.5129629373550415,0.5635185241699219,0.5907407402992249,0.6068333387374878,0.5378333330154419,0.5753333568572998,0.593999981880188,0.9140740633010864,0.0951851829886436,0.4964814782142639,0.4631481468677521,0.657037037037037
unready,1,init,20000,budget,0.6893824934959412,0.5415416359901428,0.586111111111111,45.66375160217285,0.5085185170173645,0.5781481266021729,0.5474073886871338,0.553518533706665,0.45383334159851074,0.6004999876022339,0.5276666879653931,0.543999969959259,,,,,
unready,1,kappa1,20000,budget,0.6879833340644836,0.5447916388511658,0.6372222222222222,45.566936016082764,0.5342592597007751,0.5790740847587585,0.5487037301063538,0.5744444727897644,0.4476666748523712,0.621833324432373,0.5301666855812073,0.5391666889190674,0.9105555415153505,0.093148149549961,0.4998148083686828,0.5353703498840332,0.6372222222222222
unready,1,kappa256,20000,budget,0.686259925365448,0.5532500147819519,0.6414814814814814,46.15519165992737,0.5507407188415527,0.5801851749420166,0.5622222423553467,0.5868518352508545,0.4763333201408386,0.6038333177566528,0.5364999771118164,0.5370000004768372,0.9016666412353516,0.1005555540323257,0.4979629516601562,0.5320370197296143,0.6414814814814814
unready,2,init,20000,budget,0.6846202611923218,0.5607916712760925,0.5535185185185185,45.72663974761963,0.5268518328666687,0.5257407426834106,0.5292592644691467,0.5446296334266663,0.5386666655540466,0.5111666321754456,0.5251666903495789,0.5236666798591614,,,,,
unready,2,kappa1,20000,budget,0.6796608567237854,0.5803750157356262,0.5792592592592593,45.44289016723633,0.537407398223877,0.5490740537643433,0.5438888669013977,0.5618518590927124,0.5298333168029785,0.5396666526794434,0.5336666703224182,0.5379999876022339,0.904629647731781,0.0870370343327522,0.5027777552604675,0.4422222077846527,0.5792592592592593
unready,2,kappa256,20000,budget,0.6759419441223145,0.5992083549499512,0.5977777777777777,45.84420204162598,0.5492592453956604,0.5555555820465088,0.5525925755500793,0.573888897895813,0.5416666865348816,0.5401666760444641,0.5433333516120911,0.5391666889190674,0.9038888812065125,0.0905555561184883,0.5035185217857361,0.442592591047287,0.5977777777777777
unready10,0,init,20000,budget,0.6880851984024048,0.5477499961853027,0.5488888888888889,45.966415882110596,0.5849999785423279,0.4972222149372101,0.5433333516120911,0.5438888669013977,0.5981666445732117,0.4871666729450226,0.5509999990463257,0.5554999709129333,,,,,
