regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star
ready,frozen,32,1,2,init,0,0.8699249029159546,0.3308333158493042,0.0,2.201734258304958,0.0,0.011059284210205078,0.962037037037037,0.9533333333333333,0.32648149132728577,0.6853703856468201,0.5020370483398438,0.5025925636291504,0.33166664838790894,0.6784999966621399,0.5051666498184204,0.5058333277702332,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.6,88,0.5985066890716553,0.6884583234786987,0.0,1.3855569544378963,0.0,0.7082991600036621,0.962037037037037,0.9533333333333333,0.6857407689094543,0.3422222137451172,0.5131481289863586,0.5392592549324036,0.6921666860580444,0.3344999849796295,0.5105000138282776,0.5394999980926514,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.5,154,0.49992382526397705,0.796833336353302,0.0,1.0755961241514846,0.0,1.2466070652008057,0.962037037037037,0.9533333333333333,0.7975925803184509,0.23277777433395386,0.5149999856948853,0.556851863861084,0.8028333187103271,0.23016665875911713,0.5099999904632568,0.5603333115577698,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.4,276,0.3995087146759033,0.8576250076293945,0.0,0.7665107819714867,0.0,2.2624094486236572,0.962037037037037,0.9533333333333333,0.8627777695655823,0.17407406866550446,0.5179629325866699,0.5785185098648071,0.8651666641235352,0.17166666686534882,0.5128333568572998,0.5861666798591614,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.3,543,0.29997652769088745,0.8960416316986084,0.0,0.49244560842982626,0.0,4.509758949279785,0.962037037037037,0.9533333333333333,0.9029629826545715,0.1398148089647293,0.5216666460037231,0.6101852059364319,0.8996666669845581,0.1368333250284195,0.5143333077430725,0.6140000224113464,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.2,1293,0.19996875524520874,0.9326249957084656,0.0,0.27821512103688534,0.0,10.122903108596802,0.962037037037037,0.9533333333333333,0.9375925660133362,0.10851851850748062,0.5253703594207764,0.6622222065925598,0.9388332962989807,0.10833333432674408,0.5171666741371155,0.6701666712760925,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.15,2260,0.14997795224189758,0.9509166479110718,0.0,0.18564494268621076,0.0,17.34489870071411,0.962037037037037,0.9533333333333333,0.9531481266021729,0.09851852059364319,0.5314815044403076,0.7114814519882202,0.9541666507720947,0.0963333323597908,0.5201666355133057,0.7198333144187927,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,0.1,5041,0.09999360144138336,0.9665833115577698,0.0,0.09898842620200178,0.0,37.991142988204956,0.962037037037037,0.9533333333333333,0.971666693687439,0.10129629820585251,0.544259250164032,0.7877777814865112,0.9701666831970215,0.10166666656732559,0.5301666855812073,0.8016666769981384,stopped,0.001,1.57379150390625,True
ready,frozen,32,1,2,final,5041,0.09999360144138336,0.9665833115577698,0.0,0.09898842620200178,0.0,38.028281450271606,0.962037037037037,0.9533333333333333,0.971666693687439,0.10129629820585251,0.544259250164032,0.7877777814865112,0.9701666831970215,0.10166666656732559,0.5301666855812073,0.8016666769981384,stopped,0.001,1.57379150390625,True
