step,loss,acc_train,gnorm_theta,gnorm_phi,disp
0,0.725593090057373,0.3044999837875366,0.8879051804542542,0.6982070301044357,0.0
25,0.6952202320098877,0.49029165506362915,0.8467459082603455,0.6641560377384451,0.0062684533186256886
50,0.6674162745475769,0.6793333292007446,0.8118947148323059,0.6399374589302687,0.0122601967304945
75,0.6415870785713196,0.7959166765213013,0.7816143035888672,0.6230712823502117,0.01801156811416149
100,0.6172952055931091,0.8518750071525574,0.756126880645752,0.6116044657210467,0.023552322760224342
125,0.5941839814186096,0.8777916431427002,0.7337393164634705,0.6036132105342011,0.028914924710989
150,0.5720707178115845,0.8899999856948853,0.7133288383483887,0.5978017647472424,0.03411274775862694
175,0.5508079528808594,0.8972083330154419,0.6948099136352539,0.5931312186951949,0.03916091099381447
200,0.5303085446357727,0.9017499685287476,0.6770323514938354,0.5886265518984721,0.044069722294807434
225,0.5105505585670471,0.9048333168029785,0.6592702865600586,0.5836165037937712,0.04884226247668266
250,0.4915345013141632,0.9070833325386047,0.6413582563400269,0.5777086922565235,0.05347956717014313
275,0.47328364849090576,0.9085416793823242,0.6233589053153992,0.5707682795388098,0.05797988176345825
300,0.4557986557483673,0.9099583029747009,0.6057463884353638,0.5626503596007295,0.06234722584486008
325,0.4391062259674072,0.9109166860580444,0.5874921083450317,0.5532305173798446,0.06658013164997101
350,0.4232316017150879,0.9109583497047424,0.5688563585281372,0.5426710056029225,0.07067607343196869
375,0.408196359872818,0.9117500185966492,0.5497702956199646,0.531008380659804,0.07463248819112778
400,0.3939993381500244,0.9123749732971191,0.5310917496681213,0.5185599156992653,0.07845021039247513
425,0.38063138723373413,0.9129999876022339,0.5123510956764221,0.5054107860037395,0.08213081955909729
450,0.368079274892807,0.9135833382606506,0.4937906861305237,0.4917912348936541,0.08567509800195694
475,0.3563220202922821,0.9141666293144226,0.4755600690841675,0.4778829165252288,0.0890844315290451
500,0.34532636404037476,0.9149582982063293,0.45783743262290955,0.46381259393438407,0.09236284345388412
525,0.33505693078041077,0.9154166579246521,0.44066545367240906,0.4497501570582649,0.09551387280225754
550,0.3254759907722473,0.9158750176429749,0.4240042269229889,0.4357970306917415,0.09854116290807724
575,0.31654462218284607,0.9160833358764648,0.40799427032470703,0.422032041517662,0.10144916921854019
600,0.308219850063324,0.9163749814033508,0.39273521304130554,0.40859808172733325,0.10424294322729111
625,0.30046147108078003,0.9163333177566528,0.37800323963165283,0.39550283287368326,0.10692690312862396
650,0.29322919249534607,0.9172083139419556,0.36409738659858704,0.3827886690822092,0.1095065101981163
675,0.28648585081100464,0.9176250100135803,0.3507768213748932,0.3704620274722232,0.1119859591126442
700,0.28019610047340393,0.9179999828338623,0.33794260025024414,0.3585626820668972,0.11436957120895386
725,0.2743265926837921,0.9184166789054871,0.32584795355796814,0.347131451120934,0.11666164547204971
750,0.26884350180625916,0.919083297252655,0.3144332766532898,0.3361344576019902,0.11886747181415558
775,0.2637178897857666,0.9193333387374878,0.303465873003006,0.3255939956229361,0.12099085003137589
800,0.2589226961135864,0.9196249842643738,0.2930397689342499,0.31549064172142594,0.1230354905128479
825,0.2544323801994324,0.9202916622161865,0.283250629901886,0.3058199827501375,0.12500576674938202
850,0.25022172927856445,0.9205833077430725,0.2739817202091217,0.2965546939670162,0.12690585851669312
875,0.246270552277565,0.9211249947547913,0.2650771737098694,0.2876737894781716,0.12873873114585876
900,0.242560014128685,0.9213749766349792,0.2565705180168152,0.2791506314525776,0.1305074244737625
925,0.23907269537448883,0.921750009059906,0.24846838414669037,0.2710118366284749,0.13221493363380432
950,0.2357911318540573,0.922041654586792,0.24087682366371155,0.26321811669979966,0.1338645964860916
975,0.23269937932491302,0.922416627407074,0.2335887998342514,0.2557646370322465,0.13545943796634674
1000,0.22978372871875763,0.9227499961853027,0.2266525775194168,0.24861932666174988,0.1370018869638443
1025,0.22703303396701813,0.9231666326522827,0.22001732885837555,0.24175143086263226,0.13849420845508575
1050,0.22443470358848572,0.9236249923706055,0.21367932856082916,0.23517062128261032,0.13993890583515167
1075,0.221978560090065,0.9238333106040955,0.20762090384960175,0.22884523231996695,0.1413383036851883
1100,0.21965429186820984,0.9239583015441895,0.20196476578712463,0.22277813989369077,0.1426946520805359
1125,0.21745261549949646,0.9241250157356262,0.19648286700248718,0.21695810950638716,0.1440100371837616
1150,0.21536573767662048,0.9244166612625122,0.19122694432735443,0.21136516537824593,0.14528587460517883
1175,0.2133861482143402,0.9244999885559082,0.18619509041309357,0.2059647651450411,0.14652401208877563
1200,0.2115071564912796,0.9244999885559082,0.18132111430168152,0.20075225487966145,0.14772602915763855
